
[00:00:00.000 --> 00:00:07.880]  各位早晨 非常奇妙 沒有實體的交往
[00:00:07.880 --> 00:00:12.820]  但是沒有攔阻到我們有這個社交的交往
[00:00:12.820 --> 00:00:16.200]  這個社交交往是很安全的
[00:00:16.200 --> 00:00:19.480]  應該傳不了病毒給你的
[00:00:19.480 --> 00:00:22.100]  如果你的電腦有病毒就不關我的事
[00:00:22.100 --> 00:00:25.220]  就要找一下這個傳真堂去幹事
[00:00:25.220 --> 00:00:28.400]  為什麼它發放一些訊息會令到你有這些病毒
[00:00:28.400 --> 00:00:31.140]  不過有任何病毒都不關我的事
[00:00:31.140 --> 00:00:34.140]  非常開心 感謝上帝的
[00:00:34.140 --> 00:00:36.340]  我們香港文化裡面
[00:00:36.340 --> 00:00:40.580]  都不多不少聽過武俠小說 是不是?
[00:00:40.580 --> 00:00:44.840]  我喜歡看金庸的武俠小說
[00:00:44.840 --> 00:00:47.600]  因為它實在是很寫實
[00:00:47.600 --> 00:00:53.320]  雖然說得好像很多古代武俠、虛構
[00:00:53.320 --> 00:00:58.480]  但是他們說的人世等等的東西是很反映
[00:00:58.480 --> 00:01:04.020]  我們現實的生活 很有趣 很有娛樂成分的
[00:01:04.020 --> 00:01:07.340]  其中一本著作《少傲江湖》裡面
[00:01:07.340 --> 00:01:12.780]  就有一個角色叫做東方不敗
[00:01:12.780 --> 00:01:16.040]  這個人很好打的 不過是奸人
[00:01:16.040 --> 00:01:22.580]  在他後來爭了日月神教的教主的位置
[00:01:22.580 --> 00:01:27.540]  他趁著原本的教主煉功走火入魔
[00:01:27.540 --> 00:01:29.820]  就乘機禁錮他
[00:01:29.820 --> 00:01:33.900]  然後自己就為非作歹
[00:01:33.900 --> 00:01:36.540]  為所欲為就做了教主
[00:01:36.540 --> 00:01:45.740]  但是他煉了一本葵花寶典的武術
[00:01:45.740 --> 00:01:52.720]  精湛的這本書
[00:01:52.720 --> 00:01:57.740]  但是他只是煉了一個殘本而已 不是完全的
[00:01:57.740 --> 00:02:02.520]  但是這個殘本使他心理各方面的狀態不男不女
[00:02:02.520 --> 00:02:05.780]  後來自己就戀男
[00:02:05.780 --> 00:02:09.860]  戀另外一個弟子叫做楊延庭
[00:02:09.860 --> 00:02:16.000]  自己就不想做事就交給了會務給楊延庭
[00:02:16.000 --> 00:02:21.100]  扮得更差 使得上上下下不滿
[00:02:21.100 --> 00:02:24.740]  後來就有一個武俠小說的主角
[00:02:24.740 --> 00:02:26.760]  叫做令狐沖
[00:02:26.760 --> 00:02:32.060]  就找了教主 找了光明左士等等
[00:02:32.060 --> 00:02:37.660]  四個人還有長老一起打東方不敗
