
[00:00:00.000 --> 00:00:03.200]  我相信大部分的成年人都記得
[00:00:03.200 --> 00:00:06.680]  2001年的911事件
[00:00:06.680 --> 00:00:12.500]  當天的早晨有19個阿蓋特組織的恐怖分子
[00:00:12.500 --> 00:00:15.500]  接鐵了4個客機
[00:00:15.500 --> 00:00:24.480]  其中兩架撞向紐約世貿中心的兩座大樓
[00:00:24.480 --> 00:00:30.480]  結果兩座大樓裏面死了大約3000人
[00:00:30.480 --> 00:00:34.480]  之後美國就追殺阿蓋特組織
[00:00:34.480 --> 00:00:40.480]  他的首領逃走到巴基斯坦一個小城市
[00:00:40.480 --> 00:00:46.480]  在10年之後美國的海豹部隊找到他
[00:00:46.480 --> 00:00:48.480]  殺了他
[00:00:48.480 --> 00:00:53.980]  消息傳出由紐約的人整晚都慶祝
[00:00:53.980 --> 00:00:56.980]  他們10年的報仇深陷特毒
[00:00:56.980 --> 00:01:03.480]  他們在世貿中心的舊址歡呼悅哀悅上
[00:01:03.480 --> 00:01:13.480]  這裏有一個人叫做阿道夫·埃希曼
[00:01:13.480 --> 00:01:16.480]  不知道大家有沒有聽過他的名字
[00:01:16.480 --> 00:01:21.480]  他是德國納粹黨的高官
[00:01:21.480 --> 00:01:26.480]  也是屠殺600萬猶太人的主要執行者
[00:01:26.480 --> 00:01:30.480]  第二次世界大戰結束之後
[00:01:30.480 --> 00:01:34.480]  他就用假護照逃走
[00:01:34.480 --> 00:01:38.480]  躲在阿根廷一個城市
[00:01:38.480 --> 00:01:44.480]  1960年以色列的情報人員找到他
[00:01:44.480 --> 00:01:52.480]  抓了他 祕密將他逮捕到以色列受審判處死刑
[00:01:52.480 --> 00:02:02.480]  他向以色列的總統求情 請求特赦
[00:02:02.480 --> 00:02:05.480]  總統就拒絕了
[00:02:05.480 --> 00:02:08.480]  總統怎樣拒絕呢
[00:02:08.480 --> 00:02:14.480]  他引用撒姆爾記上15章13節
[00:02:14.480 --> 00:02:19.480]  撒姆爾抓了阿瑪利的王阿甲
[00:02:19.480 --> 00:02:26.480]  阿甲後稱 撒姆爾說 你的刀怎樣使婦人喪子
[00:02:26.480 --> 00:02:33.480]  你的母親在婦人當中 也是怎樣喪子
[00:02:33.480 --> 00:02:39.480]  以色列人握手慶慶 歡呼血債血償
[00:02:39.480 --> 00:02:46.480]  其實自古以來 人類都有血債血償的觀念
[00:02:46.480 --> 00:02:53.480]  在創世紀第四章 人類的始祖 阿當的兒子
[00:02:53.480 --> 00:02:59.480]  是該人殺了自己的弟弟阿伯
[00:02:59.480 --> 00:03:05.480]  他都會說 我必流淚 飄蕩在地上
[00:03:05.480 --> 00:03:10.480]  凡遇見我的要殺我 他都知道有血債血償
[00:03:10.480 --> 00:03:15.480]  其實古代是沒有這個複雜的法律制度
[00:03:15.480 --> 00:03:20.480]  如果一個人無辜被殺 他們被殺的親屬
[00:03:20.480 --> 00:03:26.480]  就找一個近親 擔任一個報仇者的責任
[00:03:26.480 --> 00:03:31.480]  去追殺那個殺人犯 之後整件事就了結了
[00:03:31.480 --> 00:03:37.480]  就不再追下去了 這個傳統是差不多一直維持到現在的
[00:03:37.480 --> 00:03:40.480]  有些暴露仍然有這個制度
[00:03:40.480 --> 00:03:43.480]  其實這個制度都不是沒有道理
[00:03:43.480 --> 00:03:46.480]  因爲它滿足了公義的要求
[00:03:46.480 --> 00:03:50.480]  也都停止了永無止境的互相殘殺
[00:03:50.480 --> 00:03:56.480]  如果你看武俠小說就好像看到中國有A殺了B
[00:03:56.480 --> 00:04:00.480]  B的兒子就要爲父報仇殺了A
[00:04:00.480 --> 00:04:04.480]  A的兒子就爲父報仇殺了B的兒子
[00:04:04.480 --> 00:04:07.480]  B的孫子就這樣下去永無止境
[00:04:07.480 --> 00:04:14.480]  但其實這個債血償是解決了這個問題
[00:04:14.480 --> 00:04:19.480]  事實上 上帝帶領以色列人出胎旗
[00:04:19.480 --> 00:04:25.480]  之後在抗議就定了這個債血償的規例
[00:04:25.480 --> 00:04:29.480]  如果你看出胎旗記21章23 24節
[00:04:29.480 --> 00:04:33.480]  以命賞命 以眼還眼 以牙還牙
[00:04:33.480 --> 00:04:35.480]  以手還手 以腳還腳
