
[00:00:00.000 --> 00:00:02.160]  各位大兄姊妹早晨
[00:00:02.160 --> 00:00:06.120]  我們習慣經常上社交網絡
[00:00:06.120 --> 00:00:08.360]  看一些文章
[00:00:08.360 --> 00:00:09.760]  有一篇文章說
[00:00:09.760 --> 00:00:14.600]  現在全球最影響人的疾病
[00:00:14.600 --> 00:00:17.880]  可能未必是身體的殘疾
[00:00:17.880 --> 00:00:19.640]  或者是癌症
[00:00:19.640 --> 00:00:21.200]  而是有一個症
[00:00:21.200 --> 00:00:23.080]  就是拖延症
[00:00:23.080 --> 00:00:24.720]  拖延症不知道大家
[00:00:24.720 --> 00:00:28.120]  有沒有這個症狀在你們的生命裏面
[00:00:28.120 --> 00:00:29.400]  作爲年輕人
[00:00:29.400 --> 00:00:33.560]  或者工作的人可能都會有一個習慣
[00:00:33.560 --> 00:00:36.160]  你明明知道工作開始
[00:00:36.160 --> 00:00:39.600]  你計劃了那一刻要開始
[00:00:39.600 --> 00:00:41.920]  但中間你發現有一段時間
[00:00:41.920 --> 00:00:43.600]  你不是在做那件事
[00:00:43.600 --> 00:00:45.560]  你搞東搞西 做其他東西
[00:00:45.560 --> 00:00:46.760]  一路拖 一路拖
[00:00:46.760 --> 00:00:49.760]  不要搞着了 一路做 一路做
[00:00:49.760 --> 00:00:51.800]  然後你忽然間發覺
[00:00:51.800 --> 00:00:53.760]  咦 那個死線來了
[00:00:53.760 --> 00:00:54.880]  然後你就會發覺
[00:00:54.880 --> 00:00:56.600]  你出現了一點點恐慌
[00:00:56.600 --> 00:00:58.240]  因爲你開始後悔了
[00:00:58.240 --> 00:01:00.760]  你發現你本身要做的東西
[00:01:00.760 --> 00:01:02.480]  好像做不及了
[00:01:02.480 --> 00:01:04.560]  或者沒有時間去做了
[00:01:04.560 --> 00:01:07.040]  然後你就哭着
[00:01:07.040 --> 00:01:10.840]  在死前很辛苦地去完成
[00:01:10.840 --> 00:01:13.320]  我們現代人
[00:01:13.320 --> 00:01:15.520]  都會普遍出現這些的惰性
[00:01:15.520 --> 00:01:16.440]  拖延症
[00:01:16.440 --> 00:01:18.320]  爲什麼呢
[00:01:18.320 --> 00:01:19.440]  經常都有人說
[00:01:19.440 --> 00:01:21.520]  可以喫的話不會動
[00:01:21.520 --> 00:01:23.560]  如果可以多休息一點
[00:01:23.560 --> 00:01:26.160]  可以享受我現在當下多一點的話
[00:01:26.160 --> 00:01:27.240]  那就好了
[00:01:27.240 --> 00:01:29.560]  可以喫的話就不會動了
[00:01:29.560 --> 00:01:33.080]  但是如果我們信仰上高
[00:01:33.080 --> 00:01:35.240]  我們信仰道路上高
[00:01:35.240 --> 00:01:37.560]  有這個拖延症的話
[00:01:37.560 --> 00:01:39.320]  帶來的可能就是
[00:01:39.320 --> 00:01:42.440]  不太好 甚至是嚴重的後果
