
[00:00:00.000 --> 00:00:05.000]  佳泰書第二章十一節開始至十四節
[00:00:05.000 --> 00:00:07.000]  如果找得到請聽我讀出一段經文
[00:00:07.000 --> 00:00:09.000]  後來激發激發就是西門彼得
[00:00:09.000 --> 00:00:12.000]  到了安提亞因他有可責之處
[00:00:12.000 --> 00:00:14.000]  我就當面抵擋他
[00:00:14.000 --> 00:00:17.000]  從雅各那裡來的人未到以先
[00:00:17.000 --> 00:00:19.000]  他和外邦人一同吃飯
[00:00:19.000 --> 00:00:23.000]  及至他們來到他因為怕奉國禮的人
[00:00:23.000 --> 00:00:26.000]  就退去與外邦人隔開了
[00:00:26.000 --> 00:00:29.000]  其餘的猶太人也都隨著他裝假
[00:00:29.000 --> 00:00:32.000]  甚至連巴拿巴也隨火的裝假
[00:00:32.000 --> 00:00:38.000]  但我一看見他們行的不正與福音的真理不合
[00:00:38.000 --> 00:00:41.000]  就在眾人面前對激發說
[00:00:41.000 --> 00:00:44.000]  你既是猶太人約隨外邦人行事
[00:00:44.000 --> 00:00:46.000]  不隨猶太人行事
[00:00:46.000 --> 00:00:50.000]  怎麼還勉強外邦人去隨猶太人呢
[00:00:50.000 --> 00:00:54.000]  在佳泰書的主題我們說的是
[00:00:54.000 --> 00:00:57.000]  不可改動的福音
[00:00:57.000 --> 00:00:59.000]  今天進入到佳泰書第二章
[00:00:59.000 --> 00:01:01.000]  十一到二十一節
[00:01:01.000 --> 00:01:04.000]  剛才主餐已經讀了其餘的節數
[00:01:04.000 --> 00:01:08.000]  在整段經文裡其實說一些很簡單的東西
[00:01:08.000 --> 00:01:09.000]  表面上
[00:01:09.000 --> 00:01:11.000]  在我們靈修的時候
[00:01:11.000 --> 00:01:12.000]  如果你讀到佳泰書
[00:01:12.000 --> 00:01:15.000]  你會覺得究竟保羅做什麼事
[00:01:15.000 --> 00:01:16.000]  發生什麼事
[00:01:16.000 --> 00:01:18.000]  在這裡我們起碼讀完整段經文
[00:01:18.000 --> 00:01:19.000]  我們會問幾個問題
[00:01:19.000 --> 00:01:20.000]  第一
[00:01:20.000 --> 00:01:22.000]  究竟安提亞之餐飯
[00:01:22.000 --> 00:01:24.000]  和佳泰教會有什麼關係呢
[00:01:24.000 --> 00:01:26.000]  如果和佳泰教會有關係的
[00:01:26.000 --> 00:01:27.000]  這一餐飯
[00:01:27.000 --> 00:01:30.000]  又和今天你和我又有什麼關係呢
[00:01:30.000 --> 00:01:32.000]  第三個問題我們會問
[00:01:32.000 --> 00:01:34.000]  究竟保羅是不是多此一舉呢
[00:01:34.000 --> 00:01:36.000]  是小事化大呢
[00:01:36.000 --> 00:01:40.000]  為什麼搞到這麼大件事這麼嚴重呢
[00:01:40.000 --> 00:01:42.000]  一餐飯而已
[00:01:42.000 --> 00:01:44.000]  以和為貴
[00:01:44.000 --> 00:01:46.000]  為什麼搞到這麼不歡而散呢
[00:01:46.000 --> 00:01:48.000]  等等的問題
[00:01:48.000 --> 00:01:50.000]  都是在看佳泰書
[00:01:50.000 --> 00:01:53.000]  這幾個經文裡面我們看到的問題
[00:01:53.000 --> 00:01:55.000]  事情是很簡單的
[00:01:55.000 --> 00:02:00.000]  就是彼得在安提亞的教會
[00:02:00.000 --> 00:02:04.000]  一個來自耶路撒冷的屬靈領袖
[00:02:04.000 --> 00:02:07.000]  一個江湖地位非常之顯赫的人
[00:02:07.000 --> 00:02:11.000]  他和外邦的教徒一起吃飯
[00:02:11.000 --> 00:02:13.000]  不要忘記弟兄姊妹
[00:02:13.000 --> 00:02:16.000]  猶太人和外邦人一起吃飯
[00:02:16.000 --> 00:02:19.000]  是非常複雜和麻煩的問題
[00:02:19.000 --> 00:02:21.000]  因為猶太人在食物裡面
[00:02:21.000 --> 00:02:23.000]  有潔與不潔之物
[00:02:23.000 --> 00:02:29.000]  今天香港有一個中派叫做福林安屍日會
[00:02:29.000 --> 00:02:36.000]  也是今天我們的港安醫院設立的
[00:02:36.000 --> 00:02:38.000]  他們仍然守安屍日
[00:02:38.000 --> 00:02:40.000]  他們不是守主日
[00:02:40.000 --> 00:02:42.000]  雖然他們是教徒
[00:02:42.000 --> 00:02:44.000]  他們食物仍然按照從醫學上
[00:02:44.000 --> 00:02:47.000]  你如果請港安醫院的醫生來講解
[00:02:47.000 --> 00:02:48.000]  他會跟你講解
[00:02:48.000 --> 00:02:53.000]  為什麼利美記講的是潔不潔的
[00:02:53.000 --> 00:02:54.000]  對身體有什麼好處
[00:02:54.000 --> 00:02:55.000]  對身體有什麼壞處
[00:02:55.000 --> 00:02:57.000]  但是不要忘記
[00:02:57.000 --> 00:03:00.000]  猶太人今天去到以色列旅行
[00:03:00.000 --> 00:03:02.000]  仍然面對一個問題
[00:03:02.000 --> 00:03:04.000]  就是吃飯的時候
[00:03:04.000 --> 00:03:05.000]  當你吃肉
