
[00:00:00.000 --> 00:00:02.500]  在十九世紀有一位牧師叫斯布真
[00:00:02.500 --> 00:00:04.700]  是英國一位牧師 很出名
[00:00:04.700 --> 00:00:07.600]  他寫了很多書
[00:00:07.600 --> 00:00:10.400]  當時他的教會很復興
[00:00:10.400 --> 00:00:13.300]  差不多有五千人在他的教會當中
[00:00:13.300 --> 00:00:15.000]  所以在那個年代
[00:00:15.000 --> 00:00:18.400]  要和幾千人講道簡直是不可思議
[00:00:18.400 --> 00:00:18.900]  為甚麼呢?
[00:00:18.900 --> 00:00:21.400]  因為昔日沒有麥克風
[00:00:21.400 --> 00:00:23.300]  沒有這麼美麗的音響
[00:00:23.300 --> 00:00:24.900]  沒有這麼美麗的東西
[00:00:24.900 --> 00:00:27.100]  來宣講上帝的說話
[00:00:27.100 --> 00:00:31.200]  以至到他的名聲能夠遍去全世界
[00:00:31.200 --> 00:00:34.100]  所以很多人都會去到他的教會來參觀
[00:00:34.100 --> 00:00:35.000]  來取經
[00:00:35.000 --> 00:00:39.000]  為甚麼你的教會可以給神這麼大的復興
[00:00:39.000 --> 00:00:40.500]  甚至他現在的書
[00:00:40.500 --> 00:00:41.600]  他的講道集
[00:00:41.600 --> 00:00:42.600]  對我們今天來說
[00:00:42.600 --> 00:00:46.400]  我們仍然都會去看的一些書籍
[00:00:46.400 --> 00:00:48.200]  於是去探他的時候
[00:00:48.200 --> 00:00:49.400]  去參觀的時候
[00:00:49.400 --> 00:00:50.600]  這個斯布真牧師
[00:00:50.600 --> 00:00:52.400]  他一定第一件事
[00:00:52.400 --> 00:00:56.100]  帶他們這班人去第一個房間
[00:00:56.100 --> 00:00:59.900]  絕對不是去崇拜的地方
[00:00:59.900 --> 00:01:02.800]  崇拜的地方一定是比較大的地方
[00:01:02.800 --> 00:01:05.000]  但他卻不是帶他們去崇拜的地方
[00:01:05.000 --> 00:01:09.000]  反而去到地下室一個房間
[00:01:09.000 --> 00:01:09.800]  為甚麼呢?
[00:01:09.800 --> 00:01:12.400]  就因為他說這個房間
[00:01:12.400 --> 00:01:15.900]  是每一天都有好幾十個弟兄姊妹
[00:01:15.900 --> 00:01:17.500]  在這裡祈禱
