
[00:00:00.000 --> 00:00:02.800]  今日和大家來思想到
[00:00:02.800 --> 00:00:05.200]  四端傳第十六章
[00:00:05.200 --> 00:00:08.900]  我給的題目叫做「夜間的異象」
[00:00:08.900 --> 00:00:12.800]  是保羅開始他第二次的
[00:00:12.800 --> 00:00:16.300]  這個報道的旅程
[00:00:16.300 --> 00:00:19.500]  保羅和巴拿巴在第一個旅程裏面
[00:00:19.500 --> 00:00:21.100]  神給他們很多的經歷
[00:00:21.100 --> 00:00:23.900]  給他們很多神自己的作為
[00:00:23.900 --> 00:00:26.300]  特別是愛幫人、信主這件事情
[00:00:26.300 --> 00:00:27.800]  帶給他們很興奮
[00:00:27.800 --> 00:00:31.200]  福音不單止是為猶太人
[00:00:31.200 --> 00:00:34.200]  並且要去到愛幫直到地極
[00:00:34.200 --> 00:00:37.600]  福音要傳遍這個世界
[00:00:37.600 --> 00:00:39.700]  對保羅和巴拿巴來說
[00:00:39.700 --> 00:00:42.600]  他們可能在整個宣教旅程上面
[00:00:42.600 --> 00:00:45.600]  他們仍然有很多學習的功課
[00:00:45.600 --> 00:00:46.600]  但是當我們一班
[00:00:46.600 --> 00:00:48.700]  今日在二十世紀回望
[00:00:48.700 --> 00:00:50.200]  在聖經初期
[00:00:50.200 --> 00:00:52.500]  在初期教會成立的時候
[00:00:52.500 --> 00:00:56.000]  他們怎樣艱辛來將福音傳開的時候
[00:00:56.000 --> 00:00:58.000]  我們求神幫助我們
[00:00:58.000 --> 00:00:59.000]  在這個年代裏面
[00:00:59.000 --> 00:01:03.400]  同樣將福音帶入更深的層次裏面
[00:01:03.400 --> 00:01:04.300]  特別在我們中間
[00:01:04.300 --> 00:01:06.100]  有很多在我們身邊
[00:01:06.100 --> 00:01:07.900]  未認識耶穌的人
[00:01:07.900 --> 00:01:11.000]  我們怎樣能夠在夜間的異象裏面
[00:01:11.000 --> 00:01:13.400]  同樣能夠將神自己
[00:01:13.400 --> 00:01:17.600]  恩惠的福音帶給在我們身邊的人呢
[00:01:17.600 --> 00:01:18.500]  我們看看保羅這次
[00:01:18.500 --> 00:01:20.700]  在第二次宣教的旅程
[00:01:20.700 --> 00:01:22.300]  神怎樣帶領著他
[00:01:22.300 --> 00:01:25.700]  能夠從亞洲這個領域裏面
[00:01:25.700 --> 00:01:29.200]  將福音帶入歐洲
[00:01:29.200 --> 00:01:30.400]  福音進入歐洲
[00:01:30.400 --> 00:01:32.700]  在整個教會歷史
[00:01:32.700 --> 00:01:35.400]  或者是整個世界歷史裏面
[00:01:35.400 --> 00:01:38.600]  是佔一個非常重要的環節
[00:01:38.600 --> 00:01:43.000]  讓歐洲成為一個雕化的國度
[00:01:43.000 --> 00:01:44.200]  雖然在這個國度裏面
[00:01:44.200 --> 00:01:47.500]  到今日有很多可圈可點的事情
[00:01:47.500 --> 00:01:51.800]  但是仍然留下很多很美好的提醒
[00:01:51.800 --> 00:01:56.600]  神仍然是在歷史當中來掌權
[00:01:56.600 --> 00:02:00.100]  在五六月的時間有機會去到英國
[00:02:00.100 --> 00:02:02.500]  有一個特別的安排
[00:02:02.500 --> 00:02:04.000]  我去到法國
[00:02:04.000 --> 00:02:07.300]  和大家一起去法國探望一位朋友
[00:02:07.300 --> 00:02:11.100]  他特別帶我們去了一個
[00:02:11.100 --> 00:02:14.900]  古代或者是那時中古世紀的城市
[00:02:14.900 --> 00:02:18.400]  仍然保持在大約一千多年前的
[00:02:18.400 --> 00:02:20.200]  特色的文化
[00:02:20.200 --> 00:02:24.700]  我們在他一間一千多年的教會裏面
[00:02:24.700 --> 00:02:26.000]  拍了一張照片
[00:02:26.000 --> 00:02:28.000]  如果大家看《城裏城外》的時候
[00:02:28.000 --> 00:02:30.000]  都會看到這一幅照片
[00:02:30.000 --> 00:02:31.900]  當時我進去有一個很有趣的問題
[00:02:31.900 --> 00:02:33.500]  好像在英國那樣問
[00:02:33.500 --> 00:02:37.300]  究竟這個禮拜堂是基督教的禮拜堂
[00:02:37.300 --> 00:02:39.700]  還是天主教的禮堂呢?
[00:02:39.700 --> 00:02:42.000]  突然有這樣的問題問自己
[00:02:42.000 --> 00:02:45.400]  大家立刻在褲袋裏醒過來
[00:02:45.400 --> 00:02:47.300]  一千年前的教會
[00:02:47.300 --> 00:02:50.500]  都未分為天主教和基督教
[00:02:50.500 --> 00:02:52.400]  當時就有一班敬畏神的人
[00:02:52.400 --> 00:02:54.600]  那個教堂在整個古城市裏面
[00:02:54.600 --> 00:02:56.800]  是最大的一個建築物
[00:02:56.800 --> 00:03:00.600]  是見證著當時在這個古城市裏面的人
[00:03:00.600 --> 00:03:04.200]  他們常常來到這個禮拜堂裏面
[00:03:04.200 --> 00:03:07.000]  來去敬拜神
[00:03:07.000 --> 00:03:10.300]  雖然整個世界有很多的變化
[00:03:10.300 --> 00:03:11.500]  就在這個古城裏面
[00:03:11.500 --> 00:03:16.400]  我看見神仍然在歷史當中工作
[00:03:16.400 --> 00:03:18.000]  神仍然在歷史當中來到
[00:03:18.000 --> 00:03:21.400]  有很多的痕跡提醒我們
[00:03:21.400 --> 00:03:23.400]  我們這一代會過去
[00:03:23.400 --> 00:03:26.200]  我們生命在世上很渺小
[00:03:26.200 --> 00:03:27.400]  但在歷史裏面
[00:03:27.400 --> 00:03:30.400]  神卻是永存
[00:03:30.400 --> 00:03:32.400]  一代到一代
[00:03:32.400 --> 00:03:36.100]  這樣帶領著他自己的百姓
[00:03:36.100 --> 00:03:38.200]  在不同的年代裏面
[00:03:38.200 --> 00:03:40.500]  去為神來工作
[00:03:40.500 --> 00:03:43.100]  在今天二十世紀這個年代裏面
