
[00:00:00.000 --> 00:00:01.960]  在上個星期的崇拜當中
[00:00:01.960 --> 00:00:04.280]  很多位置我都很深刻很感動
[00:00:04.280 --> 00:00:06.920]  但是有一個位置我是特別深刻的
[00:00:06.920 --> 00:00:09.880]  就是聽到一眾的受案人
[00:00:09.880 --> 00:00:12.720]  他們去分享他們的見證
[00:00:12.720 --> 00:00:14.560]  他們的術志
[00:00:14.560 --> 00:00:16.520]  在當中 韋文執事分享到
[00:00:16.520 --> 00:00:20.040]  當初他去回應做執事的呼召的時候
[00:00:20.040 --> 00:00:21.880]  上帝就透過約翰福音
[00:00:21.880 --> 00:00:24.200]  十二章二十四節的經文去鼓勵他
[00:00:24.200 --> 00:00:26.480]  就是我們剛才一起讀的那個金句
[00:00:26.480 --> 00:00:29.880]  「一粒脈子不落在地裡,死了,仍舊是一粒」
[00:00:29.880 --> 00:00:33.640]  「若是死了,就揭出許多紙粒來」
[00:00:33.640 --> 00:00:34.760]  剛好這麼巧
[00:00:34.760 --> 00:00:36.880]  我上個星期就去預備訊息的時候
[00:00:36.880 --> 00:00:39.840]  我就參考三代經課的經文
[00:00:39.840 --> 00:00:42.520]  就是很多教會都會跟著三年
[00:00:42.520 --> 00:00:47.360]  為一個循環的一個參考的表
[00:00:47.360 --> 00:00:49.600]  就一起去講一些教導
[00:00:49.600 --> 00:00:51.160]  我只是參考一下
[00:00:51.160 --> 00:00:52.680]  誰知道我一看的時候
[00:00:52.680 --> 00:00:57.640]  就看到今個星期要用的一個新約的經文
[00:00:57.640 --> 00:01:03.280]  就是今天選了的哥林多前書十五章的一個經文
[00:01:03.280 --> 00:01:07.880]  同樣就是關於一個脈子的一個比喻
[00:01:07.880 --> 00:01:09.440]  是保羅的一個教導
[00:01:09.440 --> 00:01:14.040]  就延續了約翰福音這個關於脈子的教導
[00:01:14.040 --> 00:01:15.760]  希望透過今天這個經文
[00:01:15.760 --> 00:01:17.720]  就讓上帝都光照我們
[00:01:17.720 --> 00:01:20.920]  看看我們是不是一粒落了在土裡
[00:01:20.920 --> 00:01:23.240]  死而後生的一粒脈子
[00:01:23.240 --> 00:01:26.800]  我們一起去祈禱
[00:01:26.800 --> 00:01:30.760]  天父我們感謝祢讓我們可以一起聚集
[00:01:30.760 --> 00:01:32.960]  去敬拜 讚美祢
[00:01:32.960 --> 00:01:36.120]  感謝祢無論是昔日還是今天
[00:01:36.120 --> 00:01:39.720]  仍然在我們這個群體當中興起很多祢的福音
[00:01:39.720 --> 00:01:42.760]  讓我們看見上帝祢怎樣去使用人
[00:01:42.760 --> 00:01:45.320]  去祝福人的生命
[00:01:45.320 --> 00:01:47.440]  求天父祢使用我們今天的訊息
[00:01:47.440 --> 00:01:50.000]  去思想我們每個人
[00:01:50.000 --> 00:01:51.360]  今天我們坐在這裡
[00:01:51.360 --> 00:01:53.080]  都稱我們自己是基督徒
[00:01:53.080 --> 00:01:54.720]  都稱我們是主力的門徒
[00:01:54.720 --> 00:01:58.400]  我們立志要去跟從耶穌基督祢的時候
[00:01:58.400 --> 00:02:01.600]  我們到底有沒有真的跟從耶穌祢那樣
[00:02:01.600 --> 00:02:04.120]  成為一粒落了在土裡的子粒
[00:02:04.120 --> 00:02:06.000]  結出很多的果子
[00:02:06.000 --> 00:02:08.160]  祝福到這個世界呢
[00:02:08.160 --> 00:02:11.040]  求天父使用接下來的訊息對我們說話
[00:02:11.040 --> 00:02:13.920]  祈禱奉主耶穌基督得聖名祈求
[00:02:13.920 --> 00:02:14.960]  阿們
[00:02:14.960 --> 00:02:23.400]  那我先講一講約翰福音十二章
[00:02:23.400 --> 00:02:24.880]  這一段經文裡面
[00:02:24.880 --> 00:02:28.640]  耶穌就說了我剛才所分享的一段話
[00:02:28.640 --> 00:02:30.400]  其實為什麼耶穌要說這句話呢
[00:02:30.400 --> 00:02:33.720]  其實祂是要總結祂人生的復仕
[00:02:33.720 --> 00:02:35.240]  因為接下來祂就要受難
[00:02:35.240 --> 00:02:38.480]  在這個經文的描述之後
[00:02:38.480 --> 00:02:40.000]  那一句說完
[00:02:40.000 --> 00:02:42.600]  其實耶穌祂一生的復仕
[00:02:42.600 --> 00:02:43.640]  其實是做什麼呢
[00:02:43.640 --> 00:02:46.320]  其實就是一個為他者的生命
[00:02:46.320 --> 00:02:48.680]  為他者的復仕
[00:02:48.680 --> 00:02:50.320]  那為他者是什麼呢
[00:02:50.320 --> 00:02:52.760]  就是服侍其他人
[00:02:52.760 --> 00:02:54.480]  那我今天想介紹
[00:02:54.480 --> 00:02:56.640]  這個他者就是上學學的
[00:02:56.640 --> 00:02:58.640]  以前在神學院的一個概念
[00:02:58.640 --> 00:03:01.480]  就是很多時候我們會說基督徒的生命
[00:03:01.480 --> 00:03:04.000]  就是為了造就別人的生命
[00:03:04.000 --> 00:03:05.200]  但是其實呢
[00:03:05.200 --> 00:03:06.920]  不是那麼簡單的
[00:03:06.920 --> 00:03:09.080]  就是如果簡單來造就別人的生命
[00:03:09.080 --> 00:03:10.920]  那我們會有一個傾向的
[00:03:10.920 --> 00:03:13.320]  就是服侍那些我喜歡服侍的人
[00:03:13.320 --> 00:03:15.200]  我能夠服侍的人
[00:03:15.200 --> 00:03:16.280]  但是呢
[00:03:16.280 --> 00:03:19.080]  他者就一個概念是有一個重點的
[00:03:19.080 --> 00:03:21.480]  就是不是隨便服侍一些人的
[00:03:21.480 --> 00:03:22.360]  而是服侍一些
[00:03:22.360 --> 00:03:25.120]  那個他者的意思是和你不同的存在
[00:03:25.120 --> 00:03:28.800]  就是他者的意思就是和你不同的其他人
[00:03:28.800 --> 00:03:30.400]  特別說這件事情
[00:03:30.400 --> 00:03:31.520]  就是你想一下
[00:03:31.520 --> 00:03:32.000]  一個植物
[00:03:32.000 --> 00:03:34.360]  或者特別我們用麥子來說
[00:03:34.360 --> 00:03:36.080]  麥子落了地裡面死的
