
[00:00:00.000 --> 00:00:03.440]  我哋一齊先去禱告去仰望神
[00:00:03.440 --> 00:00:08.480]  天父我多謝你俾我哋一齊去思想你嘅話語
[00:00:08.480 --> 00:00:10.480]  你嘅話語實在好寶貴
[00:00:10.480 --> 00:00:12.480]  亦都有好多傲悲
[00:00:12.480 --> 00:00:17.480]  亦都有好多我哋需要去仔細去睇我哋嘅聖經
[00:00:17.480 --> 00:00:19.480]  睇返前文後理
[00:00:19.480 --> 00:00:21.480]  睇返我當時嘅處境
[00:00:21.480 --> 00:00:23.480]  去再體會嘅時候
[00:00:23.480 --> 00:00:27.480]  我哋先能夠去更加領受準確
[00:00:27.480 --> 00:00:30.480]  或者我哋以前未必從呢個角度
[00:00:30.480 --> 00:00:35.480]  或者我哋有時會忽略咗嘅一啲經文嘅訊息
[00:00:35.480 --> 00:00:37.480]  求你幫助我哋今天
[00:00:37.480 --> 00:00:40.480]  仍然去睇耶穌嗰個嘅生平
[00:00:40.480 --> 00:00:43.480]  耶穌喺路加嗰個嘅描述嘅裏面
[00:00:43.480 --> 00:00:45.480]  佢點樣嚟到去展示
[00:00:45.480 --> 00:00:48.480]  耶穌究竟係一位點樣嘅耶穌
[00:00:48.480 --> 00:00:51.480]  耶穌嘅事公係一個點樣嘅事公
[00:00:51.480 --> 00:00:53.480]  亦都俾我哋一班嘅弟兄姊妹
[00:00:53.480 --> 00:00:55.480]  有咩嘢嘅提醒同埋啟迪
[00:00:55.480 --> 00:00:57.480]  我哋多謝主聽我哋禱告
[00:00:57.480 --> 00:00:58.480]  奉耶穌基督的名字
[00:00:58.480 --> 00:00:59.480]  阿門
[00:00:59.480 --> 00:01:01.480]  咁經文就多嘅
[00:01:01.480 --> 00:01:05.480]  所以我唔可以逐段去好詳細講
[00:01:05.480 --> 00:01:08.480]  咁但係我哋可以一路睇呢去
[00:01:08.480 --> 00:01:11.480]  睇三個嘅段落
[00:01:11.480 --> 00:01:13.480]  咁呢段經文呢就係
[00:01:13.480 --> 00:01:16.480]  十四節至到十七節呢就係第一個段落
[00:01:16.480 --> 00:01:17.480]  即係講一個背景啦
[00:01:17.480 --> 00:01:19.480]  咁嘅背景呢就係講緊
[00:01:19.480 --> 00:01:22.480]  耶穌呢佢係去到拿撒勒
[00:01:22.480 --> 00:01:24.480]  呢個佢長大嘅地方
[00:01:24.480 --> 00:01:27.480]  咁拿撒勒呢佢長大嘅地方呢
[00:01:27.480 --> 00:01:28.480]  係一個點嘅地方呢
[00:01:28.480 --> 00:01:31.480]  咁一陣間睇一張相就可以補充下
[00:01:31.480 --> 00:01:32.480]  講埋大綱先
[00:01:32.480 --> 00:01:35.480]  咁就一個嘅背景講完之後呢
[00:01:35.480 --> 00:01:38.480]  就係十八節至到第二十二節呢
[00:01:38.480 --> 00:01:39.480]  嗰度就係講到
[00:01:39.480 --> 00:01:41.480]  耶穌呢就好似頭先咁講啦
[00:01:41.480 --> 00:01:43.480]  佢就讀以賽亞書
[00:01:43.480 --> 00:01:46.480]  跟住佢就講咗句說話咁樣
[00:01:46.480 --> 00:01:48.480]  咁啲人有個反應
[00:01:48.480 --> 00:01:50.480]  而整體嘅反應係正面嘅
[00:01:50.480 --> 00:01:53.480]  咁但係呢當耶穌第二十三節呢
[00:01:53.480 --> 00:01:55.480]  再繼續講嘅時候
[00:01:55.480 --> 00:01:58.480]  佢就跟住落嚟呢
[00:01:58.480 --> 00:02:00.480]  到最尾嗰個結局呢
[00:02:00.480 --> 00:02:01.480]  就係啲人想推佢落山
[00:02:01.480 --> 00:02:02.480]  咁點解佢咁嘅呢
[00:02:02.480 --> 00:02:08.480]  咁嗰個係一個對耶穌反面嘅一種嘅反應啦
[00:02:08.480 --> 00:02:10.480]  咁所以呢個係好清楚
[00:02:10.480 --> 00:02:12.480]  有三段咁樣睇法嘅
