
[00:00:00.000 --> 00:00:04.500]  《錄音或錄影》
[00:00:04.500 --> 00:00:06.500]  此錄音或錄影的版權
[00:00:06.500 --> 00:00:09.500]  是屬於基督教宣導會不各堂所有
[00:00:09.500 --> 00:00:11.500]  我們的屬靈傳統之一
[00:00:11.500 --> 00:00:13.500]  是以真理教導為本
[00:00:13.500 --> 00:00:16.500]  歡迎您將此錄音或錄影的連結
[00:00:16.500 --> 00:00:17.500]  傳給親友
[00:00:17.500 --> 00:00:19.000]  懇請注意
[00:00:19.000 --> 00:00:20.500]  未經授權
[00:00:20.500 --> 00:00:23.500]  請勿轉錄或剪輯本錄音或錄影
[00:00:23.500 --> 00:00:28.500]  甚願好像《仕途行傳》20章32節下所說
[00:00:28.500 --> 00:00:30.500]  這道能建立你們
[00:00:30.500 --> 00:00:32.500]  叫你們和一切誠誠的人
[00:00:32.500 --> 00:00:34.500]  同得基業
[00:00:34.500 --> 00:00:37.500]  弟兄姊妹早晨
[00:00:37.500 --> 00:00:43.500]  我們繼續思想羅馬書給我們的訊息
[00:00:43.500 --> 00:00:45.500]  上星期經文提到
[00:00:45.500 --> 00:00:50.500]  因信得稱為義的重要基督信仰道理
[00:00:50.500 --> 00:00:51.500]  因為信耶穌
[00:00:51.500 --> 00:00:54.500]  我們明明本身是罪人
[00:00:54.500 --> 00:00:57.500]  但神就看我們為無罪
[00:00:57.500 --> 00:00:59.500]  賦予我們寶貴的救恩
[00:00:59.500 --> 00:01:01.500]  我們繼續看著
[00:01:01.500 --> 00:01:03.500]  這個因信稱義的道理
[00:01:03.500 --> 00:01:05.500]  其實對我們的生命
[00:01:05.500 --> 00:01:08.500]  有什麼可以見得到的影響
[00:01:08.500 --> 00:01:10.500]  羅馬書四章的經文
[00:01:10.500 --> 00:01:13.500]  繼續以阿伯拉罕的生命作為例子
[00:01:13.500 --> 00:01:17.500]  講述人去信神對他的影響
[00:01:17.500 --> 00:01:19.500]  首先我們想看看
[00:01:19.500 --> 00:01:22.500]  阿伯拉罕這份對神的信
[00:01:22.500 --> 00:01:25.500]  其實在《創世紀》15章
[00:01:25.500 --> 00:01:28.500]  當時阿伯蘭即是阿伯拉罕
[00:01:28.500 --> 00:01:30.500]  他當時未有自己的孩子
[00:01:30.500 --> 00:01:32.500]  但耶和華神就說
[00:01:32.500 --> 00:01:37.500]  他的後裔要像天上的星星那麼多
[00:01:37.500 --> 00:01:41.500]  而且他說是阿伯拉罕所親生的
[00:01:41.500 --> 00:01:44.500]  才成為他的繼承人
[00:01:44.500 --> 00:01:45.500]  《聖經》說
[00:01:45.500 --> 00:01:48.500]  即是《創世紀》所提到的
[00:01:48.500 --> 00:01:51.500]  阿伯蘭就是信耶和華
[00:01:51.500 --> 00:01:53.500]  以此算為他的義
[00:01:53.500 --> 00:01:56.500]  其實今天羅馬書的經文也是這樣說
[00:01:56.500 --> 00:01:58.500]  阿伯拉罕相信神
[00:01:58.500 --> 00:02:01.500]  這就算為他的義
[00:02:01.500 --> 00:02:03.500]  神應許阿伯拉罕
[00:02:03.500 --> 00:02:05.500]  阿伯拉罕對神有信心
[00:02:05.500 --> 00:02:07.500]  其實這份信心
[00:02:07.500 --> 00:02:09.500]  是很大很大彰顯
[00:02:09.500 --> 00:02:14.500]  在阿伯拉罕獻兒子以殺的事情上
[00:02:14.500 --> 00:02:18.500]  神就是要阿伯拉罕在摩利亞山
[00:02:18.500 --> 00:02:20.500]  其實我們都很清楚
[00:02:20.500 --> 00:02:23.500]  去獻真正算為繼承人
[00:02:23.500 --> 00:02:24.500]  是以殺
[00:02:24.500 --> 00:02:26.500]  《聖經》說明
[00:02:26.500 --> 00:02:29.500]  神是要去試驗他
[00:02:29.500 --> 00:02:33.500]  這個時候阿伯拉罕已經經歷了很多事情
[00:02:33.500 --> 00:02:35.500]  其實他已經很相信
[00:02:35.500 --> 00:02:38.500]  神是要賜福他後裔梵多
[00:02:38.500 --> 00:02:40.500]  這個應許
[00:02:40.500 --> 00:02:42.500]  神說明了
[00:02:42.500 --> 00:02:44.500]  叫阿伯拉罕去獻以殺
[00:02:44.500 --> 00:02:46.500]  他就真的遵從神
[00:02:46.500 --> 00:02:51.500]  他一方面知道神要賜福他的後裔梵多
[00:02:51.500 --> 00:02:52.500]  這個應許
[00:02:52.500 --> 00:02:57.500]  但現在又要去獻唯一的兒子以殺
[00:02:57.500 --> 00:03:00.500]  那他怎麼會後裔梵多呢
[00:03:00.500 --> 00:03:02.500]  其實阿伯拉罕當時
[00:03:02.500 --> 00:03:04.500]  知不知道
[00:03:04.500 --> 00:03:05.500]  不知道
[00:03:05.500 --> 00:03:10.500]  他不知道神怎樣可以成就他的應許
[00:03:10.500 --> 00:03:12.500]  阿伯拉罕當時知不知道
[00:03:12.500 --> 00:03:13.500]  他不知道
[00:03:13.500 --> 00:03:16.500]  神是會將以殺復活
[00:03:16.500 --> 00:03:20.500]  是真的會用羊羔去代替以殺
[00:03:20.500 --> 00:03:23.500]  還是神再令阿伯拉罕
[00:03:23.500 --> 00:03:25.500]  即超過一百歲的阿伯拉罕
[00:03:25.500 --> 00:03:27.500]  又再生一子呢
[00:03:27.500 --> 00:03:31.500]  其實阿伯拉罕是完全不知道
[00:03:31.500 --> 00:03:32.500]  完全不知道
[00:03:32.500 --> 00:03:34.500]  阿伯拉罕只是相信
[00:03:34.500 --> 00:03:36.500]  然後跟從
[00:03:36.500 --> 00:03:38.500]  他相信神
[00:03:38.500 --> 00:03:40.500]  在《創世紀》
[00:03:40.500 --> 00:03:45.500]  這裡的結果就是耶和華神再次肯定他
[00:03:45.500 --> 00:03:47.500]  再應許他
[00:03:47.500 --> 00:03:50.500]  甚至在聖經三處的經文
[00:03:50.500 --> 00:03:51.500]  包括這裡
[00:03:51.500 --> 00:03:53.500]  以賽亞書的經文
[00:03:53.500 --> 00:03:56.500]  阿伯拉罕是被稱為神的朋友
