
[00:00:00.000 --> 00:00:28.000]  德國的神學家邦封赫爾·蒂特里克·邦封赫爾
[00:00:28.000 --> 00:00:36.000]  他二戰的時候給希特拉的軍隊抓了,放到監獄裏面
[00:00:36.000 --> 00:00:48.000]  就是在他要被洗刑一個月的時候,還有一個月要接受這個洗刑的時候
[00:00:48.000 --> 00:00:51.000]  他寫了一篇詩
[00:00:51.000 --> 00:00:55.000]  其中一句話,幾句話是這樣說的
[00:00:55.000 --> 00:00:58.000]  他的詩的題目叫做"我是誰"
[00:00:58.000 --> 00:01:01.000]  Who am I? 我是誰?
[00:01:01.000 --> 00:01:07.000]  其中幾句話是這樣說,他說"我是誰呢?"
[00:01:07.000 --> 00:01:14.000]  這些寂寞的問題,他們在招論我
[00:01:14.000 --> 00:01:24.000]  上帝啊,不論我是誰,你知道我永遠屬於你
[00:01:24.000 --> 00:01:27.000]  這幾句很有意義的說話
[00:01:27.000 --> 00:01:34.000]  在三千多年前,摩西的口中也差不多同樣地說了
[00:01:34.000 --> 00:01:38.000]  剛纔我們所念的生命記
[00:01:38.000 --> 00:01:43.000]  如果大家有研究舊約裏面的生命記,雖然不容易念
[00:01:43.000 --> 00:01:46.000]  但是非常有意思
[00:01:46.000 --> 00:01:52.000]  因爲生命記基本上是摩西的遺言或者遺囑
[00:01:52.000 --> 00:01:56.000]  爲什麼呢?大家可能也知道一些歷史
[00:01:56.000 --> 00:02:00.000]  摩西帶領以色列人離開了埃及
[00:02:00.000 --> 00:02:03.000]  在那個礦野裏面漂流了四十年
[00:02:03.000 --> 00:02:09.000]  然後終於現在要進到英許之地的迦南的門口了
[00:02:09.000 --> 00:02:16.000]  以色列人要過那個河進到英許之地了
[00:02:16.000 --> 00:02:21.000]  就是在這個時候摩西知道他不能進去
[00:02:21.000 --> 00:02:24.000]  如果你是摩西,你也想到他的心情
[00:02:24.000 --> 00:02:27.000]  賠了那個最困難的時候
[00:02:27.000 --> 00:02:31.000]  現在這個民主要過去了
[00:02:31.000 --> 00:02:34.000]  那麼他跟他們要講些什麼話呢?
[00:02:34.000 --> 00:02:41.000]  生命記就是記載了三篇摩西最後跟以色列人要講的話
[00:02:41.000 --> 00:02:44.000]  然後以色列人就過去了
[00:02:44.000 --> 00:02:49.000]  沒有人比摩西更知道以色列人前面的路不容易走
[00:02:49.000 --> 00:02:53.000]  因爲這個迦南地雖然是英許之地給他們
[00:02:53.000 --> 00:02:57.000]  但是那個地方已經住了很多其他的革族革命的地方
[00:02:57.000 --> 00:03:02.000]  而且那些民主的信仰跟以色列人當然不同
[00:03:02.000 --> 00:03:05.000]  所以以色列人面對很大的信仰上的挑戰
[00:03:05.000 --> 00:03:13.000]  而且那些民主無論在文化上文明上都比以色列人高
[00:03:13.000 --> 00:03:17.000]  因爲大家也知道以色列人哪裏有什麼文明
[00:03:17.000 --> 00:03:21.000]  一集在埃及當奴隸,什麼都學不到
[00:03:21.000 --> 00:03:25.000]  然後再過了四十年在曠野漂流
[00:03:25.000 --> 00:03:28.000]  什麼文明都是最低下的了
[00:03:28.000 --> 00:03:31.000]  但是在迦南地的民主
[00:03:31.000 --> 00:03:35.000]  阿門人,菲律斯人
[00:03:35.000 --> 00:03:39.000]  那些人全都是文明比他們高得多
[00:03:39.000 --> 00:03:41.000]  現在以色列人要進去了
[00:03:41.000 --> 00:03:44.000]  進去人家的地方要安頓下來
[00:03:44.000 --> 00:03:47.000]  在信仰上,在生活上
[00:03:47.000 --> 00:03:52.000]  在各樣的挑戰上,人家對他的攻擊上都沒有把握
[00:03:52.000 --> 00:03:55.000]  那麼摩西現在要送他們過去了
[00:03:55.000 --> 00:03:57.000]  他自己不能再帶他們去
[00:03:57.000 --> 00:04:00.000]  你說摩西要說什麼話
[00:04:00.000 --> 00:04:03.000]  我就特別帶着這個心情重新再看生命紀的時候
[00:04:03.000 --> 00:04:07.000]  就看到今天剛纔跟大家唸的那一段聖經
[00:04:07.000 --> 00:04:08.000]  我覺得特別有意思
[00:04:08.000 --> 00:04:11.000]  今天早上跟大家一起來分享
[00:04:11.000 --> 00:04:14.000]  就是第一個講章
[00:04:14.000 --> 00:04:17.000]  從第一章第一節
[00:04:17.000 --> 00:04:20.000]  一直到第四章末了
[00:04:20.000 --> 00:04:22.000]  就是第一個講章
[00:04:22.000 --> 00:04:26.000]  第二個講章就是從第四章最後到十一章
[00:04:26.000 --> 00:04:27.000]  比較長的
[00:04:27.000 --> 00:04:31.000]  第三個講章就是二十九跟三十章
[00:04:31.000 --> 00:04:35.000]  所以我今天就抽了第一個講章裏面最後
[00:04:35.000 --> 00:04:36.000]  差不多最後的話
[00:04:36.000 --> 00:04:38.000]  跟大家來思想一下
[00:04:38.000 --> 00:04:42.000]  同樣那個題目就是我是誰
[00:04:42.000 --> 00:04:43.000]  爲什麼
[00:04:43.000 --> 00:04:45.000]  摩西的意思是說以前的人
[00:04:45.000 --> 00:04:49.000]  前面的路你怎麼樣都沒辦法預料
[00:04:49.000 --> 00:04:51.000]  非常之艱難
[00:04:51.000 --> 00:04:53.000]  就像我們人生一樣
[00:04:53.000 --> 00:04:56.000]  無論你從什麼地方來到香港
[00:04:56.000 --> 00:04:58.000]  或者是香港本地人
[00:04:58.000 --> 00:05:00.000]  前面的路真的不好走
[00:05:00.000 --> 00:05:02.000]  那麼怎麼可以面對明天
[00:05:02.000 --> 00:05:04.000]  帶着什麼心情
[00:05:04.000 --> 00:05:07.000]  摩西的回答只有一個
[00:05:07.000 --> 00:05:10.000]  你要知道你是誰
[00:05:10.000 --> 00:05:12.000]  你知道你是誰嗎
[00:05:12.000 --> 00:05:14.000]  這個好像很抽象的問題
[00:05:14.000 --> 00:05:18.000]  到摩西的手中我覺得是非常的真實
[00:05:18.000 --> 00:05:21.000]  從一個信仰的角度來問這個問題
[00:05:21.000 --> 00:05:23.000]  你知道你是誰嗎
[00:05:23.000 --> 00:05:26.000]  摩西怎麼問這個問題呢
[00:05:26.000 --> 00:05:30.000]  我們說摩西在剛纔那段經文裏面
[00:05:30.000 --> 00:05:37.000]  講了兩個不同的角度的問題
[00:05:37.000 --> 00:05:39.000]  第一個摩西說
[00:05:39.000 --> 00:05:42.000]  你要知道你是誰嗎
[00:05:42.000 --> 00:05:49.000]  你要問你與其他人不同的地方在哪裏
[00:05:49.000 --> 00:05:54.000]  你知道你跟其他人有什麼不同
[00:05:54.000 --> 00:05:56.000]  我特別想跟大家分享
[00:05:56.000 --> 00:06:00.000]  第七節到第八節這兩節的聖經
[00:06:00.000 --> 00:06:02.000]  剛纔如果你有打開聖經的話
[00:06:02.000 --> 00:06:03.000]  你可以繼續打開
[00:06:03.000 --> 00:06:05.000]  如果你現在能夠打開的話
[00:06:05.000 --> 00:06:06.000]  我也鼓勵你
[00:06:06.000 --> 00:06:08.000]  因爲剛纔我們所念的那段話
[00:06:08.000 --> 00:06:11.000]  非常的有意思
