
[00:00:00.000 --> 00:00:03.000]  我聽過一個這樣的報道
[00:00:03.000 --> 00:00:08.000]  我聽過一個這樣的報導
[00:00:08.000 --> 00:00:13.000]  有一個嬰兒在哭
[00:00:13.000 --> 00:00:16.000]  有一個小嬰孩在哭
[00:00:16.000 --> 00:00:19.000]  突然間他在笑
[00:00:19.000 --> 00:00:21.000]  為什麼呢?
[00:00:21.000 --> 00:00:23.000]  那些人就研究
[00:00:23.000 --> 00:00:24.000]  那些人就研究
[00:00:24.000 --> 00:00:29.000]  原來電視機的畫面突然間消失
[00:00:29.000 --> 00:00:32.000]  突然間電視機的畫面消失
[00:00:32.000 --> 00:00:37.000]  有一些沙沙的聲音出現
[00:00:37.000 --> 00:00:43.000]  這個嬰兒就馬上從哭變成笑
[00:00:43.000 --> 00:00:46.000]  那個嬰孩就馬上從哭變成笑
[00:00:46.000 --> 00:00:49.000]  原因是什麼呢?
[00:00:49.000 --> 00:00:52.000]  原因就是那個嬰孩
[00:00:52.000 --> 00:00:56.000]  以為回到媽媽的肚子裡
[00:00:56.000 --> 00:01:00.000]  原來那個嬰孩就以為自己回到媽媽的肚子裡
[00:01:00.000 --> 00:01:01.000]  那麼安全
[00:01:01.000 --> 00:01:02.000]  那麼安全
[00:01:02.000 --> 00:01:04.000]  所以他就不哭了
[00:01:04.000 --> 00:01:06.000]  他就笑了
[00:01:06.000 --> 00:01:08.000]  大家覺得這個有沒有效呢?
[00:01:08.000 --> 00:01:12.000]  大家不曉得有沒有效
[00:01:12.000 --> 00:01:15.000]  有一個這樣的報導
[00:01:15.000 --> 00:01:19.000]  最近我又看了一則新聞
[00:01:19.000 --> 00:01:21.000]  最近又看了一則新聞
[00:01:21.000 --> 00:01:24.000]  它說有些人睡不著
[00:01:24.000 --> 00:01:26.000]  有些人睡不著
[00:01:26.000 --> 00:01:28.000]  那有什麼方法可以睡得著呢?
[00:01:28.000 --> 00:01:30.000]  有什麼方法可以睡得著呢?
[00:01:30.000 --> 00:01:32.000]  給他一些香味聞
[00:01:32.000 --> 00:01:35.000]  給他一些香味聞
[00:01:35.000 --> 00:01:39.000]  如果他聞到一些像他媽媽的味道
[00:01:39.000 --> 00:01:42.000]  如果他聞到一些像他媽媽的味道
[00:01:42.000 --> 00:01:45.000]  就是很多年前他聞到媽媽的味道
[00:01:45.000 --> 00:01:48.000]  就是很多年前他聞到媽媽的味道
[00:01:48.000 --> 00:01:50.000]  那麼那個人就很容易睡著
[00:01:50.000 --> 00:01:52.000]  那麼那個人就很容易睡著
[00:01:52.000 --> 00:01:53.000]  是不是很奇妙?
[00:01:53.000 --> 00:01:54.000]  是不是很奇妙?
[00:01:54.000 --> 00:01:55.000]  那麼你試一下
[00:01:55.000 --> 00:01:56.000]  如果你是失眠的時候
[00:01:56.000 --> 00:01:58.000]  如果你是失眠你可以去試試看
[00:01:58.000 --> 00:02:01.000]  隨便找一些香味去聞
[00:02:01.000 --> 00:02:03.000]  然後可以去找一些香味去聞一聞
[00:02:03.000 --> 00:02:06.000]  聞到一些像你媽媽的味道
[00:02:06.000 --> 00:02:09.000]  看能不能聞到一些母親的味道
[00:02:09.000 --> 00:02:13.000]  從以上的例子我們知道人很需要安全感
[00:02:13.000 --> 00:02:16.000]  從剛才的例子我們看到人很需要安全感
[00:02:16.000 --> 00:02:22.000]  正如一句成語叫做「安身立命」
[00:02:22.000 --> 00:02:25.000]  正如一句成語叫做「安身立命」
[00:02:25.000 --> 00:02:28.000]  「安身立命」這句成語是有典故的
[00:02:28.000 --> 00:02:30.000]  原來這句成語是有典故的
[00:02:30.000 --> 00:02:31.000]  那麼「安身」是什麼呢?
[00:02:31.000 --> 00:02:35.000]  是指人在某個地方安頓下來
[00:02:35.000 --> 00:02:39.000]  原來「安身」是指某一個人在某一個地方安頓下來
[00:02:39.000 --> 00:02:43.000]  「立命」是指一個人精神有所寄託
[00:02:43.000 --> 00:02:45.000]  能夠立志去做好一件事
[00:02:45.000 --> 00:02:47.000]  然後「立命」就是原來一個人精神有寄託
[00:02:47.000 --> 00:02:49.000]  他立志去做一件事
[00:02:49.000 --> 00:02:51.000]  那麼「全具」的意思就是說
[00:02:51.000 --> 00:02:53.000]  一個人的生活要有著落
[00:02:53.000 --> 00:02:55.000]  一個人的生活要有著落
[00:02:55.000 --> 00:03:00.000]  那麼他的精神意志才能夠得以發揮
[00:03:00.000 --> 00:03:02.000]  原來他的精神才能夠得以發揮
[00:03:02.000 --> 00:03:06.000]  由此可見一個人追求「安身立命」
[00:03:06.000 --> 00:03:08.000]  原來一個人追求「安身立命」
[00:03:08.000 --> 00:03:10.000]  是人之常情
[00:03:10.000 --> 00:03:11.000]  是人之常情
[00:03:11.000 --> 00:03:14.000]  但是今天我們卻看到一些例子
[00:03:14.000 --> 00:03:16.000]  但是我們今天卻看到一些例子
[00:03:16.000 --> 00:03:21.000]  主耶穌好像不希望人「安身立命」
[00:03:21.000 --> 00:03:24.000]  主耶穌好像不希望人「安身立命」
[00:03:24.000 --> 00:03:29.000]  讓我們首先看看馬太福音第八章十九至二十節
[00:03:29.000 --> 00:03:33.000]  我們先看看馬太福音第八章第十九至二十節
[00:03:33.000 --> 00:03:35.000]  有一個文士來對他說
[00:03:35.000 --> 00:03:38.000]  夫子你無論往哪裡去我要跟從你
[00:03:38.000 --> 00:03:41.000]  這邊有講到有一個文士來對他說
[00:03:41.000 --> 00:03:45.000]  夫子你無論往哪裡去我要跟從你
[00:03:45.000 --> 00:03:48.000]  這個文士想跟從耶穌
[00:03:48.000 --> 00:03:50.000]  這個文士他希望去跟從耶穌
[00:03:50.000 --> 00:03:54.000]  二十節耶穌說:狐狸有洞,天空的飛鳥有窩
[00:03:54.000 --> 00:03:59.000]  二十節耶穌說:狐狸有洞,天空的飛鳥有窩
[00:03:59.000 --> 00:04:01.000]  人子卻沒有枕頭的地方
[00:04:01.000 --> 00:04:03.000]  人子卻沒有枕頭的地方
[00:04:03.000 --> 00:04:04.000]  我們就要問
[00:04:04.000 --> 00:04:06.000]  我們就要問
[00:04:06.000 --> 00:04:13.000]  主耶穌是不是刁難人或者拒絕人去跟從他呢?
[00:04:13.000 --> 00:04:15.000]  我們就要問
[00:04:15.000 --> 00:04:17.000]  主耶穌是不是刁難人或者拒絕人去跟從他呢?
[00:04:17.000 --> 00:04:24.000]  原因是這個文士口頭上說要跟從主的時候
