
[00:00:00.000 --> 00:00:04.860]  今天我們會講耶穌伊斯坦之
[00:00:04.860 --> 00:00:07.580]  我們今天會講耶穌伊斯坦之
[00:00:07.580 --> 00:00:12.340]  在未講之先,我想請大家看一個短片
[00:00:12.340 --> 00:00:17.260]  我還沒有開始講的時候,先請大家看一片短片
[00:00:17.260 --> 00:00:21.920]  大概是兩分鐘都不到的短片
[00:00:21.920 --> 00:00:24.180]  大概兩分鐘不多的短片
[00:00:24.180 --> 00:00:25.680]  請大家收看
[00:00:25.680 --> 00:00:27.680]  我們請大家收看
[00:00:29.680 --> 00:00:31.680]  可以關掉燈嗎?
[00:00:31.680 --> 00:00:33.680]  可能看不清楚
[00:00:59.680 --> 00:01:01.680]  看起來很好
[00:01:01.680 --> 00:01:03.680]  看起來很精彩
[00:01:03.680 --> 00:01:15.680]  Nick現在在這走廊的中間
[00:01:15.680 --> 00:01:21.680]  我可以看得到
[00:01:21.680 --> 00:01:25.680]  我可以看得到,但你還可以掌握得很好
[00:01:29.680 --> 00:01:31.680]  很好
[00:01:31.680 --> 00:01:41.680]  我可以看得到一切
[00:01:41.680 --> 00:01:45.680]  謝謝主啊
[00:01:45.680 --> 00:01:47.680]  謝謝Discovery Channel相信我
[00:01:47.680 --> 00:01:50.680]  你的小弟弟在那邊看著你
[00:01:50.680 --> 00:01:56.680]  真正的藝術家
[00:01:56.680 --> 00:01:58.680]  你知道嗎?
[00:01:58.680 --> 00:02:10.680]  我知道
[00:02:10.680 --> 00:02:21.680]  謝謝
[00:02:21.680 --> 00:02:23.680]  在這個短片裏面
[00:02:23.680 --> 00:02:25.680]  在這短片裏面
[00:02:25.680 --> 00:02:29.680]  我們看到這個走鋼線的表演者
[00:02:29.680 --> 00:02:31.680]  我們看到走鋼線的表演者
[00:02:31.680 --> 00:02:34.680]  我們可能會想他很勇敢
[00:02:34.680 --> 00:02:36.680]  我們會想他很勇敢
[00:02:36.680 --> 00:02:38.680]  很有那種勇氣
[00:02:38.680 --> 00:02:40.680]  他很有勇氣的
[00:02:40.680 --> 00:02:42.680]  另一件事就是他很有信心
[00:02:42.680 --> 00:02:44.680]  還有一件事就是他很有信心
[00:02:44.680 --> 00:02:46.680]  否則他不會去表演
[00:02:46.680 --> 00:02:48.680]  否則他不會去表演
[00:02:48.680 --> 00:02:51.680]  但我們親眼看到他是成功的
