
[00:00:00.000 --> 00:00:02.800]  今天是六月二十五日
[00:00:02.800 --> 00:00:06.900]  是去到《以賽亞書》第四十一和四十二章
[00:00:06.900 --> 00:00:10.100]  明天繼續第十三和四十四章
[00:00:10.100 --> 00:00:11.500]  你去到這段聖經
[00:00:11.500 --> 00:00:13.100]  即是去到四十章以後
[00:00:13.100 --> 00:00:17.700]  你會發現我們進入了《以賽亞書》的另一個部份
[00:00:17.700 --> 00:00:18.900]  如果我們說
[00:00:18.900 --> 00:00:21.200]  《以賽亞書》有些人將它分成兩部份
[00:00:21.200 --> 00:00:22.100]  即是三部份
[00:00:22.100 --> 00:00:24.800]  即是叫 First Isaiah
[00:00:24.800 --> 00:00:25.500]  Second Isaiah
[00:00:25.500 --> 00:00:26.300]  Third Isaiah
[00:00:26.300 --> 00:00:27.700]  即是第一部份、第二部份
[00:00:27.700 --> 00:00:29.900]  我們簡單將它分成兩部份的話
[00:00:29.900 --> 00:00:33.000]  《以賽亞書》一至三十九章就是第一部份
[00:00:33.000 --> 00:00:35.500]  然後就四十至六十六
[00:00:35.500 --> 00:00:39.300]  如果你說一至三十九章的主題是
[00:00:39.300 --> 00:00:42.500]  上帝審判的預言
[00:00:42.500 --> 00:00:47.300]  後面那裏就是一個上帝拯救的預言
[00:00:47.300 --> 00:00:48.500]  去到這裏
[00:00:48.500 --> 00:00:52.100]  你會發現有一個主題是會
[00:00:52.100 --> 00:00:54.800]  都頗多出現的
[00:00:54.800 --> 00:00:56.800]  由四十章開始已經有了
[00:00:56.800 --> 00:01:01.900]  我們今天的聖經我想跟大家看多一點的是四十一章
[00:01:01.900 --> 00:01:04.200]  四十一章第十節這樣說
[00:01:04.200 --> 00:01:05.900]  它說:你不要害怕
[00:01:05.900 --> 00:01:08.300]  因為我與你同在
[00:01:08.300 --> 00:01:09.200]  不要驚慌
[00:01:09.200 --> 00:01:11.500]  因為我是你的上帝
[00:01:11.500 --> 00:01:13.400]  我必兼顧你、幫助你
[00:01:13.400 --> 00:01:16.700]  我用公義的右手扶持你
[00:01:16.700 --> 00:01:18.300]  當你讀到這段這樣的聖經
[00:01:18.300 --> 00:01:21.700]  那你會在想些甚麼呢?
[00:01:21.700 --> 00:01:25.000]  我今天的《道經教育集》有一個題目
[00:01:25.000 --> 00:01:27.800]  那個題目就是「不要怕甚麼」
[00:01:27.800 --> 00:01:29.400]  「不要怕甚麼」的「甚麼」之後
[00:01:29.400 --> 00:01:31.400]  應該有個問號的
[00:01:31.400 --> 00:01:33.800]  就是究竟上帝叫我們不怕
[00:01:33.800 --> 00:01:35.200]  不怕些甚麼呢?
[00:01:35.200 --> 00:01:40.300]  如果你用一個金句式的演繹方式
[00:01:40.300 --> 00:01:42.600]  你不要害怕、不要驚慌
[00:01:42.600 --> 00:01:44.100]  我必兼顧你、幫助你
[00:01:44.100 --> 00:01:46.200]  其實甚麼都可以吧
[00:01:46.200 --> 00:01:47.900]  盧牧師這裏講得很清楚
[00:01:47.900 --> 00:01:48.800]  不要害怕
