
[00:00:00.000 --> 00:00:03.000]  今天分享的題目是復活節的智慧
[00:00:03.000 --> 00:00:08.000]  我們會一起看哥倫多前書15章1至11節的經文
[00:00:08.000 --> 00:00:11.000]  做不同的事情都需要不同的智慧
[00:00:11.000 --> 00:00:13.000]  最近考DSE的同學
[00:00:13.000 --> 00:00:18.000]  他們都很需要溫習功課和面對考試的智慧
[00:00:18.000 --> 00:00:21.000]  我們在職場工作的弟兄姊妹
[00:00:21.000 --> 00:00:23.000]  也都需要有職場的智慧
[00:00:23.000 --> 00:00:26.000]  我們跟別人去相處
[00:00:26.000 --> 00:00:29.000]  也都會需要有跟別人相處的智慧
[00:00:29.000 --> 00:00:31.000]  最近過去一年
[00:00:31.000 --> 00:00:34.000]  有些人很喜歡做的活動
[00:00:34.000 --> 00:00:37.000]  其實都需要有些智慧
[00:00:37.000 --> 00:00:39.000]  今天分享第一件事
[00:00:39.000 --> 00:00:42.000]  是北上過關的智慧
[00:00:42.000 --> 00:00:45.000]  我想問大家多不多北上過關的
[00:00:45.000 --> 00:00:47.000]  你知不知道
[00:00:47.000 --> 00:00:51.000]  蚊姨姨都帶我北上過關的
[00:00:51.000 --> 00:00:54.000]  北上過關有什麼智慧呢
[00:00:54.000 --> 00:00:56.000]  我想問問當你過關的時候
[00:00:56.000 --> 00:00:59.000]  你是應該排在中間的隊伍
[00:00:59.000 --> 00:01:01.000]  還是排在旁邊的隊伍
[00:01:01.000 --> 00:01:04.000]  覺得排在中間的就舉手
[00:01:04.000 --> 00:01:06.000]  覺得排在旁邊的呢
[00:01:06.000 --> 00:01:09.000]  大家都是充滿著北上過關的智慧
[00:01:09.000 --> 00:01:11.000]  我一開始就不太懂
[00:01:11.000 --> 00:01:13.000]  但後來我北上過關的時候
[00:01:13.000 --> 00:01:14.000]  就有朋友告訴我
[00:01:14.000 --> 00:01:17.000]  Eugena你不要站在中間
[00:01:17.000 --> 00:01:19.000]  你應該站在旁邊
[00:01:19.000 --> 00:01:21.000]  這時候我就問為什麼要站在旁邊
[00:01:21.000 --> 00:01:23.000]  他說因為你排在一起
[00:01:23.000 --> 00:01:25.000]  如果很多人的時候
[00:01:25.000 --> 00:01:27.000]  你就多開幾條隊
[00:01:27.000 --> 00:01:28.000]  當你站在旁邊的時候
[00:01:28.000 --> 00:01:29.000]  他一開隊的時候
[00:01:29.000 --> 00:01:32.000]  你就九秒九向隊衝過去
[00:01:32.000 --> 00:01:34.000]  原來有這個智慧
[00:01:34.000 --> 00:01:35.000]  如果衝不到
[00:01:35.000 --> 00:01:38.000]  你的隊都短很多了
[00:01:38.000 --> 00:01:40.000]  那人有些智慧
[00:01:40.000 --> 00:01:42.000]  還有我不知道大家有沒有試過
[00:01:42.000 --> 00:01:43.000]  大家有沒有試過
[00:01:43.000 --> 00:01:44.000]  你的回應客過關的時候
[00:01:44.000 --> 00:01:47.000]  有時不是馬上碰到
[00:01:47.000 --> 00:01:49.000]  你知不知道馬上碰到的時候
[00:01:49.000 --> 00:01:50.000]  是你生命
[00:01:50.000 --> 00:01:53.000]  我覺得是你生命面對最大壓力
[00:01:53.000 --> 00:01:55.000]  因為你碰不到
[00:01:55.000 --> 00:01:58.000]  後面的人知道會怎樣嗎
[00:01:58.000 --> 00:02:00.000]  大家都做了
[00:02:00.000 --> 00:02:03.000]  我都不想的
[00:02:03.000 --> 00:02:05.000]  所以我一次被人截完之後
[00:02:05.000 --> 00:02:06.000]  我就知道了
[00:02:06.000 --> 00:02:08.000]  下次還是不要被人截
[00:02:08.000 --> 00:02:10.000]  就好像你派完單張一次之後
[00:02:10.000 --> 00:02:12.000]  你對派單張的人的憐憫
[00:02:12.000 --> 00:02:14.000]  都多了很多
[00:02:14.000 --> 00:02:15.000]  所以有些人就說
[00:02:15.000 --> 00:02:16.000]  你千萬不要站在中間
[00:02:16.000 --> 00:02:17.000]  為什麼呢
[00:02:17.000 --> 00:02:19.000]  當你拍不到回鄉卡的時候
[00:02:19.000 --> 00:02:20.000]  需要人幫助
[00:02:20.000 --> 00:02:23.000]  但那些職員在兩邊
[00:02:23.000 --> 00:02:24.000]  那些職員在兩邊
[00:02:24.000 --> 00:02:26.000]  很難走到中間幫你
[00:02:26.000 --> 00:02:28.000]  所以記住排在旁邊
[00:02:28.000 --> 00:02:31.000]  原來這個是北上過關的智慧
[00:02:31.000 --> 00:02:36.000]  近期都很多人喜歡抽盲盒玩具
[00:02:36.000 --> 00:02:38.000]  我不知道你喜不喜歡抽盲盒玩具
[00:02:38.000 --> 00:02:41.000]  我最近都被人帶了入坑
[00:02:41.000 --> 00:02:45.000]  就喜歡了其中一個系列
[00:02:45.000 --> 00:02:47.000]  你喜歡了系列的時候
[00:02:47.000 --> 00:02:49.000]  你就會去買這些公仔模型
[00:02:49.000 --> 00:02:52.000]  他們這些叫做抽盲盒
[00:02:52.000 --> 00:02:54.000]  原來抽盲盒玩具
[00:02:54.000 --> 00:02:56.000]  都有抽盲盒玩具的智慧
[00:02:56.000 --> 00:02:59.000]  有一次我去一間門市
[00:02:59.000 --> 00:03:01.000]  想買一個盲盒玩具
[00:03:01.000 --> 00:03:03.000]  我走過去買的時候
[00:03:03.000 --> 00:03:05.000]  我看到有些人圍著盒子
[00:03:05.000 --> 00:03:07.000]  就這樣
[00:03:07.000 --> 00:03:11.000]  買了我的盒子
[00:03:11.000 --> 00:03:13.000]  我說其實我的盒子
[00:03:13.000 --> 00:03:15.000]  是用來做什麼的呢
[00:03:15.000 --> 00:03:18.000]  但我不想被人覺得我沒有智慧
[00:03:18.000 --> 00:03:20.000]  於是我走過去的時候
[00:03:20.000 --> 00:03:22.000]  我都逐個盒子在那裡
[00:03:22.000 --> 00:03:25.000]  但我搖來搖去
[00:03:25.000 --> 00:03:27.000]  我都不知道在聽什麼
[00:03:27.000 --> 00:03:29.000]  但我覺得我走過去拿一個
[00:03:29.000 --> 00:03:31.000]  去付錢又好像沒有智慧
