
[00:00:00.000 --> 00:00:02.000]  冥姊妹早晨
[00:00:02.000 --> 00:00:07.000]  在很多年前有一個無神論者
[00:00:07.000 --> 00:00:10.000]  去到教會參加聚會
[00:00:10.000 --> 00:00:12.000]  當然有人邀請他
[00:00:12.000 --> 00:00:16.000]  他很想看看基督徒是怎樣聚會
[00:00:16.000 --> 00:00:19.000]  想了解一下基督教到底是怎樣
[00:00:19.000 --> 00:00:23.000]  我想問如果現在你知道你旁邊坐了一個無神論者
[00:00:23.000 --> 00:00:25.000]  他不信有神的
[00:00:25.000 --> 00:00:26.000]  不過他想來感受一下
[00:00:26.000 --> 00:00:28.000]  看看你們基督徒聚會是怎樣
[00:00:28.000 --> 00:00:30.000]  想聽一下你們講聖經
[00:00:30.000 --> 00:00:33.000]  你們會不會跟他聊天
[00:00:33.000 --> 00:00:35.000]  你會跟他說什麼
[00:00:35.000 --> 00:00:37.000]  歡迎他
[00:00:37.000 --> 00:00:41.000]  叫他出去迎新閣那裡拿一份禮物
[00:00:41.000 --> 00:00:43.000]  或者
[00:00:43.000 --> 00:00:45.000]  量一下一會兒聚會結束後
[00:00:45.000 --> 00:00:47.000]  怎樣說服他
[00:00:47.000 --> 00:00:51.000]  跟他論證一下上帝的存在
[00:00:51.000 --> 00:00:53.000]  自從做天地以來
[00:00:53.000 --> 00:00:55.000]  神的永倫和神聖是冥冥可知的
[00:00:55.000 --> 00:00:58.000]  一直跟他說你的見證
[00:00:58.000 --> 00:00:59.000]  會不會這樣
[00:00:59.000 --> 00:01:00.000]  都會
[00:01:00.000 --> 00:01:03.000]  不過這個無神論者其實是一個很出名的人
[00:01:03.000 --> 00:01:05.000]  他也是學者
[00:01:05.000 --> 00:01:07.000]  他又不是有心來挑戰
[00:01:07.000 --> 00:01:09.000]  不過他真的很想了解一下
[00:01:09.000 --> 00:01:11.000]  基督教這個宗教信仰
[00:01:11.000 --> 00:01:13.000]  但是他參加完聚會後
[00:01:13.000 --> 00:01:16.000]  當然有些牧者或者大英姐妹跟他聊天
[00:01:16.000 --> 00:01:20.000]  然後他就作出了這樣的回應
[00:01:20.000 --> 00:01:22.000]  他很認真的
[00:01:22.000 --> 00:01:27.000]  他說 你們唱的詩歌多麼好聽
[00:01:27.000 --> 00:01:31.000]  你們講道的內容多麼精彩
[00:01:31.000 --> 00:01:33.000]  多麼有道理
[00:01:33.000 --> 00:01:35.000]  多麼感動
[00:01:35.000 --> 00:01:40.000]  不過我肯定你們的神不是真的
[00:01:40.000 --> 00:01:42.000]  那為什麼呢
[00:01:42.000 --> 00:01:43.000]  聚會反應應該很好
[00:01:43.000 --> 00:01:44.000]  為什麼會這樣
[00:01:44.000 --> 00:01:46.000]  他真的不相信有神到這個地步嗎
[00:01:46.000 --> 00:01:48.000]  他說不是
[00:01:48.000 --> 00:01:51.000]  他說我只是按正常邏輯而已
[00:01:51.000 --> 00:01:53.000]  因為如果
[00:01:53.000 --> 00:01:56.000]  如果你們講的東西是真的
[00:01:56.000 --> 00:01:59.000]  你們在敬拜的神是真的話
[00:01:59.000 --> 00:02:02.000]  你們剛才聚會的態度不應該是這樣
[00:02:02.000 --> 00:02:04.000]  你們唱詩的時候
[00:02:04.000 --> 00:02:07.000]  那種投入表情那個發乎內心的
[00:02:07.000 --> 00:02:11.000]  你要為一個曾經為你釘十字架的拯救者
[00:02:11.000 --> 00:02:14.000]  救贖你生命的上帝
[00:02:14.000 --> 00:02:16.000]  你要讚美他
[00:02:16.000 --> 00:02:21.000]  怎麼會是 存在著夢中孤單流言語
[00:02:21.000 --> 00:02:22.000]  不會這樣的
[00:02:22.000 --> 00:02:24.000]  因為好像剛才的示範
[00:02:24.000 --> 00:02:26.000]  很投入的
[00:02:26.000 --> 00:02:27.000]  你讀聖經的時候
[00:02:27.000 --> 00:02:29.000]  你宣告給我聽
[00:02:29.000 --> 00:02:31.000]  你跟我分享你的信仰
[00:02:31.000 --> 00:02:33.000]  應該是很有熱誠
[00:02:33.000 --> 00:02:34.000]  很真心
