
[00:00:00.000 --> 00:00:02.000]  弟兄姐妹大家早
[00:00:02.000 --> 00:00:03.000]  早
[00:00:03.000 --> 00:00:04.000]  你喜樂嗎
[00:00:04.000 --> 00:00:05.000]  喜樂
[00:00:05.000 --> 00:00:07.000]  你安息嗎
[00:00:07.000 --> 00:00:09.000]  安息
[00:00:09.000 --> 00:00:12.000]  這個問安有點奇怪喔
[00:00:12.000 --> 00:00:14.000]  我們通常講到安息都會想到
[00:00:14.000 --> 00:00:16.000]  哎呀安息禮拜是不是
[00:00:16.000 --> 00:00:18.000]  或者是
[00:00:18.000 --> 00:00:20.000]  席勒地上的勞苦
[00:00:20.000 --> 00:00:22.000]  或者是想到安息日
[00:00:22.000 --> 00:00:24.000]  基督徒現在還要守安息日嗎
[00:00:24.000 --> 00:00:28.000]  可能很多人會有這樣的疑問喔
[00:00:28.000 --> 00:00:30.000]  基督徒到底現在要不要守安息日呢
[00:00:30.000 --> 00:00:32.000]  今天這個
[00:00:32.000 --> 00:00:34.000]  不是我要主要告訴你們的
[00:00:34.000 --> 00:00:36.000]  我今天想要告訴你們的是
[00:00:36.000 --> 00:00:38.000]  我想從聖經的經文裡面
[00:00:38.000 --> 00:00:40.000]  我看見了一個
[00:00:40.000 --> 00:00:42.000]  上帝要我們可以進入安息
[00:00:42.000 --> 00:00:44.000]  的一個路徑
[00:00:44.000 --> 00:00:46.000]  於是我想跟大家分享
[00:00:46.000 --> 00:00:48.000]  我記得美里師母那天
[00:00:48.000 --> 00:00:50.000]  她應該是幾週前
[00:00:50.000 --> 00:00:52.000]  問我說 高牧師你要講什麼題目啊
[00:00:52.000 --> 00:00:54.000]  其實我心裡面已經想了
[00:00:54.000 --> 00:00:56.000]  另外一個題目
[00:00:56.000 --> 00:00:58.000]  那她就說 她的詩歌
[00:00:58.000 --> 00:01:00.000]  可不可以這樣
[00:01:00.000 --> 00:01:02.000]  我就說 應該是
[00:01:02.000 --> 00:01:04.000]  同樣的方向
