
[00:00:00.000 --> 00:00:04.000]  屋頓前輩,讓我們在聆聽主導而先,我們一起同心的低頭禱告
[00:00:04.000 --> 00:00:12.000]  賜我們生命的主,我們的神,我們的父神,我們再次來到你的根前,仰望在你的當中
[00:00:12.000 --> 00:00:24.000]  求父神,你帶領我們在今天整個聆聽你的說話的過程裏面,都能夠真的準確掌握到在聖經當中上主你的意思
[00:00:25.000 --> 00:00:32.000]  也藉著你愛指耶穌基督的工作,讓我們能夠更加對你的明白,了解
[00:00:32.000 --> 00:00:41.000]  從而我們可以同樣得到一樣的生命,一樣的靈性,來在這個世界裏面作你的見證
[00:00:41.000 --> 00:00:48.000]  求你與我們同在,我們同心的禱告,奉教主耶穌基督得聖的名字而求,阿們
[00:00:55.000 --> 00:01:06.000]  無論是訂閱報紙,或者是雜誌,或者在今天很多時候我們喜歡去訂閱一些網上服務
[00:01:06.000 --> 00:01:15.000]  Netflix,YouTube,Paramount Plus,諸如此類的服務
[00:01:16.000 --> 00:01:33.000]  通常對於我們這些60後,60年代的人,我們要訂一些實質的東西
[00:01:33.000 --> 00:01:39.000]  很少訂一些很虛無的網上服務,但是我們覺得沒有什麼需要
[00:01:40.000 --> 00:01:47.000]  但是很多時候我們見到今天的人很喜歡訂這些類型的服務
[00:01:47.000 --> 00:01:52.000]  希望可以得到這些資訊,或者享娛樂服務
[00:01:52.000 --> 00:02:02.000]  不過通常訂閱都有一個條件,這個條件就是你一定需要付出
[00:02:03.000 --> 00:02:10.000]  付出什麼呢?至少你在訂閱期間,你如果需要訂閱的服務
[00:02:10.000 --> 00:02:19.000]  你是需要付出訂金,正所謂相金先惠,然後額外留神
[00:02:19.000 --> 00:02:25.000]  所以這些公司如果不交訂金的話,不給訂閱費的話
[00:02:26.000 --> 00:02:35.000]  你就跟他沒有什麼關係,但是當你跟他繳交了這些訂閱費用之後
[00:02:35.000 --> 00:02:41.000]  你就跟他建立了一個關係,這個什麼關係呢?是一個商業的關係
[00:02:41.000 --> 00:02:48.000]  這個商業的關係就是如果你沒有投入的話,這個關係就自然會斷了
[00:02:48.000 --> 00:02:53.000]  但是如果你想恢復這個關係,就是你自己可以決定
