
[00:00:00.000 --> 00:00:03.720]  在2020年最後一個主日
[00:00:03.720 --> 00:00:08.720]  在此預祝弟兄姊妹無論直播在什麼地方都好
[00:00:08.720 --> 00:00:11.120]  都是預祝你新年蒙恩
[00:00:11.120 --> 00:00:14.520]  你知道2020年容易過的一年
[00:00:14.520 --> 00:00:17.000]  我們終於都差不多過了
[00:00:17.000 --> 00:00:18.720]  但是我們希望
[00:00:18.720 --> 00:00:24.120]  我相信全世界大部分人的願望就是盡快回復正常
[00:00:24.120 --> 00:00:27.520]  不過我相信有很多弟兄姊妹已經習慣了直播
[00:00:27.520 --> 00:00:30.120]  我就鼓勵弟兄姊妹在這段時間裏面
[00:00:30.120 --> 00:00:31.720]  直播有什麼好處呢?
[00:00:31.720 --> 00:00:37.120]  直播就是現在你還可以發出邀請你的朋友上來聆聽神的話
[00:00:37.120 --> 00:00:40.120]  我查看我們從昨晚到現在
[00:00:40.120 --> 00:00:46.520]  在港府和YouTube累積了有2,380位的看過這個信息的
[00:00:46.520 --> 00:00:51.120]  我們相信實體的聚會是很難有2,000多人的
[00:00:51.120 --> 00:00:55.120]  但是直播那個數字可以是無限量的
[00:00:55.120 --> 00:01:00.720]  所以鼓勵弟兄姊妹你廣邀你的朋友去聽一個這樣的訊息
[00:01:00.720 --> 00:01:01.920]  第二就是
[00:01:01.920 --> 00:01:04.120]  也鼓勵你如果你請了朋友上來
[00:01:04.120 --> 00:01:05.920]  你看到他也上來看
[00:01:05.920 --> 00:01:07.720]  當我馬上發出邀請的時候
[00:01:07.720 --> 00:01:10.920]  我也鼓勵你用WhatsApp去跟他邀請他
[00:01:10.920 --> 00:01:13.520]  因為你的朋友你去邀請
[00:01:13.520 --> 00:01:14.720]  是更加容易的
[00:01:14.720 --> 00:01:17.320]  他會接受這個從主來的平安
[00:01:17.320 --> 00:01:19.920]  我們剛剛過了聖誕節
[00:01:19.920 --> 00:01:23.320]  雖然是這個主日比較尷尬的原因就是
[00:01:23.320 --> 00:01:28.120]  今天27號我們過了正式25和26號
[00:01:28.120 --> 00:01:31.120]  但是我們仍然是一個聖誕的主日
[00:01:31.120 --> 00:01:36.120]  在第一個的聖誕節裡面天使報佳音之後
[00:01:36.120 --> 00:01:39.720]  天使天君就唱詩讚美上帝
[00:01:39.720 --> 00:01:41.320]  有一句話我們很熟悉的
[00:01:41.320 --> 00:01:43.520]  至高之處榮耀歸與神
[00:01:43.520 --> 00:01:46.520]  在地上平安歸與他所喜悅的人
[00:01:46.520 --> 00:01:49.920]  地上的平安歸與他所喜悅的人
[00:01:49.920 --> 00:01:53.520]  這個是今天給我們很大的安慰
[00:01:53.520 --> 00:01:57.520]  其實天使天君讚美上帝之後
[00:01:57.520 --> 00:01:58.920]  三十多年後
[00:01:58.920 --> 00:02:00.120]  聖誕節的主角
[00:02:00.120 --> 00:02:04.120]  這位主耶穌基督出來傳揚天國福音的時候
[00:02:04.120 --> 00:02:05.920]  臨離開之前他就這麼說
[00:02:05.920 --> 00:02:08.320]  他說在《約翰福音》14章27節
[00:02:08.320 --> 00:02:10.320]  「在我樓下平安給你們
[00:02:10.320 --> 00:02:12.920]  我將我平安賜給你們所賜的
[00:02:12.920 --> 00:02:14.720]  我所賜的不像世人所賜的
