
[00:00:00.000 --> 00:00:04.680]  今天跟大家講的經文是在《馬太福音》的第15章
[00:00:04.680 --> 00:00:09.760]  今天我要跟大家分享的經文是在《馬太福音》第15章
[00:00:09.760 --> 00:00:14.600]  在未講之前先給一個警告
[00:00:14.600 --> 00:00:19.400]  在未開始的分享之前我想給大家一個警告
[00:00:19.400 --> 00:00:23.000]  今天講的內容可能對你會有很大的困擾
[00:00:23.000 --> 00:00:27.600]  可能今天我所分享的這個內容對你有很多困擾
[00:00:27.600 --> 00:00:29.160]  這個困擾是好的
[00:00:29.160 --> 00:00:30.680]  有困擾是好的
[00:00:30.680 --> 00:00:33.240]  因為上帝的靈就在你裡面運作
[00:00:33.240 --> 00:00:36.520]  因為上帝的靈就在你心中運作
[00:00:36.520 --> 00:00:38.240]  讓我們去靈動主導意思
[00:00:38.240 --> 00:00:40.040]  我們一起向心低頭禱告
[00:00:40.040 --> 00:00:42.680]  我們一同禱告
[00:00:42.680 --> 00:00:44.000]  天父我多謝祢
[00:00:44.000 --> 00:00:44.920]  讓我們
[00:00:44.920 --> 00:00:46.200]  我們感謝祢
[00:00:46.200 --> 00:00:49.360]  讓我們能夠再次回來在祢的說話的面前
[00:00:49.360 --> 00:00:53.160]  讓我們能夠再一起回到祢的面前來看祢的話語
[00:00:53.160 --> 00:00:55.880]  讓我們對主祢的說話有更精準的認識
[00:00:55.880 --> 00:00:57.160]  再次獻上感謝
[00:00:57.160 --> 00:01:02.280]  使我們能夠在祢的話語裡有更精準的認識
[00:01:02.280 --> 00:01:04.160]  更加明白祢的話語
[00:01:04.160 --> 00:01:06.840]  求主在我們裡面的聖靈幫助我們
[00:01:06.840 --> 00:01:09.800]  求主祢的靈在我們心中幫助我們
[00:01:09.800 --> 00:01:14.160]  準確掌握主耶穌基督在這個地上的見證和教導
[00:01:14.160 --> 00:01:18.960]  準確的抓獲主耶穌在這個世上的教導
[00:01:18.960 --> 00:01:20.960]  得著謙卑受教的心
[00:01:20.960 --> 00:01:23.240]  使我們有著謙卑受教的心
[00:01:23.240 --> 00:01:27.960]  來領受主祢的教誨
[00:01:27.960 --> 00:01:28.760]  同心的禱告
[00:01:28.760 --> 00:01:31.600]  奉靠主耶穌基督得聖的名字
[00:01:31.600 --> 00:01:36.200]  我們如此同心的禱告是奉主耶穌的聖靈祈求
[00:01:36.200 --> 00:01:37.560]  阿彌陀佛
[00:01:37.560 --> 00:01:41.800]  在好幾年前
[00:01:41.800 --> 00:01:44.520]  我曾經和一些弟兄姊妹
[00:01:44.520 --> 00:01:48.760]  去到中國的廣東省的北部
[00:01:48.760 --> 00:01:49.560]  在幾年前
[00:01:49.560 --> 00:01:55.800]  我跟一些弟兄們就到中國的廣東北部去講道
[00:01:55.800 --> 00:01:58.560]  去探訪一連串的教會
[00:01:58.560 --> 00:02:01.800]  我就去探訪一連串的教會
[00:02:01.800 --> 00:02:02.840]  大家知不知道
[00:02:02.840 --> 00:02:05.280]  如果熟悉廣東省的北部
[00:02:05.280 --> 00:02:08.600]  有一個很出名的城市叫做「河源市」
[00:02:08.600 --> 00:02:10.720]  如果您熟悉廣東的話
[00:02:10.720 --> 00:02:14.760]  在廣東的北面有一個非常出名的河源區
[00:02:14.760 --> 00:02:15.560]  去過嗎?
[00:02:15.560 --> 00:02:17.040]  有去過嗎? 有去過嗎?
[00:02:17.040 --> 00:02:18.680]  河源市很漂亮的
[00:02:18.680 --> 00:02:20.680]  河源區是非常漂亮的
[00:02:20.680 --> 00:02:25.440]  可以稱得上是中國裡面的一個「度假區」
[00:02:25.440 --> 00:02:31.600]  是中國美景的一個「度假區」
[00:02:31.600 --> 00:02:34.320]  因為去不同的教會
[00:02:34.320 --> 00:02:37.600]  主要去一些客家人的教會
[00:02:37.600 --> 00:02:39.600]  去不同的教會
[00:02:39.600 --> 00:02:42.400]  主要是要到一些客家人的教會
