
[00:00:00.000 --> 00:00:01.640]  各位大英主媒平安
[00:00:01.640 --> 00:00:03.240]  很感謝神的恩典
[00:00:03.240 --> 00:00:05.540]  又可以陪大家讀聖經
[00:00:05.540 --> 00:00:07.040]  今天我很開心
[00:00:07.040 --> 00:00:09.940]  因為我可以訪問幾位年輕人
[00:00:09.940 --> 00:00:11.400]  聽聽他們說
[00:00:11.400 --> 00:00:14.540]  他們跟家人的關係是怎樣
[00:00:14.540 --> 00:00:18.740]  所以請大家先聽一聽這個錄音
[00:00:18.740 --> 00:00:22.140]  我跟家人的關係就是好像朋友一樣
[00:00:22.140 --> 00:00:24.840]  最後都會說
[00:00:24.840 --> 00:00:28.140]  當然父母都有他們的管教方式
[00:00:28.140 --> 00:00:31.200]  但是多是溝通為主
[00:00:31.200 --> 00:00:33.600]  真的很願意溝通我的家人
[00:00:33.600 --> 00:00:36.000]  現在養成了我最喜歡溝通
[00:00:36.000 --> 00:00:39.100]  但是家人對我來說是
[00:00:39.100 --> 00:00:40.600]  又重要又不重要
[00:00:40.600 --> 00:00:41.900]  不知怎樣形容就是
[00:00:41.900 --> 00:00:44.900]  是一個很強大的心理後盾
[00:00:44.900 --> 00:00:46.600]  但是我父母很重要
[00:00:46.600 --> 00:00:47.600]  姐姐很重要
[00:00:47.600 --> 00:00:50.400]  她不會管我外面做些什麼
[00:00:50.400 --> 00:00:54.600]  但是當我回到歸宿的時候
[00:00:54.600 --> 00:00:57.500]  我就可以找到他們
[00:00:57.500 --> 00:01:00.000]  所以我跟家人的關係很好
[00:01:00.000 --> 00:01:02.900]  家人對我來說是最特別的存在
[00:01:02.900 --> 00:01:05.300]  作為一個比較傳統的長輩
[00:01:05.300 --> 00:01:07.400]  他們最希望就是望子成龍
[00:01:07.400 --> 00:01:09.000]  希望我有一番作為
[00:01:09.000 --> 00:01:10.600]  很多不同的想法
[00:01:10.600 --> 00:01:11.700]  特別是上一代
[00:01:11.700 --> 00:01:13.500]  我覺得上一代的父母
[00:01:13.500 --> 00:01:16.100]  在成長的缺乏讚賞和認同
[00:01:16.100 --> 00:01:17.900]  很多時候都是出來拼搏
[00:01:17.900 --> 00:01:20.200]  就這樣成就了他們自己
[00:01:20.200 --> 00:01:22.400]  所以希望他們的子女在這個過程裡面
[00:01:22.400 --> 00:01:25.200]  他們都可能是對我們嚴厲一點
[00:01:25.200 --> 00:01:26.500]  但是在這個過程裡面
[00:01:26.500 --> 00:01:27.700]  可能很多的愛
[00:01:27.700 --> 00:01:30.100]  很多的想法在我們身上
[00:01:30.100 --> 00:01:31.300]  但是對於我們來說
[00:01:31.300 --> 00:01:32.500]  可能總是壓力來的
[00:01:32.500 --> 00:01:34.600]  我明白父母是很愛我們
[00:01:34.600 --> 00:01:37.200]  很想為我們帶來很多不同的決定
[00:01:37.200 --> 00:01:38.600]  希望我們走最好的路
[00:01:38.600 --> 00:01:40.100]  但是實質上這些可能對我來說
[00:01:40.100 --> 00:01:40.900]  是一些壓力來的
[00:01:40.900 --> 00:01:42.800]  因為隨著社會的改變
[00:01:42.800 --> 00:01:45.100]  我認為我們現在的這一代
[00:01:45.100 --> 00:01:46.000]  都有自己的想法
[00:01:46.000 --> 00:01:47.200]  自己做的事
[00:01:47.200 --> 00:01:49.100]  要找到一個能夠
[00:01:49.100 --> 00:01:51.300]  跟父母融洽相處的方法
[00:01:51.300 --> 00:01:53.000]  我覺得是最難的挑戰來的
[00:01:53.000 --> 00:01:55.400]  我覺得要多一點的忍耐
[00:01:55.400 --> 00:01:57.800]  我們不要渴望他們改變父母的東西
[00:01:57.800 --> 00:01:58.700]  既然我們有能力
[00:01:58.700 --> 00:02:00.800]  可能我們去改變一下自己
[00:02:00.800 --> 00:02:02.300]  去了解一下他們想什麼
[00:02:02.300 --> 00:02:03.600]  給多一點愛意給他們
[00:02:03.600 --> 00:02:07.200]  我相信總有一天可以成功感化他們
[00:02:07.200 --> 00:02:08.000]  所以對我來說
[00:02:08.000 --> 00:02:10.000]  家人是我最好的朋友
[00:02:10.000 --> 00:02:13.500]  也是我最難相處的親人
[00:02:13.500 --> 00:02:16.600]  我覺得我家人和我媽媽會比較親
[00:02:16.600 --> 00:02:18.700]  因為我爸爸很多的行為
[00:02:18.700 --> 00:02:20.000]  其實我就不太喜歡
[00:02:20.000 --> 00:02:21.200]  因為他可能會吸煙
[00:02:21.200 --> 00:02:22.900]  但是其實你說我是不是不喜歡他
[00:02:22.900 --> 00:02:24.400]  我覺得我又不是不喜歡他
[00:02:24.400 --> 00:02:25.400]  只不過可能
[00:02:25.400 --> 00:02:27.200]  當你有時候一個人
[00:02:27.200 --> 00:02:28.300]  你靜下來的時候
[00:02:28.300 --> 00:02:29.600]  其實你是不喜歡他的行為
[00:02:29.600 --> 00:02:31.800]  你未必真的不喜歡他那個人
[00:02:31.800 --> 00:02:33.500]  但是因為基於一些事情他做了
[00:02:33.500 --> 00:02:34.700]  你不是太喜歡
[00:02:34.700 --> 00:02:35.700]  那就好像
[00:02:35.700 --> 00:02:37.000]  當你面對他的時候
[00:02:37.000 --> 00:02:39.100]  好像整個人你又不是很喜歡他
[00:02:39.100 --> 00:02:41.600]  但是我覺得理性上
[00:02:41.600 --> 00:02:44.300]  你會知道其實應該這樣不是太好
[00:02:44.300 --> 00:02:46.300]  特別可能作為基督徒
[00:02:46.300 --> 00:02:48.100]  但問題就是我們都是人
[00:02:48.100 --> 00:02:51.000]  我們很難控制自己的情感的表達
[00:02:51.000 --> 00:02:53.200]  但是有時候你會自己告訴自己
[00:02:53.200 --> 00:02:54.800]  其實這樣的態度
[00:02:54.800 --> 00:02:57.400]  是不是因為你很愛他
[00:02:57.400 --> 00:03:00.500]  所以你會很著緊
[00:03:00.500 --> 00:03:02.700]  因為你可能基於說
[00:03:02.700 --> 00:03:03.800]  可能說是愛他
[00:03:03.800 --> 00:03:05.300]  變成一種行為
[00:03:05.300 --> 00:03:07.700]  我不太喜歡他這種行為
[00:03:07.700 --> 00:03:09.700]  例如可能吸煙先這樣說
[00:03:09.700 --> 00:03:10.600]  覺得這樣不好
[00:03:10.600 --> 00:03:12.700]  可能說吸煙會很臭
[00:03:12.700 --> 00:03:13.300]  吸煙會怎樣
[00:03:13.300 --> 00:03:15.400]  但是可能基於吸煙是危害他的健康
[00:03:15.400 --> 00:03:16.800]  但是其實他說了這些
[00:03:16.800 --> 00:03:18.100]  當你表達這件事
[00:03:18.100 --> 00:03:19.600]  和他表達這件事的時候
[00:03:19.600 --> 00:03:20.700]  他聽在耳裡
[00:03:20.700 --> 00:03:21.700]  其實他聽完就算了
[00:03:21.700 --> 00:03:22.800]  你會很生氣
[00:03:22.800 --> 00:03:24.900]  其實他那麼大的人也知道
