
[00:00:00.000 --> 00:00:03.140]  不如我們一起來祈禱,好嗎?
[00:00:03.140 --> 00:00:04.740]  親愛的天父,多謝祢
[00:00:04.740 --> 00:00:08.140]  今天祢讓我們可以在這裡一起
[00:00:08.140 --> 00:00:10.180]  雖然可能是透過網上
[00:00:10.180 --> 00:00:12.500]  但我們仍然可以分享祢的訊息
[00:00:12.500 --> 00:00:16.000]  求祢開我們的眼睛、開我們的耳朵、開我們的心
[00:00:16.000 --> 00:00:19.200]  願祢的話語進入我們的心裡
[00:00:19.200 --> 00:00:21.180]  進入我們的生命裡
[00:00:21.180 --> 00:00:22.640]  道路不遍里
[00:00:22.640 --> 00:00:23.300]  多謝祢
[00:00:23.300 --> 00:00:26.980]  我們的禱告是奉耶穌基督得勝的名祈求
[00:00:26.980 --> 00:00:28.080]  Amen
[00:00:28.080 --> 00:00:31.980]  今天要講的題目一早就定了
[00:00:31.980 --> 00:00:34.180]  叫做《我們都是這樣長大的》
[00:00:34.180 --> 00:00:35.280]  《藥室篇》
[00:00:35.280 --> 00:00:36.080]  我覺得挺好的
[00:00:36.080 --> 00:00:38.680]  我不用特別想一個題目給它
[00:00:38.680 --> 00:00:39.880]  不過跟你們小小重溫
[00:00:39.880 --> 00:00:42.180]  這裡是創世紀37至50
[00:00:42.180 --> 00:00:43.280]  大家放心
[00:00:43.280 --> 00:00:45.380]  我不會讀完經文的
[00:00:45.380 --> 00:00:47.580]  《原生家庭》系列
[00:00:47.580 --> 00:00:50.180]  回顧一下
[00:00:50.180 --> 00:00:52.380]  Jim 跟我們講了以撒
[00:00:52.380 --> 00:00:56.280]  Donald 跟我們講了亞國《Born to Fight》
[00:00:56.280 --> 00:00:59.780]  接著就是猶大上個星期的Pastor Phoebe
[00:00:59.780 --> 00:01:02.980]  今天跟大家講的是《藥室篇》
[00:01:02.980 --> 00:01:04.080]  《藥室篇》
[00:01:04.080 --> 00:01:07.480]  可能你從小到大返回教會
[00:01:07.480 --> 00:01:10.280]  你對它的故事都比較熟悉
[00:01:10.280 --> 00:01:11.680]  但是
[00:01:11.680 --> 00:01:14.280]  就算我不是從小到大返回
[00:01:14.280 --> 00:01:16.480]  《藥室篇》的故事都聽不少
[00:01:16.480 --> 00:01:17.680]  尤其是兒童部
[00:01:17.680 --> 00:01:19.280]  很喜歡講《藥室篇》的故事
[00:01:19.280 --> 00:01:21.080]  它那件彩衣
[00:01:21.080 --> 00:01:23.780]  但是除了彩衣之外還有什麼呢?
[00:01:23.780 --> 00:01:28.680]  其實原來看回37至50章的經文
[00:01:28.680 --> 00:01:30.180]  在創世紀裏面
[00:01:30.180 --> 00:01:31.580]  實在是太豐富了
[00:01:31.580 --> 00:01:34.680]  看到我自己真的愛不釋手
[00:01:34.680 --> 00:01:36.980]  裏面我要講的
[00:01:36.980 --> 00:01:41.980]  主要是關於兄弟姐妹之間的關係
[00:01:41.980 --> 00:01:44.880]  我通常很多時候都好奇
[00:01:44.880 --> 00:01:47.480]  究竟兄弟姐妹
[00:01:47.480 --> 00:01:48.980]  究竟definition是怎樣
[00:01:48.980 --> 00:01:50.880]  我通常都會先找一下
[00:01:50.880 --> 00:01:53.380]  偉大的維基
[00:01:53.380 --> 00:01:54.680]  看看原來他說
[00:01:54.680 --> 00:01:55.680]  A sibling
[00:01:55.680 --> 00:01:58.080]  就是one of the two or more individuals
[00:01:58.080 --> 00:02:00.880]  having one or both parents in common
[00:02:00.880 --> 00:02:04.680]  原來兄弟姐妹叫做siblings的話
[00:02:04.680 --> 00:02:07.080]  就是有一個或者多一個人
[00:02:07.080 --> 00:02:09.880]  他們都是同父同母
[00:02:09.880 --> 00:02:12.580]  或者同父或者同母
[00:02:12.580 --> 00:02:14.380]  這樣才叫做siblings
[00:02:14.380 --> 00:02:17.280]  可能在網上或者在座的你會說
[00:02:17.280 --> 00:02:19.180]  哦 我沒有siblings
[00:02:19.180 --> 00:02:20.180]  不奇怪的
[00:02:20.180 --> 00:02:21.880]  不過我知道
[00:02:21.880 --> 00:02:23.980]  另外我們都可以看是怎樣
[00:02:23.980 --> 00:02:27.780]  那些siblings通常都是同住的
[00:02:27.780 --> 00:02:31.480]  於是乎他們的關係很密切
[00:02:31.480 --> 00:02:36.780]  特別他們那些情緒的bond是甚麼
[00:02:36.780 --> 00:02:37.480]  結連
[00:02:37.480 --> 00:02:40.280]  是的 特別緊扣的
[00:02:40.280 --> 00:02:44.980]  所以他們這些緊扣的情緒結連
[00:02:44.980 --> 00:02:46.080]  會怎樣呢
[00:02:46.080 --> 00:02:49.280]  很複雜的 通常complicated
