
[00:00:00.000 --> 00:00:02.160]  各位網友大家好,又讀聖經了
[00:00:02.160 --> 00:00:04.920]  生命說書教網絡,和大家一起看聖經
[00:00:04.920 --> 00:00:09.200]  聖經人、聖經事,看看上帝做些什麼
[00:00:09.200 --> 00:00:11.160]  今次來到一個
[00:00:11.160 --> 00:00:16.280]  大家知道,來到一個很頑皮的事司,就叫參孫
[00:00:16.280 --> 00:00:21.440]  我們看了他幾集,就發覺到他是一個非常任性
[00:00:21.440 --> 00:00:27.880]  而且後來發覺他都很嗜殺,即是很殺人的
[00:00:27.880 --> 00:00:34.040]  一點都不走遠,都有點聰明
[00:00:34.040 --> 00:00:38.720]  來到這裡,就逐漸看到他開始仇恨那些非利士人
[00:00:38.720 --> 00:00:42.640]  這個不是聖經的字,今集是我給他的
[00:00:42.640 --> 00:00:46.840]  我覺得參孫開始仇恨那些非利士人
[00:00:46.840 --> 00:00:50.160]  這個都幾慘的
[00:00:50.160 --> 00:00:52.520]  我們和大家看看聖經
[00:00:52.520 --> 00:01:19.040]  「事司記十五章,過了些日子,到割墨子的時候,參孫帶著一隻山羊羔去看他的妻,說我要進內室見我的妻,他惡苦不容她進去,說我估定你是極其恨她,因此我將她給了你的陪伴。
[00:01:19.040 --> 00:01:32.320]  她的妹子不是比她還美麗嗎?你可以取來代替她吧,參孫說,借回我加害於非利士人,不算有罪了。」
[00:01:32.320 --> 00:01:40.120]  於是參孫去捉了三百隻狐狸,將狐狸尾巴一對一對地捆上
[00:01:40.120 --> 00:02:03.560]  將火把捆在兩條尾巴中間,接著點著火把,放狐狸進入非利士人暫著的和架,將堆集的和菌和未割的和架並橄欖原盡都燒了
[00:02:03.560 --> 00:02:22.360]  非利士人說這是誰做的呢?有人說是廷拿人的女婿參孫,因為他惡苦將他的妻給了他的陪伴,於是非利士人上去用火燒了婦人和他的父親。
[00:02:22.360 --> 00:02:44.800]  參孫對非利士人說,你們既然這樣行,我必向你們報仇,才肯罷休。參孫大大擊殺他們,連腿帶腰都砍斷了,他便下去住在以坦盤的月內。
[00:02:44.800 --> 00:03:02.240]  今天是講參孫開始仇恨非利士人,我讀了一段聖經,想和大家再看一次,在裡面可以知道更多經文給我們的意思
[00:03:02.240 --> 00:03:31.360]  究竟說什麼呢?過了些日子,要看昨天,昨天是什麼呢?昨天夜禍華的靈大大感動參孫,下了架十幾輪,殺了三十個人,奪了他們的衣裳,將衣服交給了猜出謎語的人,參孫發怒,便上婦家去撩。
