
[00:00:00.000 --> 00:00:06.520]  在第34集講到主耶穌在聖州最後一個星期
[00:00:06.520 --> 00:00:09.680]  在世上有第十八件事發生
[00:00:09.680 --> 00:00:12.680]  當然發生的事不止十八件
[00:00:12.680 --> 00:00:14.360]  很多很多
[00:00:14.360 --> 00:00:20.840]  因為有整個星期耶路撒冷在聖殿受苦
[00:00:20.840 --> 00:00:24.720]  來到我要講的第十八件
[00:00:24.720 --> 00:00:27.200]  就是用血納新藥
[00:00:27.200 --> 00:00:33.800]  如果一看用血納新藥就知道是講聖餐的設立
[00:00:33.800 --> 00:00:36.280]  我們看看聖餐的設立
[00:00:36.280 --> 00:00:39.280]  我們一起先禱告
[00:00:39.280 --> 00:00:42.080]  讚美上主
[00:00:42.080 --> 00:00:47.080]  在這個愛靈修靈修裏面
[00:00:47.080 --> 00:00:52.080]  我願意在祢面前先俯伏敬拜
[00:00:52.080 --> 00:00:56.480]  雖然是坐在這裏 但心靈向主俯伏
[00:00:56.480 --> 00:00:59.000]  願祢得著榮耀稱讚
[00:00:59.000 --> 00:01:02.680]  祢配得榮耀 配受稱讚
[00:01:02.680 --> 00:01:06.080]  所有的榮耀 重讚都屬於祢的
[00:01:06.080 --> 00:01:07.880]  不屬於我們
[00:01:07.880 --> 00:01:11.880]  就算我有些什麼好的東西
[00:01:11.880 --> 00:01:14.280]  完全都是從祢而來
[00:01:14.280 --> 00:01:15.880]  都是接受的
[00:01:15.880 --> 00:01:17.880]  不是自己有的
[00:01:17.880 --> 00:01:19.880]  沒有帶些什麼來這個世界
[00:01:19.880 --> 00:01:22.680]  也都帶不到些什麼離開
[00:01:22.680 --> 00:01:27.680]  生活存留 氣息完全屬於祢
[00:01:27.680 --> 00:01:30.280]  讚美上主的恩典
[00:01:30.280 --> 00:01:32.280]  讚美祢的施與
[00:01:32.280 --> 00:01:34.880]  讚美祢的慈愛與憐憫
[00:01:34.880 --> 00:01:38.480]  從高天來尋找人
[00:01:38.480 --> 00:01:42.880]  祢自己差遣兒子為我們寫命
[00:01:42.880 --> 00:01:46.280]  差遣聖靈為我們施行救恩
[00:01:46.280 --> 00:01:49.680]  願三一上主得著榮耀稱讚
[00:01:49.680 --> 00:01:53.080]  我讚美祢 尊崇祢 高舉靈
[00:01:53.080 --> 00:01:57.480]  多謝祢 是首約施慈愛的上主
[00:01:57.480 --> 00:01:59.080]  多謝祢的誠信
[00:01:59.080 --> 00:02:01.080]  讚美祢的誠信
[00:02:01.080 --> 00:02:03.480]  讚美祢自己的實在
[00:02:03.480 --> 00:02:06.280]  讚美祢的信實
[00:02:06.280 --> 00:02:10.080]  我高舉祢 尊崇祢
[00:02:10.080 --> 00:02:13.680]  願祢得著榮耀 願祢被稱讚
[00:02:13.680 --> 00:02:16.680]  國道權兵榮耀全是祢的
[00:02:16.680 --> 00:02:19.680]  直到永遠 阿們
[00:02:19.680 --> 00:02:21.680]  讚美上主
[00:02:21.680 --> 00:02:25.080]  好了 說到用血納新約
[00:02:25.080 --> 00:02:27.680]  咦 新約這個字是什麼來的呢?
[00:02:27.680 --> 00:02:30.080]  我們有新約聖經的
[00:02:30.080 --> 00:02:33.880]  自然想到新約就想起有舊約
[00:02:33.880 --> 00:02:36.680]  是嗎?那怎麼來的?新約舊約
[00:02:36.680 --> 00:02:41.480]  好 讀一下耶利米書31章31字
[00:02:41.480 --> 00:02:44.480]  很重要 耶利米31:31
[00:02:44.480 --> 00:02:47.880]  「耶和話說 日子將到
[00:02:47.880 --> 00:02:54.480]  我要與以色列家和猶太家另納新約」
[00:02:54.480 --> 00:02:58.480]  這一天會來到 這一天很快的
[00:02:58.480 --> 00:03:00.480]  要到的了
[00:03:00.480 --> 00:03:02.480]  到那一天
[00:03:02.480 --> 00:03:06.480]  「我要與以色列家和猶太家」
[00:03:06.480 --> 00:03:08.480]  以色列家和猶太家
[00:03:08.480 --> 00:03:11.080]  就是他們王國分裂之後
[00:03:11.080 --> 00:03:13.880]  北面十個支派就叫以色列
[00:03:13.880 --> 00:03:18.680]  南面兩個支派 猶太和變亞文就叫猶太
[00:03:18.680 --> 00:03:21.880]  以色列國這個國名
[00:03:21.880 --> 00:03:25.280]  就被北面的十個支派拿去用
[00:03:25.280 --> 00:03:27.880]  下面猶太支派為主
[00:03:27.880 --> 00:03:30.080]  就改了做猶太國
[00:03:30.080 --> 00:03:34.080]  就是以色列王國分裂了
[00:03:34.080 --> 00:03:37.480]  在所羅門之後就發生這件事了
[00:03:37.480 --> 00:03:42.480]  好了 所以以色列家和猶太家
[00:03:42.480 --> 00:03:45.680]  以色列家很快被亞述滅了
[00:03:45.680 --> 00:03:49.080]  就將他們大部分人擄走
[00:03:49.080 --> 00:03:51.680]  以色列家那十個支派
[00:03:51.680 --> 00:03:55.680]  現在被認為不復存在 找不回來了
[00:03:55.680 --> 00:03:57.680]  猶太還仍然在
[00:03:57.680 --> 00:04:00.080]  好了 後來是這樣
[00:04:00.080 --> 00:04:04.480]  於是猶太家後來也被巴比倫所滅
[00:04:04.480 --> 00:04:05.480]  就擄走
[00:04:05.480 --> 00:04:08.480]  不過後來巴比倫之後
[00:04:08.480 --> 00:04:14.880]  到波斯就讓他們回去重建聖殿聖城等等
[00:04:14.880 --> 00:04:21.280]  因此猶太和變亞文支派是保留得比較好的
[00:04:21.280 --> 00:04:29.480]  日子將到我要與以色列家和猶太家另立新約
[00:04:29.480 --> 00:04:32.480]  究竟這裡說的是甚麼呢?
[00:04:32.480 --> 00:04:35.280]  其實是說約
[00:04:35.280 --> 00:04:39.080]  而「另立新約」這個字一出
