
[00:00:00.000 --> 00:00:02.000]  請我們再打開今天思想經文
[00:00:02.000 --> 00:00:05.500]  我們一起來讀一讀第57節和58節
[00:00:05.500 --> 00:00:07.500]  是我們今天的金句57 58
[00:00:25.500 --> 00:00:32.500]  我們再一次祈禱求主幫助我們明白一段比較難明的一段聖經
[00:00:32.500 --> 00:00:34.500]  天父我們再一次感謝祢
[00:00:34.500 --> 00:00:37.500]  給祢寶貴的話語作為我們生命的指引
[00:00:37.500 --> 00:00:39.500]  求祢藉著聖靈
[00:00:39.500 --> 00:00:41.500]  將祢的話語啟開
[00:00:41.500 --> 00:00:43.500]  進入在我們心裏面
[00:00:43.500 --> 00:00:46.500]  去改變我們 挑戰我們 安慰我們
[00:00:46.500 --> 00:00:49.500]  求祢向我們講說話
[00:00:49.500 --> 00:00:52.500]  我們這樣祈禱奉耶穌基督名求 阿們
[00:00:54.500 --> 00:00:56.500]  當我聽到耶穌講了一句說話
[00:00:56.500 --> 00:00:58.500]  食我肉 飲我血
[00:00:58.500 --> 00:01:01.500]  我就聯想到岳飛的一首詞
[00:01:01.500 --> 00:01:06.500]  滿江紅 路伐充官憑欄處
[00:01:06.500 --> 00:01:11.500]  蕭蕭雨蝎 抬望眼仰天長嘯
[00:01:11.500 --> 00:01:15.500]  壯懷激烈 三十功名塵與土
[00:01:15.500 --> 00:01:18.500]  八千里路雲和月
[00:01:18.500 --> 00:01:23.500]  莫等閒伯鳥 笑蓮頭 空卑切
[00:01:23.500 --> 00:01:28.500]  靜康恥 猶未雪 臣只恨何事滅
[00:01:28.500 --> 00:01:31.500]  駕長車 踏破河難 山險
[00:01:31.500 --> 00:01:34.500]  壯志飢餐 胡擄玉
[00:01:34.500 --> 00:01:37.500]  笑談 喝飲 匈奴血
[00:01:37.500 --> 00:01:43.500]  待從頭收拾舊山河 朝天遣
[00:01:43.500 --> 00:01:47.500]  壯志飢餐 胡擄玉
[00:01:47.500 --> 00:01:50.500]  笑談 喝飲 匈奴血
[00:01:50.500 --> 00:01:56.500]  幾咁悲憤 壯烈 激動的一首詞
[00:01:56.500 --> 00:01:59.500]  當岳飛率領這個岳家軍
[00:01:59.500 --> 00:02:03.500]  殺破金人這個所謂黑風大王
[00:02:03.500 --> 00:02:06.500]  但朝廷的奸臣秦檜
[00:02:06.500 --> 00:02:11.500]  說服宋高宗投降給金朝
[00:02:11.500 --> 00:02:13.500]  以莫須有的罪名
[00:02:13.500 --> 00:02:15.500]  將岳飛困在一個監獄裏面
[00:02:15.500 --> 00:02:18.500]  最後將他殺害
[00:02:18.500 --> 00:02:20.500]  雖然隔了幾百年
[00:02:20.500 --> 00:02:23.500]  今日每一個中國人讀起一段歷史
[00:02:23.500 --> 00:02:25.500]  唸起這首詞的時候
[00:02:25.500 --> 00:02:29.500]  真的可以感受到岳飛那種的悲憤
[00:02:29.500 --> 00:02:32.500]  壯志飢餐 胡擄玉
[00:02:32.500 --> 00:02:34.500]  笑談 喝飲 匈奴血
[00:02:34.500 --> 00:02:38.500]  恨不得吃他的肉 喝他的血
[00:02:38.500 --> 00:02:40.500]  好幾年之前
[00:02:40.500 --> 00:02:42.500]  我有機會看Iris Chan寫的一本書
[00:02:42.500 --> 00:02:45.500]  叫做《The Rape of Nanking》
[00:02:45.500 --> 00:02:47.500]  是講述日本人在第二次世界大戰的時候
[00:02:47.500 --> 00:02:50.500]  怎樣去遊掠南京
[00:02:50.500 --> 00:02:54.500]  三十幾萬的平民被屠殺
[00:02:54.500 --> 00:02:57.500]  十多萬的婦女被強姦
[00:02:57.500 --> 00:03:00.500]  正如這本書裏面訪問一個日本兵
[00:03:00.500 --> 00:03:02.500]  他後來這樣說
[00:03:02.500 --> 00:03:06.500]  當我們強姦中國婦女的時候
[00:03:06.500 --> 00:03:08.500]  我們當她是女人
[00:03:08.500 --> 00:03:10.500]  當強姦完了之後
[00:03:10.500 --> 00:03:12.500]  我們當她是豬
[00:03:12.500 --> 00:03:14.500]  將她們宰割
