
[00:00:00.000 --> 00:00:04.000]  各位親愛的弟兄姊妹朋友好
[00:00:04.000 --> 00:00:06.000]  非常感謝神的恩典
[00:00:06.000 --> 00:00:08.000]  也是謝謝陳傳道的安排
[00:00:08.000 --> 00:00:12.000]  今天再一次有機會跟大家來分享信息
[00:00:12.000 --> 00:00:14.000]  來崇拜
[00:00:14.000 --> 00:00:16.000]  上次我來的時候
[00:00:16.000 --> 00:00:18.000]  不知道大家記得嗎
[00:00:18.000 --> 00:00:20.000]  講那個愛神愛人的
[00:00:20.000 --> 00:00:24.000]  敬心敬靈 敬義敬性
[00:00:24.000 --> 00:00:26.000]  敬義敬利 來愛上帝
[00:00:26.000 --> 00:00:29.000]  那就提到上次那個經文
[00:00:29.000 --> 00:00:32.000]  後來在路加福音連下去
[00:00:32.000 --> 00:00:36.000]  就耶穌要回答那些律法師他們的問題
[00:00:36.000 --> 00:00:38.000]  原本就問他
[00:00:38.000 --> 00:00:41.000]  這個誡命的裡面哪一條是最重要
[00:00:41.000 --> 00:00:43.000]  最大的 耶穌就回答第一
[00:00:43.000 --> 00:00:47.000]  第二 都是要愛天父上帝
[00:00:47.000 --> 00:00:50.000]  愛耶和華神 愛靈社
[00:00:50.000 --> 00:00:52.000]  如同愛自己
[00:00:52.000 --> 00:00:53.000]  然後約翰福音
[00:00:53.000 --> 00:00:56.000]  耶穌說你們現在給一條新的命令
[00:00:56.000 --> 00:00:59.000]  你們弟兄姊妹中間
[00:00:59.000 --> 00:01:01.000]  要彼此相愛
[00:01:01.000 --> 00:01:03.000]  所以一個問題是我們
[00:01:03.000 --> 00:01:06.000]  在神的面前 在靈社的面前
[00:01:06.000 --> 00:01:10.000]  在自己 包括在教會弟兄姊妹
[00:01:10.000 --> 00:01:14.000]  我們要活出一個完整的基督徒的人生
[00:01:14.000 --> 00:01:18.000]  要敬心敬靈 敬義敬利各方面
[00:01:18.000 --> 00:01:21.000]  那後來在路加福音記載
[00:01:21.000 --> 00:01:25.000]  就有一個律法師就問耶穌
[00:01:25.000 --> 00:01:27.000]  那誰是我的靈社
[00:01:27.000 --> 00:01:30.000]  耶穌就回答他 誰是靈社
[00:01:30.000 --> 00:01:34.000]  所以今天也就是上次說要接下去
[00:01:34.000 --> 00:01:36.000]  我這一次有機會來的時候就
[00:01:36.000 --> 00:01:39.000]  接下去就談那個問題
[00:01:39.000 --> 00:01:41.000]  那個律法師就問了耶穌
[00:01:41.000 --> 00:01:43.000]  誰是我的靈社
[00:01:43.000 --> 00:01:47.000]  耶穌啊 你釋法 解釋法律
[00:01:47.000 --> 00:01:50.000]  現在香港是不是常常有這個問題
[00:01:50.000 --> 00:01:53.000]  要釋法 要解釋法律
[00:01:53.000 --> 00:01:56.000]  耶穌就解釋 誰是我的靈社
[00:01:56.000 --> 00:01:58.000]  就講了一個故事
[00:01:58.000 --> 00:02:04.000]  就是下面會談這個好殺瑪利亞人的故事
[00:02:04.000 --> 00:02:07.000]  誰是你的靈社 誰是我的靈社
[00:02:07.000 --> 00:02:10.000]  那個律法師要覺得自己有理
[00:02:10.000 --> 00:02:13.000]  其實他應該知道 對嗎
[00:02:13.000 --> 00:02:15.000]  律法師就是專門研究
[00:02:15.000 --> 00:02:23.000]  就就約聖經那些的上帝透過摩西給選民的律典章等等
[00:02:23.000 --> 00:02:25.000]  就約已經講得清楚
[00:02:25.000 --> 00:02:28.000]  我們每一個人都要盡心盡力
[00:02:28.000 --> 00:02:30.000]  盡力盡力愛主我們的神
[00:02:30.000 --> 00:02:34.000]  也要愛靈社 如同愛自己
[00:02:34.000 --> 00:02:38.000]  這個人聖經說就自以為有理由
