
[00:00:00.000 --> 00:00:01.080]  靜止每早晨
[00:00:01.080 --> 00:00:02.080]  我是黃牧師
[00:00:02.080 --> 00:00:05.760]  很高興能夠和大家再次在主日崇拜的時間
[00:00:05.760 --> 00:00:07.920]  一起學習神的話語
[00:00:07.920 --> 00:00:09.760]  用在聆聽主導語詩
[00:00:09.760 --> 00:00:12.160]  我們一起同心禱告
[00:00:12.160 --> 00:00:13.440]  親愛的父神 多謝祢
[00:00:13.440 --> 00:00:17.520]  讓我們能夠再次回到祢寶貴的說話面前
[00:00:17.520 --> 00:00:19.240]  一同學習
[00:00:19.240 --> 00:00:21.520]  求祢的靈與我們同在
[00:00:21.520 --> 00:00:24.640]  好使我們能夠在基督耶穌所建造的
[00:00:24.640 --> 00:00:26.600]  救恩的根基之上
[00:00:26.600 --> 00:00:32.880]  能夠更成熟地去成為一個合神心意的基督徒
[00:00:32.880 --> 00:00:34.040]  求主祢的幫助
[00:00:34.040 --> 00:00:36.000]  我們要同心禱告
[00:00:36.000 --> 00:00:39.000]  奉靠主耶穌基督的聖名至以求
[00:00:39.000 --> 00:00:40.000]  阿們
[00:00:57.600 --> 00:01:00.680]  今日我們會看的經文會是集中於
[00:01:00.680 --> 00:01:03.000]  《加拿大書》第六章
[00:01:03.000 --> 00:01:06.000]  從第十四節至第十六節
[00:01:06.000 --> 00:01:09.600]  或者我們再次回到這段聖經裏面
[00:01:09.600 --> 00:01:13.960]  去看看當中的經文的教導是甚麼意思
[00:01:13.960 --> 00:01:17.280]  《加拿大書》第六章第十二節
[00:01:17.280 --> 00:01:20.400]  「凡稀圖外貌體面的人
[00:01:20.400 --> 00:01:23.120]  都勉強你們受割禮
[00:01:23.120 --> 00:01:28.680]  無非是怕自己為基督的十字架受逼迫
[00:01:28.680 --> 00:01:31.440]  他們那些受割禮的
[00:01:31.440 --> 00:01:34.840]  連自己也不守律法
[00:01:34.840 --> 00:01:37.800]  他們願意你們受割禮
[00:01:37.800 --> 00:01:41.600]  不過要借著你們的肉體誇口
[00:01:41.600 --> 00:01:44.680]  但我斷不以別的誇口
[00:01:44.680 --> 00:01:48.200]  只誇我們主耶穌基督的十字架
[00:01:48.200 --> 00:01:49.960]  因這十字架
[00:01:49.960 --> 00:01:54.960]  就我而論世界已經釘在十字架上
[00:01:54.960 --> 00:01:59.560]  就世界而論我已經釘在十字架上
[00:01:59.560 --> 00:02:03.560]  受割禮不受割禮都無關緊要
[00:02:03.560 --> 00:02:07.280]  要緊的就是作身做的人
[00:02:07.280 --> 00:02:09.560]  凡照此理而行的
[00:02:09.560 --> 00:02:13.400]  願平安、憐憫加給他們
[00:02:13.400 --> 00:02:17.160]  和上帝的儀式憐憫」
[00:02:17.160 --> 00:02:22.040]  在上文我們已經看過從第十二節至第十三節當中
[00:02:22.040 --> 00:02:25.840]  我們已經知道在皆太教會裏面
[00:02:25.840 --> 00:02:29.440]  有一些假教師、假領袖
[00:02:29.440 --> 00:02:32.440]  甚至一些知名的教會人士
[00:02:32.440 --> 00:02:35.880]  他利用了一種手段
[00:02:35.880 --> 00:02:39.640]  去吸引很多信徒跌入他們的陷阱
[00:02:39.640 --> 00:02:43.520]  這個手段就是十二節開頭所說的
[00:02:43.520 --> 00:02:46.440]  「欺圖外貌體面」
[00:02:46.440 --> 00:02:52.560]  這是對於今天教會信徒一個很致命的陷阱
[00:02:52.560 --> 00:02:54.520]  在上次的講道裏面
[00:02:54.520 --> 00:02:57.880]  我已經和大家分享過一件事
[00:02:57.880 --> 00:03:00.440]  就是說很多時候我們信徒
[00:03:00.440 --> 00:03:02.960]  我們的主是看不到的
[00:03:02.960 --> 00:03:06.000]  但是在人的面前
[00:03:06.000 --> 00:03:08.960]  體體面面、光光榮榮的時候
[00:03:08.960 --> 00:03:11.520]  很多人是很輕易看到
[00:03:11.520 --> 00:03:15.880]  於是就用了這種世界的觀念
[00:03:15.880 --> 00:03:19.200]  人著重看人的表面
[00:03:19.200 --> 00:03:20.560]  而吸引了
[00:03:20.560 --> 00:03:26.480]  成為了教會運作的其中一個主要的主調
[00:03:26.480 --> 00:03:29.800]  這個情況是非常之普遍的
[00:03:29.800 --> 00:03:33.800]  特別是為了使教會很體面
[00:03:33.800 --> 00:03:37.360]  扭曲了很多神學的觀念
[00:03:37.360 --> 00:03:39.560]  譬如很多人就認為
[00:03:39.560 --> 00:03:42.960]  如果教會要有效去傳主的道
[00:03:42.960 --> 00:03:47.120]  於是在教會很多的領袖、牧師、傳道人
[00:03:47.120 --> 00:03:50.800]  甚至在教會的知名人士就會這樣說
