
[00:00:00.000 --> 00:00:03.000]  好,我想我們低頭有一個簡單的禱告
[00:00:03.000 --> 00:00:05.000]  恩主,是的,我們來到你的面前
[00:00:05.000 --> 00:00:07.000]  主啊,我們恭敬打開你的話
[00:00:07.000 --> 00:00:09.000]  求求聖靈打開我們的心
[00:00:09.000 --> 00:00:12.000]  主啊,求主幫助我們
[00:00:12.000 --> 00:00:15.000]  主啊,你自己在這裏越過僕人一切的軟弱
[00:00:15.000 --> 00:00:18.000]  你自己對我們說話,或講的,或聽的
[00:00:18.000 --> 00:00:21.000]  讓我們在你一同,在你的話語當中受教
[00:00:21.000 --> 00:00:23.000]  一同在你的話語當中蒙恩
[00:00:23.000 --> 00:00:25.000]  以下的時間仰望在主你的手中
[00:00:25.000 --> 00:00:28.000]  禱告奉耶穌基督的名,阿們
[00:00:29.000 --> 00:00:32.000]  好,剛纔,這個幫我們讀了
[00:00:32.000 --> 00:00:34.000]  我們大家一起讀了這兩節的經文
[00:00:34.000 --> 00:00:35.000]  兩段的經文
[00:00:35.000 --> 00:00:37.000]  在羅馬書十二章的這段經文當中
[00:00:37.000 --> 00:00:39.000]  反覆出現了善與惡
[00:00:39.000 --> 00:00:41.000]  這個字,對不對
[00:00:41.000 --> 00:00:43.000]  不要以惡報惡
[00:00:43.000 --> 00:00:45.000]  然後呢,你要善
[00:00:45.000 --> 00:00:47.000]  你要以善勝惡
[00:00:47.000 --> 00:00:49.000]  弟兄姊妹,我先問大家一個問題
[00:00:49.000 --> 00:00:51.000]  放眼今天這個世界
[00:00:51.000 --> 00:00:53.000]  打開你的心聞
[00:00:53.000 --> 00:00:56.000]  你覺得這個世界是善還是惡
[00:00:56.000 --> 00:00:58.000]  你怎樣去評價這個世界
[00:00:58.000 --> 00:01:00.000]  我還沒問完,你們就已經回答了
[00:01:00.000 --> 00:01:03.000]  斬釘截鐵,這個世界是惡的,對不對
[00:01:03.000 --> 00:01:06.000]  但是新聞當中也有好消息啊
[00:01:06.000 --> 00:01:08.000]  不是嗎
[00:01:08.000 --> 00:01:11.000]  各位,GDP增長了
[00:01:11.000 --> 00:01:12.000]  疫情結束了
[00:01:12.000 --> 00:01:15.000]  以色列好像要撤軍哦
[00:01:15.000 --> 00:01:19.000]  各位,是不是世界就沒有那麼邪惡了
[00:01:19.000 --> 00:01:21.000]  哎呀,不要看這個世界好了
[00:01:21.000 --> 00:01:22.000]  看我們個人
[00:01:22.000 --> 00:01:24.000]  移民美國了,工作穩定了
[00:01:24.000 --> 00:01:26.000]  綠卡拿到了,結婚生子了
[00:01:26.000 --> 00:01:28.000]  是不是我的人生,我的生活裏邊
[00:01:28.000 --> 00:01:31.000]  也沒有那麼邪惡了呢
[00:01:31.000 --> 00:01:34.000]  牛姊妹,我們生活在美國
[00:01:34.000 --> 00:01:36.000]  我們對這個世界的認知
[00:01:36.000 --> 00:01:39.000]  常常會有一點點
[00:01:39.000 --> 00:01:43.000]  被自己的生活所矇蔽
[00:01:43.000 --> 00:01:45.000]  你記得耶穌怎麼樣評價
[00:01:45.000 --> 00:01:47.000]  當時耶穌的那個世代嗎
[00:01:47.000 --> 00:01:51.000]  耶穌說,這是一個淫亂邪惡的世代
[00:01:51.000 --> 00:01:52.000]  記得嗎
[00:01:52.000 --> 00:01:55.000]  你記得保羅怎麼評價那個世代呢
[00:01:55.000 --> 00:01:57.000]  保羅說,不要做糊塗人
[00:01:57.000 --> 00:02:01.000]  因爲現今世代邪惡
[00:02:01.000 --> 00:02:03.000]  保羅也好,耶穌也好
[00:02:03.000 --> 00:02:05.000]  他們一口同聲
[00:02:05.000 --> 00:02:08.000]  他們給出所處的這個世代是惡的
[00:02:08.000 --> 00:02:11.000]  牛姊妹,2000年前是惡的
[00:02:11.000 --> 00:02:14.000]  今天科技發展了,經濟騰飛了
[00:02:14.000 --> 00:02:16.000]  火箭上天了
[00:02:16.000 --> 00:02:19.000]  請問有沒有抑制住人的惡
[00:02:19.000 --> 00:02:20.000]  沒有
[00:02:20.000 --> 00:02:22.000]  人的惡變本加厲
[00:02:22.000 --> 00:02:24.000]  人的惡是惡上加惡
[00:02:24.000 --> 00:02:27.000]  各位,邪惡就是邪惡
[00:02:27.000 --> 00:02:31.000]  不管今天經濟狀況如何,科技如何
[00:02:31.000 --> 00:02:33.000]  這個世界怎樣的變化
[00:02:33.000 --> 00:02:35.000]  善與惡之間
[00:02:35.000 --> 00:02:38.000]  神用祂的話,用祂的律法
[00:02:38.000 --> 00:02:41.000]  已經劃定了一個明確的標準和界限
[00:02:41.000 --> 00:02:44.000]  神不會稱惡爲善
[00:02:44.000 --> 00:02:46.000]  牛姊妹,第二件事情呢
[00:02:46.000 --> 00:02:49.000]  我們又要問一個終極的問題
[00:02:49.000 --> 00:02:52.000]  惡,我們都回答了,這個世界上是惡的
[00:02:52.000 --> 00:02:55.000]  這個世界上存在着邪惡
