
[00:00:00.000 --> 00:00:02.000]  各位弟兄姊妹,各位嘉賓,平安
[00:00:02.000 --> 00:00:06.000]  一號風球
[00:00:06.000 --> 00:00:13.000]  我相信在地上,今天我們生活
[00:00:13.000 --> 00:00:18.000]  特別是這個年代,無論你甚麼年紀
[00:00:18.000 --> 00:00:21.000]  你喜歡想想過去的事好
[00:00:21.000 --> 00:00:24.000]  還是想想未來的事好
[00:00:26.000 --> 00:00:30.000]  不同的人生觀,想過去當然悲觀一點
[00:00:30.000 --> 00:00:34.000]  人向前看,樂觀很多,對不對?
[00:00:34.000 --> 00:00:38.000]  是嗎?向前看,樂觀很多?
[00:00:38.000 --> 00:00:44.000]  有時我和家人聊天,我說我都沒有甚麼擔心
[00:00:44.000 --> 00:00:48.000]  我擔心孫輩將來是否走在神的道中
[00:00:48.000 --> 00:00:53.000]  對不對?到這個年紀了
[00:00:54.000 --> 00:00:57.000]  你看著小孩長大,感謝神他們走在主的道中
[00:00:57.000 --> 00:00:59.000]  蒙恩
[00:00:59.000 --> 00:01:01.000]  他們下一代呢?
[00:01:01.000 --> 00:01:09.000]  雖然我們做這一輩已經沒有甚麼責任去管他們的代
[00:01:09.000 --> 00:01:12.000]  但大家看到聖經的教導不是這樣的
[00:01:12.000 --> 00:01:15.000]  我們真的要生火相傳
[00:01:15.000 --> 00:01:19.000]  是嗎?如果神給我救恩
[00:01:19.000 --> 00:01:23.000]  我得到,我給了下一代
[00:01:24.000 --> 00:01:27.000]  如果不傳下去,到下一代就絕種了
[00:01:27.000 --> 00:01:30.000]  是不是?
[00:01:30.000 --> 00:01:34.000]  救恩是永恆的,我們有責任的
[00:01:34.000 --> 00:01:40.000]  感謝神給尖沙咀浸信會
[00:01:40.000 --> 00:01:43.000]  你們仍然保持這個福音主人
[00:01:43.000 --> 00:01:45.000]  讓大家知道有機會
[00:01:45.000 --> 00:01:49.000]  將你的親戚朋友、同學、同事、鄰居
[00:01:50.000 --> 00:01:54.000]  甚至乎家人帶回主的面前
[00:01:54.000 --> 00:02:00.000]  今天我特別用了一個題目,盼望,人生的盼望
[00:02:00.000 --> 00:02:03.000]  那五個字很簡單
[00:02:03.000 --> 00:02:07.000]  但丁子妹,你有沒有想過你人生有沒有盼望?
[00:02:07.000 --> 00:02:10.000]  人生啊
[00:02:10.000 --> 00:02:13.000]  如果有的話,那盼望是甚麼?
[00:02:13.000 --> 00:02:17.000]  當然是信耶穌得永生
[00:02:18.000 --> 00:02:20.000]  所以我人生有永生,那我又盼望
[00:02:20.000 --> 00:02:23.000]  人生和永生是差一個字
[00:02:23.000 --> 00:02:25.000]  一個人字,一個永字
[00:02:25.000 --> 00:02:27.000]  但這兩個字的轉變
