
[00:00:00.000 --> 00:00:01.680]  好,我們做一個祈禱
[00:00:01.680 --> 00:00:03.140]  然後開始我們今天的淨土
[00:00:03.140 --> 00:00:04.500]  請大家痛心禱告
[00:00:04.500 --> 00:00:07.300]  天父,我們感謝祢
[00:00:07.300 --> 00:00:10.640]  讓我們能夠可以在疫情的時間
[00:00:10.640 --> 00:00:12.640]  無論我們教會裏面的事工
[00:00:12.640 --> 00:00:16.440]  或者我們向鄰舍、我們的社區所作的見證
[00:00:16.440 --> 00:00:18.200]  求祢繼續的使用
[00:00:18.200 --> 00:00:21.300]  幫助我們能夠善用祢的資源
[00:00:21.300 --> 00:00:25.400]  也都幫助我們弟兄姊妹能夠把握有的機會
[00:00:25.400 --> 00:00:27.700]  雖然受到限制
[00:00:27.700 --> 00:00:31.500]  但是我們仍然可以透過這些時刻
[00:00:31.500 --> 00:00:34.800]  去參與侍奉、參與祈禱
[00:00:34.800 --> 00:00:39.600]  參與這些作見證的每一個環節
[00:00:39.600 --> 00:00:43.000]  主一願意祢自己親自的繼續祝福、使用
[00:00:43.000 --> 00:00:45.200]  讓我們不單止有平安
[00:00:45.200 --> 00:00:47.800]  在基督裏面能夠享受平安
[00:00:47.800 --> 00:00:51.100]  也都將這個平安能夠去傳遞
[00:00:51.100 --> 00:00:53.100]  和分享給其他的人
[00:00:53.100 --> 00:00:54.700]  願神祢自己繼續的
[00:00:54.700 --> 00:00:58.200]  在我們家人和我們社區當中來動功
[00:00:58.200 --> 00:01:01.200]  我們也都為一些患病的肢體
[00:01:01.200 --> 00:01:05.200]  和這些有需要的家庭和個人
[00:01:05.200 --> 00:01:06.500]  特別是一位消防員
[00:01:06.500 --> 00:01:10.400]  我們懇求祢來醫治、看顧和保守
[00:01:10.400 --> 00:01:13.700]  我們懇求祢來垂聽我們禱告
[00:01:13.700 --> 00:01:15.900]  建立我們所作的功
[00:01:15.900 --> 00:01:18.700]  願祢建立奉耶穌基督的名旗
[00:01:18.700 --> 00:01:20.700]  阿們
[00:01:20.700 --> 00:01:30.200]  今天和大家繼續講的訊息就是連接上個星期有的講道
[00:01:30.200 --> 00:01:35.000]  作為一個對主人忠心的僕人
[00:01:35.000 --> 00:01:37.100]  正如我們剛才所分享過的
[00:01:37.100 --> 00:01:38.800]  無論教會內或教會外的侍工
[00:01:38.800 --> 00:01:42.200]  我們在家裏面向家人作見證
[00:01:42.200 --> 00:01:44.900]  在我們網上所做的一切
[00:01:44.900 --> 00:01:47.400]  我們的崇拜、我們的團契
[00:01:47.400 --> 00:01:49.200]  我們對頂尖的關懷
[00:01:49.200 --> 00:01:53.600]  我們作為一些不同的屬靈的領袖
[00:01:53.600 --> 00:01:56.300]  所去帶動的一些侍工
[00:01:56.300 --> 00:02:02.900]  我們希望無論我們教務、我們長執、我們團契、小組
[00:02:02.900 --> 00:02:06.700]  我們每一個的頂尖姊妹的參與和帶領
[00:02:06.700 --> 00:02:10.900]  都能夠繼續的忠心的來為主服事
[00:02:10.900 --> 00:02:12.800]  雖然眼未必見到
[00:02:12.800 --> 00:02:14.500]  我們沒辦法可以監察到
[00:02:14.500 --> 00:02:16.700]  頂尖姊妹沒辦法accountable到
[00:02:16.700 --> 00:02:19.700]  但我們在主面前所做的忠心的侍工
[00:02:19.700 --> 00:02:23.500]  是我們神會閲納和使用的
[00:02:23.500 --> 00:02:24.800]  所以我們繼續來看一下
[00:02:24.800 --> 00:02:29.700]  今天在這個作個對主人忠心的僕人
[00:02:29.700 --> 00:02:32.000]  我們看到阿伯拉罕的僕人
[00:02:32.000 --> 00:02:33.000]  老僕人
[00:02:33.000 --> 00:02:36.900]  在整個二十四章這麼長的篇幅記載
[00:02:36.900 --> 00:02:39.200]  他為以撒娶妻的經歷
[00:02:39.200 --> 00:02:41.500]  其中我們很明顯就看見
[00:02:41.500 --> 00:02:44.000]  他是一位忠心的僕人
[00:02:44.000 --> 00:02:46.500]  忠於阿伯拉罕
[00:02:46.500 --> 00:02:49.900]  忠於他主人所去堅持
[00:02:49.900 --> 00:02:53.400]  所捍衛重要和交託給他的事
[00:02:53.400 --> 00:02:55.200]  所以我們上個星期講到
[00:02:55.200 --> 00:02:59.800]  他是一位很堅守主人信仰立場的一位僕人
[00:02:59.800 --> 00:03:01.100]  什麼是忠心呢?
[00:03:01.100 --> 00:03:02.500]  我們看見這位老僕人
[00:03:02.500 --> 00:03:06.100]  他很堅持、堅守著阿伯拉罕他主人
[00:03:06.100 --> 00:03:08.500]  他一些的信念、一些的信仰立場
[00:03:08.500 --> 00:03:11.400]  在神面前所起誓要遵行的
[00:03:11.400 --> 00:03:17.000]  包括了他在本地為他的兒子娶一個妻
[00:03:17.000 --> 00:03:19.200]  是不可以跟外族通婚的
[00:03:19.200 --> 00:03:23.300]  一定要從他自己原本認識耀華的家族裏面去找
[00:03:23.300 --> 00:03:25.700]  同樣不可以帶他回去
[00:03:25.700 --> 00:03:28.100]  離開了神的祝福的範圍
[00:03:28.100 --> 00:03:30.500]  離開了屬靈的保障
[00:03:30.500 --> 00:03:33.800]  所以這個是阿伯拉罕他堅持
[00:03:33.800 --> 00:03:35.000]  僕人忠心
[00:03:35.000 --> 00:03:37.700]  因為他堅守這些信仰的立場
[00:03:37.700 --> 00:03:38.300]  很重要的
[00:03:38.300 --> 00:03:39.800]  今天我們侍奉上帝
[00:03:39.800 --> 00:03:41.800]  不是按著我們自己的心意
[00:03:41.800 --> 00:03:44.800]  不是按著我們自己認為對或者不對
[00:03:44.800 --> 00:03:49.800]  我們必須照著神的委託給我們的信仰立場
[00:03:49.800 --> 00:03:54.200]  堅守在信仰裏面用一些正確的觀念
[00:03:54.200 --> 00:03:56.400]  還有很重要的
[00:03:56.400 --> 00:03:59.800]  第二方面的就是這些屬靈的法則來進行
