
[00:00:00.000 --> 00:00:13.000]  每年年底的時候,爲什麼我們要聽小孩子耶穌的故事呢?
[00:00:13.000 --> 00:00:22.000]  其實現在很多人都不聽小孩子耶穌的故事,他們聽什麼呢?
[00:00:22.000 --> 00:00:28.000]  聽聖誕老人發禮物
[00:00:28.000 --> 00:00:35.000]  但是如果我們要聽小孩子耶穌的故事
[00:00:35.000 --> 00:00:45.000]  原因是關乎我們生命的奇妙的故事
[00:00:45.000 --> 00:00:51.000]  我們靠着耶穌是可以出死入生的
[00:00:51.000 --> 00:00:58.000]  今天的故事是從有幾個遠方來的人去尋找小孩子開始的
[00:00:58.000 --> 00:01:04.000]  今天的故事是從遠方來的幾位博士尋找小孩子開始的
[00:01:04.000 --> 00:01:09.000]  我們看第一個情景
[00:01:09.000 --> 00:01:18.000]  當希律王的時候,耶穌生在猶太的伯利恆
[00:01:18.000 --> 00:01:25.000]  有幾個博士從東方來到耶路撒冷
[00:01:25.000 --> 00:01:34.000]  說那生來做猶太人之王的在哪裏?
[00:01:34.000 --> 00:01:42.000]  我們在東方看見他的星,特來拜他
[00:01:42.000 --> 00:01:49.000]  這幾位博士究竟是什麼人呢?
[00:01:49.000 --> 00:01:52.000]  其實我們不是太清楚
[00:01:52.000 --> 00:01:58.000]  我們相信這幾個人是懂得占星術的
[00:01:58.000 --> 00:02:06.000]  所以當他們在東方看見有一顆星的時候
[00:02:06.000 --> 00:02:09.000]  雖然他們不是以色列人
[00:02:09.000 --> 00:02:14.000]  他們的身份只不過是外邦人
[00:02:14.000 --> 00:02:16.000]  但不知道爲什麼
[00:02:16.000 --> 00:02:24.000]  他們卻知道在西方的巴勒斯坦地
[00:02:24.000 --> 00:02:32.000]  將會有一個嬰孩在耶路撒冷附近出生
[00:02:32.000 --> 00:02:43.000]  而這位出生的嬰孩長大後就會成爲猶太人之王
[00:02:43.000 --> 00:02:55.000]  更加會成爲以色列偉大皇帝大衛王的繼承人
[00:02:55.000 --> 00:03:05.000]  無論如何,這顆星吸引了他們的注意力
[00:03:05.000 --> 00:03:15.000]  於是這幾位博士就從東方來到西方的耶路撒冷
[00:03:15.000 --> 00:03:25.000]  但其實應該不說是西方,應該是中東的地方
[00:03:25.000 --> 00:03:31.000]  不過因爲這幾位博士是從東方而來
[00:03:31.000 --> 00:03:36.000]  所以他們是朝着西而行
[00:03:36.000 --> 00:03:47.000]  並且帶備了幾份名貴的禮物去拜這個王
[00:03:47.000 --> 00:03:52.000]  當時巴勒斯坦地的耶路撒冷
[00:03:52.000 --> 00:04:01.000]  是在羅馬帝國分封王希律的統治之下
[00:04:01.000 --> 00:04:11.000]  當他聽到有一個猶太人的王將會在那裏出生的時候
[00:04:11.000 --> 00:04:15.000]  希律王的反應是怎樣呢?
[00:04:15.000 --> 00:04:17.000]  我們看一下
[00:04:17.000 --> 00:04:22.000]  希律王聽見了就心裏不安
[00:04:22.000 --> 00:04:29.000]  耶路撒冷合成的人也都不安
[00:04:29.000 --> 00:04:35.000]  這個反應令到我們都覺得很詫異
[00:04:35.000 --> 00:04:38.000]  爲什麼他們會不安呢?
[00:04:38.000 --> 00:04:44.000]  稍後我們就會明白背後的原因
[00:04:44.000 --> 00:04:50.000]  讓我們看一下下一個情景是如何的
[00:04:50.000 --> 00:04:52.000]  不如請Sherry讀出
[00:04:52.000 --> 00:04:59.000]  他就召集了祭司長和民間的文士問他們說
[00:04:59.000 --> 00:05:01.000]  基督當生在何處?
[00:05:01.000 --> 00:05:05.000]  他們回答說在猶太的伯利恆
[00:05:05.000 --> 00:05:08.000]  因爲有先知記者說
[00:05:08.000 --> 00:05:13.000]  猶大的伯利恆你在猶大諸城中並不是最小的
[00:05:13.000 --> 00:05:18.000]  因爲將來有一位君王要從你那裏出來
[00:05:18.000 --> 00:05:20.000]  牧養我以色列民
[00:05:20.000 --> 00:05:35.000]  希律王就從祭司長和民事這些宗教領袖的口中
[00:05:35.000 --> 00:05:45.000]  知道了舊約聖經原來已經預示了基督
[00:05:45.000 --> 00:05:52.000]  有名叫尼賽亞就是那位從神而來
[00:05:52.000 --> 00:05:56.000]  去拯救以色列人的君王的出生地點
[00:05:56.000 --> 00:06:01.000]  就是那位從神而來要拯救以色列人的出生地點
[00:06:01.000 --> 00:06:05.000]  這位君王的出生在哪裏呢?
[00:06:05.000 --> 00:06:08.000]  這位君王的出生在哪裏呢?
[00:06:08.000 --> 00:06:14.000]  就是猶太的伯利恆
[00:06:14.000 --> 00:06:19.000]  正確應該是猶大的伯利恆
[00:06:19.000 --> 00:06:25.000]  這個就是大魏之城
[00:06:25.000 --> 00:06:30.000]  就是大魏的故鄉
[00:06:30.000 --> 00:06:34.000]  雖然知道了出生地點
[00:06:34.000 --> 00:06:42.000]  但是怎麼去找出猶太人的王呢?
[00:06:42.000 --> 00:06:46.000]  這個希律王就沒有把握
[00:06:46.000 --> 00:06:49.000]  因爲他連他自己都不知道
[00:06:49.000 --> 00:06:53.000]  但是他另外有盤算
[00:06:53.000 --> 00:06:59.000]  他召見了那幾位博士
[00:06:59.000 --> 00:07:02.000]  之後對他們說
[00:07:02.000 --> 00:07:09.000]  當下希律暗暗地召了博士來
[00:07:09.000 --> 00:07:15.000]  細問那星是什麼時候出現的
[00:07:15.000 --> 00:07:21.000]  就差他們往伯利恆去
[00:07:21.000 --> 00:07:29.000]  你們去仔細尋訪那小孩子
[00:07:29.000 --> 00:07:33.000]  尋到了就來報信
[00:07:33.000 --> 00:07:39.000]  我也好去拜他
[00:07:39.000 --> 00:07:46.000]  表面上他是想跟他們一起去拜那小孩子
[00:07:46.000 --> 00:07:53.000]  但如果我們在馬太福音繼續讀下去的時候
[00:07:53.000 --> 00:07:57.000]  我們發現到了後來
[00:07:57.000 --> 00:08:06.000]  他是下令去殺死伯利恆境內的兩歲以下的小孩子
[00:08:06.000 --> 00:08:14.000]  他卻是下令去殺死伯利恆兩裏之內附近的兩歲以下的小孩子
[00:08:14.000 --> 00:08:20.000]  這個行動就說明了他對這個新生王是不懷好意的
[00:08:20.000 --> 00:08:24.000]  這個行動是說明了他對這個新生王是不懷好意的
[00:08:24.000 --> 00:08:28.000]  是暗藏殺機的
[00:08:28.000 --> 00:08:33.000]  這個也解釋了爲什麼他不公開去召見這個博士
[00:08:33.000 --> 00:08:37.000]  這都解釋了爲什麼他不公開地去召見這些博士
[00:08:37.000 --> 00:08:39.000]  要暗暗地召見
[00:08:39.000 --> 00:08:41.000]  他要暗暗地去召見博士
[00:08:41.000 --> 00:08:43.000]  因爲他想殺死他們
[00:08:43.000 --> 00:08:45.000]  殺死這個小孩子
[00:08:45.000 --> 00:08:47.000]  因爲他想殺死這個小孩子
[00:08:47.000 --> 00:08:51.000]  所以無論是博士們還是希律王
[00:08:51.000 --> 00:08:54.000]  所以無論是博士們還是希律王
[00:08:54.000 --> 00:09:00.000]  我們都看到他們希望能夠尋找到這位新生的王
[00:09:00.000 --> 00:09:04.000]  我們都看見他們是很想找到這位新生王
[00:09:04.000 --> 00:09:08.000]  究竟新生王是怎樣找得到呢?
[00:09:08.000 --> 00:09:12.000]  到底新生王是怎樣去找到的呢?
[00:09:12.000 --> 00:09:14.000]  我們看聖經的時候就很奇怪了
[00:09:14.000 --> 00:09:18.000]  我們看聖經時都有一點奇怪
[00:09:18.000 --> 00:09:23.000]  他們聽見王的話就去了
[00:09:23.000 --> 00:09:26.000]  就去伯利衡
[00:09:26.000 --> 00:09:31.000]  在東方所看見的那星
[00:09:31.000 --> 00:09:36.000]  忽然在他們前頭行
[00:09:36.000 --> 00:09:41.000]  一直行到小孩子的地方
[00:09:41.000 --> 00:09:46.000]  就在上頭停住了
[00:09:46.000 --> 00:09:49.000]  是不是很奇怪呢?
[00:09:49.000 --> 00:09:56.000]  那顆星竟然好像很動搖地帶他們去小孩子的地方
[00:09:56.000 --> 00:10:00.000]  那顆星就好像帶着他們去小孩子的地方
[00:10:00.000 --> 00:10:05.000]  然後在正確的地點上頭停住了
[00:10:05.000 --> 00:10:09.000]  然後就在正確的地點上停下來了
[00:10:09.000 --> 00:10:11.000]  所以到了最後呢
[00:10:11.000 --> 00:10:15.000]  就在這顆星的引導之下
[00:10:15.000 --> 00:10:17.000]  就在這顆星的引導之下
[00:10:17.000 --> 00:10:22.000]  這幾位博士就尋見了新生猶太人的王
[00:10:22.000 --> 00:10:27.000]  這幾位博士就尋見了新生猶太人的王
[00:10:27.000 --> 00:10:30.000]  換句話說他們就見到基督了
[00:10:30.000 --> 00:10:33.000]  換句話說他們就見到基督了
[00:10:33.000 --> 00:10:35.000]  這件是非常奇妙的事
[00:10:35.000 --> 00:10:37.000]  這件是非常奇妙的事
[00:10:37.000 --> 00:10:39.000]  但奇妙的事是不是真的可以發生呢?
[00:10:39.000 --> 00:10:42.000]  但奇妙的事是不是真的可以發生呢?
[00:10:42.000 --> 00:10:46.000]  我希望在這裏我講一個親身我自己的見證
[00:10:46.000 --> 00:10:49.000]  我希望在這裏我講一個親身我自己的見證
[00:10:49.000 --> 00:10:53.000]  這個見證是從我外父的口中聽到的
[00:10:53.000 --> 00:10:58.000]  這個見證是從我外父的口中聽到的
[00:10:58.000 --> 00:11:01.000]  話說他當年年輕大約二十幾歲的時候
[00:11:01.000 --> 00:11:05.000]  話說他當年年輕大約二十幾歲的時候
[00:11:05.000 --> 00:11:09.000]  有一次爲了找工作
[00:11:09.000 --> 00:11:14.000]  於是就離開他的故鄉福州去到外地發展
[00:11:14.000 --> 00:11:18.000]  於是就離開他的故鄉福州去到外地發展
[00:11:18.000 --> 00:11:22.000]  起初他跟一些朋友去到上海打工
[00:11:22.000 --> 00:11:26.000]  起初他跟一些朋友去到上海打工
[00:11:26.000 --> 00:11:30.000]  但後來他發現上海的繁華生活不適合他
[00:11:30.000 --> 00:11:34.000]  但後來他發現上海的繁華生活不適合他
[00:11:34.000 --> 00:11:40.000]  於是就決定由上海搭船去香港
[00:11:40.000 --> 00:11:45.000]  於是就決定從上海坐船到香港
[00:11:45.000 --> 00:11:50.000]  那個時候他的口袋裏只有五塊錢的港幣
[00:11:50.000 --> 00:11:54.000]  那個時候他的口袋裏只有五塊錢的港幣
[00:11:54.000 --> 00:11:58.000]  他打算去到香港之後尋找一位姓鄭的同鄉
[00:11:58.000 --> 00:12:03.000]  他打算去到香港之後尋找一位姓鄭的同鄉
[00:12:03.000 --> 00:12:09.000]  但原來他竟然不知道這個同鄉在香港住在哪個地方
[00:12:09.000 --> 00:12:14.000]  但原來他竟然不知道這個同鄉在香港住在哪個地方
[00:12:14.000 --> 00:12:17.000]  大家覺得如何呢?
[00:12:17.000 --> 00:12:23.000]  在茫茫人海當中他可不可以找到姓鄭的同鄉呢?
[00:12:23.000 --> 00:12:29.000]  在茫茫人海當中他可不可以找到姓鄭的同鄉呢?
[00:12:29.000 --> 00:12:33.000]  幾十年前的香港雖然人少些
[00:12:33.000 --> 00:12:36.000]  幾十年前的香港雖然人比較少
[00:12:36.000 --> 00:12:41.000]  但我想也過一百萬人口吧
[00:12:41.000 --> 00:12:42.000]  但我想也過一百萬人口吧
[00:12:42.000 --> 00:12:45.000]  那他在哪裏找到姓鄭的同鄉呢?
[00:12:45.000 --> 00:12:49.000]  那他在哪裏找到姓鄭的同鄉呢?
[00:12:49.000 --> 00:12:52.000]  奇妙的事就發生
[00:12:52.000 --> 00:13:00.000]  誰知道原來就在他坐的那艘開往香港的船上
[00:13:00.000 --> 00:13:05.000]  誰知道原來就在他坐的那艘開往香港的船上
[00:13:05.000 --> 00:13:07.000]  竟然就碰到這個姓鄭的同鄉
[00:13:07.000 --> 00:13:11.000]  竟然就碰到這個姓鄭的同鄉
[00:13:11.000 --> 00:13:12.000]  爲什麼呢?
[00:13:12.000 --> 00:13:13.000]  爲什麼呢?
[00:13:13.000 --> 00:13:14.000]  原來這個同鄉呢?
[00:13:14.000 --> 00:13:16.000]  因爲有事去了上海
[00:13:16.000 --> 00:13:18.000]  因爲有事去了上海
[00:13:18.000 --> 00:13:21.000]  辦完事就坐船回香港
[00:13:21.000 --> 00:13:23.000]  辦完事就坐船回香港
[00:13:23.000 --> 00:13:25.000]  正好就是和我岳父同一艘船
[00:13:25.000 --> 00:13:28.000]  正好就是和我岳父同一艘船
[00:13:28.000 --> 00:13:32.000]  於是我岳父就跟這個同鄉回到他家
[00:13:32.000 --> 00:13:36.000]  於是我岳父就跟這個同鄉回到他家
[00:13:36.000 --> 00:13:39.000]  開始他在香港的生活
[00:13:39.000 --> 00:13:41.000]  開始了他在香港的生活
[00:13:41.000 --> 00:13:44.000]  你說我岳父的經歷是不是很奇妙呢?
[00:13:44.000 --> 00:13:49.000]  你說我岳父的經歷是不是很奇妙呢?
[00:13:49.000 --> 00:13:51.000]  信不信得過?
[00:13:51.000 --> 00:13:52.000]  信不信得過?
[00:13:52.000 --> 00:13:53.000]  問一下師母
[00:13:53.000 --> 00:13:55.000]  問一下師母
[00:13:55.000 --> 00:13:56.000]  他可以做證人
[00:13:56.000 --> 00:13:58.000]  他可以做證人
[00:13:58.000 --> 00:14:01.000]  昨晚我先問他這件事
[00:14:01.000 --> 00:14:03.000]  昨天才問他這件事
[00:14:03.000 --> 00:14:04.000]  昨天才問他這件事
[00:14:04.000 --> 00:14:06.000]  再一次證明這個是真實的
[00:14:06.000 --> 00:14:08.000]  再一次證明這個是真實的
[00:14:08.000 --> 00:14:10.000]  我岳父是信主的
[00:14:10.000 --> 00:14:12.000]  我岳父是信主的
[00:14:12.000 --> 00:14:14.000]  因爲他家裏的父親呢
[00:14:14.000 --> 00:14:16.000]  因爲他的父親
[00:14:16.000 --> 00:14:19.000]  在福州那裏是做傳道人
[00:14:19.000 --> 00:14:22.000]  在福州那裏是做傳道人
[00:14:22.000 --> 00:14:25.000]  所以神真的很愛屬他的兒女
[00:14:25.000 --> 00:14:28.000]  所以神是很愛惜他的兒女
[00:14:28.000 --> 00:14:30.000]  他會保守他的兒女
[00:14:30.000 --> 00:14:34.000]  是引領他們遇到他希望見到的人
[00:14:34.000 --> 00:14:36.000]  他會保守他的兒女
[00:14:36.000 --> 00:14:39.000]  引領他們去見到他們希望見到的人
[00:14:39.000 --> 00:14:40.000]  如果我們這麼想
[00:14:40.000 --> 00:14:46.000]  我們發覺如果那顆星是奇妙地引導幾位博士
[00:14:46.000 --> 00:14:48.000]  去找到耶穌是不出奇的
[00:14:48.000 --> 00:14:49.000]  如果我們這樣想
[00:14:49.000 --> 00:14:52.000]  那顆星去帶領這幾位博士
[00:14:52.000 --> 00:14:55.000]  找到耶穌是不出奇的事情
[00:14:55.000 --> 00:14:57.000]  因爲這是超自然的現象
[00:14:57.000 --> 00:15:00.000]  因爲這是一個超自然的現象
[00:15:00.000 --> 00:15:02.000]  我們進入第四個情景
[00:15:02.000 --> 00:15:04.000]  我們進入第四個情景
[00:15:04.000 --> 00:15:05.000]  第十一節
[00:15:05.000 --> 00:15:07.000]  第十一節
[00:15:07.000 --> 00:15:11.000]  進了房子看見小孩子和他的母親瑪利亞
[00:15:11.000 --> 00:15:14.000]  進了房子看見小孩子和他母親瑪利亞
[00:15:14.000 --> 00:15:17.000]  就夫婦拜那小孩子
[00:15:17.000 --> 00:15:19.000]  揭開寶盒
