
[00:00:00.000 --> 00:00:04.440]  頂姐妹,我們同福的方向有幾個字
[00:00:04.440 --> 00:00:08.240]  聖賢權能,活出神國
[00:00:08.240 --> 00:00:12.840]  以往我有很多時間和頂姐妹聊天
[00:00:12.840 --> 00:00:16.440]  有些頂姐妹問我
[00:00:16.440 --> 00:00:20.760]  你講了很多故事、很多見證
[00:00:20.760 --> 00:00:22.000]  我說是的
[00:00:22.000 --> 00:00:23.720]  其實我是讀歷史的
[00:00:23.720 --> 00:00:26.240]  歷史英文怎麼串呢
[00:00:26.240 --> 00:00:29.080]  H-I-S-T-O-R-Y
[00:00:29.080 --> 00:00:32.360]  如果你這樣將它大綽
[00:00:32.360 --> 00:00:34.760]  就是History
[00:00:34.760 --> 00:00:36.680]  神的故事
[00:00:36.680 --> 00:00:40.160]  其實耶穌在聖經裡面都講很多故事
[00:00:40.160 --> 00:00:41.640]  其實為什麼呢
[00:00:41.640 --> 00:00:44.680]  就是讓人更加去明白真理
[00:00:44.680 --> 00:00:48.400]  更加以記憶有些真理
[00:00:48.400 --> 00:00:49.400]  所以很多時間
[00:00:49.400 --> 00:00:52.120]  我們選見證、選故事的時候
[00:00:52.120 --> 00:00:54.840]  這個故事和見證
[00:00:54.840 --> 00:00:58.320]  是讓大家更加明白那些真理
[00:00:58.320 --> 00:01:00.440]  我相信神是多元化的
[00:01:00.440 --> 00:01:03.320]  有些頂姐妹對於理念
[00:01:03.320 --> 00:01:05.440]  對於文字的解釋
[00:01:05.440 --> 00:01:07.440]  是很上心的
[00:01:07.440 --> 00:01:08.720]  是好的
[00:01:08.720 --> 00:01:10.560]  但也有些頂姐妹
[00:01:10.560 --> 00:01:13.120]  對於見證、對於故事
[00:01:13.120 --> 00:01:14.720]  她們特別上心
[00:01:14.720 --> 00:01:15.240]  都是好的
[00:01:15.240 --> 00:01:18.120]  因為我們的神是很多元的
[00:01:18.120 --> 00:01:21.360]  我盼望神的道是什麼呢
[00:01:21.360 --> 00:01:25.640]  是人經歷到神的真實
[00:01:25.640 --> 00:01:28.680]  以致祂將這個經歷可以說出來
[00:01:28.680 --> 00:01:31.280]  而這個經歷又合乎聖經的真理
[00:01:31.280 --> 00:01:34.560]  也可以演繹到神的說話
[00:01:34.560 --> 00:01:35.800]  那些特質
[00:01:35.800 --> 00:01:38.240]  以致我們更加明白神的真實
[00:01:38.240 --> 00:01:39.480]  但無論怎樣也好
[00:01:39.480 --> 00:01:40.440]  最重要的
[00:01:40.440 --> 00:01:43.000]  就是我們明白了這個真理的時候
[00:01:43.000 --> 00:01:45.920]  聖靈幫助我們有能力可以走出來
[00:01:45.920 --> 00:01:49.120]  以致我們的信心更加成長
[00:01:49.120 --> 00:01:51.240]  我們盼望我們的頂姐妹
[00:01:51.240 --> 00:01:56.320]  去經歷到聖賢、權能、活出神國
[00:01:56.320 --> 00:01:57.160]  為什麼呢?
[00:01:57.160 --> 00:02:00.240]  因為我們的神有一個很清楚的應許
[00:02:00.240 --> 00:02:02.040]  就是我們親近祂
[00:02:02.040 --> 00:02:04.080]  祂必定親近我們
[00:02:04.080 --> 00:02:07.480]  主,我們很相信
[00:02:07.480 --> 00:02:10.640]  主祢豐盛的應許
[00:02:10.640 --> 00:02:13.320]  主祢的應許是
[00:02:13.320 --> 00:02:16.440]  值得我們永遠地維持
[00:02:16.440 --> 00:02:18.160]  抓住
[00:02:18.160 --> 00:02:20.640]  緊緊地抱著
[00:02:20.640 --> 00:02:22.400]  我們抱著祢的應許
[00:02:22.400 --> 00:02:27.080]  不單止是抓住這些說話
[00:02:27.080 --> 00:02:29.040]  我們也抓住祢
[00:02:29.040 --> 00:02:30.720]  投靠祢
[00:02:30.720 --> 00:02:33.480]  主祢賜下了信心給我們信靠
