
[00:00:00.000 --> 00:00:06.760]  在今天的神學主日早上
[00:00:06.760 --> 00:00:09.300]  和大家思想
[00:00:09.300 --> 00:00:11.040]  什麼是讀神學
[00:00:11.040 --> 00:00:12.900]  什麼是神學教育
[00:00:12.900 --> 00:00:16.700]  我定的題目是讀神學、學基督
[00:00:16.700 --> 00:00:23.080]  我想到神學教育或者神學主日的時候
[00:00:23.080 --> 00:00:26.800]  我就想起當年我在神學院的時候
[00:00:26.800 --> 00:00:31.640]  其中每一年都會有一個日子
[00:00:31.640 --> 00:00:33.880]  叫做神學生日
[00:00:33.880 --> 00:00:35.520]  一開始看看這四個字
[00:00:35.520 --> 00:00:36.520]  很有趣
[00:00:36.520 --> 00:00:38.040]  神學生日
[00:00:38.040 --> 00:00:40.680]  究竟是神學的生日
[00:00:40.680 --> 00:00:44.400]  還是神學生的日子呢?
[00:00:44.400 --> 00:00:49.720]  神學主日和神學教育主日
[00:00:49.720 --> 00:00:51.520]  究竟又是什麼呢?
[00:00:51.520 --> 00:00:53.280]  有什麼關係呢?
[00:00:53.280 --> 00:00:55.200]  是不是一樣的呢?
[00:00:55.200 --> 00:00:58.520]  再要問的就是我們要知道
[00:00:58.520 --> 00:01:00.800]  究竟什麼是神學呢?
[00:01:00.800 --> 00:01:02.760]  然後我們才會知道
[00:01:02.760 --> 00:01:05.840]  究竟什麼是神學教育
[00:01:05.840 --> 00:01:11.600]  我們在神學院裡面接受教育的時候
[00:01:11.600 --> 00:01:15.200]  神學這一科是分幾科的
[00:01:15.200 --> 00:01:20.440]  所以是有神學一、神學二、神學三、神學四
[00:01:20.440 --> 00:01:23.960]  不同的神學科目
[00:01:23.960 --> 00:01:27.000]  而在這些不同的科目裡面
[00:01:27.000 --> 00:01:30.000]  就會有聖經的神學
[00:01:30.000 --> 00:01:31.880]  有系統的神學
[00:01:31.880 --> 00:01:33.880]  有歷史神學
[00:01:33.880 --> 00:01:37.400]  而在這些不同的神學領域裡面
[00:01:37.400 --> 00:01:40.640]  我們就會學習不同的題目
