
[00:00:00.000 --> 00:00:03.520]  大家請等我讀出接著的七和八節
[00:00:03.520 --> 00:00:04.560]  第七節說
[00:00:04.560 --> 00:00:08.440]  「尼那地方不遠有田產市島長布白留的
[00:00:08.440 --> 00:00:11.800]  他接納我們,盡情款待三日
[00:00:11.800 --> 00:00:16.360]  當時布白留的父親患熱病和利疾躺著
[00:00:16.360 --> 00:00:18.320]  保羅進去為他禱告
[00:00:18.320 --> 00:00:21.080]  按手在他身上治好了他
[00:00:21.080 --> 00:00:25.320]  從此島上其餘的病人也來得了醫治
[00:00:25.320 --> 00:00:27.720]  他們又多方地尊敬我們
[00:00:27.720 --> 00:00:32.520]  到了開船的時候也把我們所需用的送到船上」
[00:00:32.520 --> 00:00:34.840]  三個月的時間在島上停留
[00:00:34.840 --> 00:00:36.520]  發生了一件這樣的事
[00:00:36.520 --> 00:00:40.600]  好了,終於三個月後上第二條船再去羅馬了
[00:00:40.600 --> 00:00:42.400]  好吧,那去到羅馬
[00:00:42.400 --> 00:00:44.160]  我想請大家再看後面
[00:00:44.160 --> 00:00:51.000]  二十八章的第十六節到第二十節
[00:00:51.000 --> 00:00:53.600]  十六節至二十節,請
[00:00:53.600 --> 00:00:59.120]  「盡了羅馬城,老羅蒙準和一個看守他的兵
[00:00:59.120 --> 00:01:01.000]  另住在一處」
[00:01:01.000 --> 00:01:02.320]  過了三天
[00:01:02.320 --> 00:01:05.080]  保羅請猶太人的首領來
[00:01:05.080 --> 00:01:08.040]  他們來了就對他們說
[00:01:08.040 --> 00:01:13.320]  「弟兄們,我須沒做什麼事干犯本國的百姓
[00:01:13.320 --> 00:01:15.720]  和我們祖宗的規條
[00:01:15.720 --> 00:01:17.320]  卻被鎖綁
[00:01:17.320 --> 00:01:21.120]  從耶路撒冷解在羅馬人的手裡」
[00:01:21.120 --> 00:01:22.840]  他們審問了我
[00:01:22.840 --> 00:01:24.520]  就願意釋放我
[00:01:24.520 --> 00:01:28.640]  因為在我身上並沒有該死的罪
[00:01:28.640 --> 00:01:30.720]  無奈猶太人不服
[00:01:30.720 --> 00:01:34.240]  我不得已只好上告於凱撒
[00:01:34.240 --> 00:01:38.720]  並非有什麼事要控告我本國的百姓
[00:01:38.720 --> 00:01:42.240]  因此我請你們來見面說話
[00:01:42.240 --> 00:01:45.160]  我願為以色列人所指望的
[00:01:45.160 --> 00:01:47.640]  被這鏈子困鎖」
[00:01:47.640 --> 00:01:51.400]  好了,於是跟猶太人的父老解釋
[00:01:51.400 --> 00:01:53.240]  為什麼他們來這裡,做些什麼
[00:01:53.240 --> 00:01:55.040]  被迫而已,我不是想告你們
[00:01:55.040 --> 00:01:58.080]  我被迫來這裡上訴,我本來沒有罪
[00:01:58.080 --> 00:02:01.640]  於是趁這個機會約他們來見面
[00:02:01.640 --> 00:02:04.160]  最後23節開始說
[00:02:04.160 --> 00:02:08.560]  他跟這群猶太人分享福音信息
[00:02:08.560 --> 00:02:12.000]  大家聽我讀出來,23節
[00:02:12.000 --> 00:02:14.480]  「他們和保羅約定了日子
[00:02:14.480 --> 00:02:17.200]  就有許多人到他的御處來
[00:02:17.200 --> 00:02:20.360]  保羅從早到晚對他們講論這事
[00:02:20.360 --> 00:02:22.400]  證明神國的道
[00:02:22.400 --> 00:02:25.400]  引摩西的律法和先知的書
[00:02:25.400 --> 00:02:27.800]  以耶穌的事勸勉他們」
[00:02:27.800 --> 00:02:28.800]  有什麼反應呢
[00:02:28.800 --> 00:02:32.960]  「他們所說的話有信的有不信的
[00:02:32.960 --> 00:02:35.680]  他們彼此不合就散了
[00:02:35.680 --> 00:02:38.920]  未散以先,保羅說了一句話說
[00:02:38.920 --> 00:02:40.960]  他說聖靈直先知已錯
[00:02:40.960 --> 00:02:44.000]  向你們祖宗所說的話是不錯的
[00:02:44.000 --> 00:02:46.240]  他說,你去告訴這些百姓說
[00:02:46.240 --> 00:02:48.440]  你們聽時要聽見,他不明白
[00:02:48.440 --> 00:02:50.160]  看時要看見,他不曉得
[00:02:50.160 --> 00:02:52.560]  因為這些百姓的油蒙了心
[00:02:52.560 --> 00:02:55.320]  耳朵發沉,眼睛閉著
[00:02:55.320 --> 00:02:57.560]  恐怕他眼睛看見,耳朵聽見
