
[00:00:00.000 --> 00:00:05.380]  不知道大家在這幾個星期 特別有這麼多天災發生的時候
[00:00:05.380 --> 00:00:07.200]  有沒有覺得我們很幸運
[00:00:07.200 --> 00:00:08.920]  我們不是生活在災區
[00:00:08.920 --> 00:00:12.700]  從前我在德州生活過 在休斯頓我也生活過
[00:00:12.700 --> 00:00:16.080]  不過來了加州都二十多年了
[00:00:16.080 --> 00:00:18.240]  大家有沒有覺得很感謝主
[00:00:18.240 --> 00:00:26.500]  我們不是直接生活在受災的地區裏面
[00:00:26.500 --> 00:00:29.900]  在災區裏面 如果大家看電視或者新聞的時候
[00:00:29.900 --> 00:00:35.220]  大家會發覺災情比我們想象中的嚴重
[00:00:35.220 --> 00:00:43.480]  按照他們說的哈維是世紀以來四級的巨峯
[00:00:43.480 --> 00:00:45.260]  很少有的
[00:00:45.260 --> 00:00:49.360]  而這個伊爾瑪所造成的洪水氾濫
[00:00:49.360 --> 00:00:52.000]  也是百年罕見的
[00:00:52.000 --> 00:00:53.120]  所以大家會留意到
[00:00:53.120 --> 00:00:56.860]  如果你看新聞 每天都好像看到這些東西
[00:00:56.860 --> 00:00:59.500]  事實上同時間裏
[00:00:59.500 --> 00:01:04.420]  在墨西哥發生了八點一級的地震
[00:01:04.420 --> 00:01:06.420]  反而現在的注意力
[00:01:06.420 --> 00:01:08.320]  放在災區的災情
[00:01:08.320 --> 00:01:09.680]  我們怎麼去救災
[00:01:09.680 --> 00:01:11.820]  全國的注意力都放在那裏
[00:01:11.820 --> 00:01:15.000]  所以我們對其他地方
[00:01:15.000 --> 00:01:16.940]  墨西哥的八點一級地震
[00:01:16.940 --> 00:01:18.460]  都是世紀少見的
[00:01:18.460 --> 00:01:20.960]  百年一次的大地震
[00:01:20.960 --> 00:01:22.760]  造成很多人命損失
[00:01:22.760 --> 00:01:25.000]  而且災情也相當嚴重
[00:01:25.000 --> 00:01:27.340]  甚至比我們兩個巨峯都嚴重
[00:01:27.340 --> 00:01:32.960]  但是我們的報導都將它放在裏面
[00:01:32.960 --> 00:01:36.060]  如果你好像我一樣
[00:01:36.060 --> 00:01:41.620]  還留意香港和中國所發生的事情的時候
[00:01:41.620 --> 00:01:44.620]  我也不知道大家會不會心裏
[00:01:44.620 --> 00:01:47.880]  好像我一樣有些唏噓
[00:01:47.880 --> 00:01:50.660]  有些難過
[00:01:50.660 --> 00:01:51.940]  我不講細節了
[00:01:51.940 --> 00:01:54.780]  你自己去想象一下
[00:01:54.780 --> 00:01:57.800]  但是當我回想在美國的時候
[00:01:57.800 --> 00:02:02.980]  美國是不是比香港中國好一點呢
[00:02:02.980 --> 00:02:05.180]  如果我們從政治的角度來說
[00:02:05.180 --> 00:02:09.540]  事實上其實美國的政治同樣的黑暗
[00:02:09.540 --> 00:02:12.020]  無論誰做總統都好
[00:02:12.020 --> 00:02:14.940]  事實上我們發覺到了一個地步
[00:02:14.940 --> 00:02:18.500]  我們都不能夠對我們的當權者
[00:02:18.500 --> 00:02:20.300]  無論在哪裏
[00:02:20.300 --> 00:02:24.420]  很大大的期望
[00:02:24.420 --> 00:02:28.700]  而我去翻查一些記錄
[00:02:28.700 --> 00:02:32.100]  從2004年到2014年
[00:02:32.100 --> 00:02:36.780]  不知道大家知不知道全世界的地震
[00:02:36.780 --> 00:02:39.180]  是7.5級以上的地震
[00:02:39.180 --> 00:02:40.260]  是大地震
[00:02:40.260 --> 00:02:42.580]  就是7.5級以上的
[00:02:42.580 --> 00:02:45.660]  墨西哥就8.1
[00:02:45.660 --> 00:02:47.100]  從2004年到2014年
[00:02:47.100 --> 00:02:51.940]  是比之前10年多了差不多3倍
[00:02:51.940 --> 00:02:54.620]  所以你們先別這麼開心啊 我們住在加州
[00:02:54.620 --> 00:02:56.060]  特別是北加州
