
[00:00:00.000 --> 00:00:06.080]  吃飯要不要洗手,答案當然是要啦,對不對?
[00:00:06.080 --> 00:00:09.520]  特別是在沙士的時候,這是衛生的問題,
[00:00:09.520 --> 00:00:12.800]  連幼稚園的同學,很小的時候都強調,
[00:00:12.800 --> 00:00:17.560]  廣告都很清楚,並一起去執行,吃飯就要洗手。
[00:00:17.560 --> 00:00:22.400]  但為什麼這麼簡單的問題,在馬富冠第七章裡面,
[00:00:22.400 --> 00:00:27.400]  激起一個爭論,很明顯這個吃飯的問題,
[00:00:27.400 --> 00:00:31.240]  要洗手這個問題,不是一個衛生的問題,
[00:00:31.240 --> 00:00:34.720]  是一個宗教的問題。
[00:00:34.720 --> 00:00:38.960]  是不是耶穌反對當時挑戰祂的法尼塞人呢?
[00:00:38.960 --> 00:00:42.400]  或者文士呢?當然不是。
[00:00:42.400 --> 00:00:46.080]  因為耶穌的根,祂的信仰的根是什麼?
[00:00:46.080 --> 00:00:48.040]  是由猶太來的。
[00:00:48.040 --> 00:00:57.440]  陳博士剛才分享過,在我們這個星期三的一個請到遊福的分享裡面,
[00:00:57.440 --> 00:01:01.360]  他講到主餐裡面,大家有沒有留意主餐?
[00:01:01.360 --> 00:01:08.160]  其實主餐有一樣東西,是那個根由猶太來的,
[00:01:08.160 --> 00:01:14.000]  不過我們就少了,就是主餐我們的餅,其實是一個無敲餅,
[00:01:14.000 --> 00:01:18.760]  我記得我剛剛信耶穌的時候,那個餅是要牧師自己親手製的,
[00:01:18.760 --> 00:01:23.440]  是無敲餅,然後每一次洗的時候,他要抹洗手來撕開它。
[00:01:23.440 --> 00:01:27.600]  這個代表什麼?在舊約裡面,出一級戲的時候,手無敲餅。
[00:01:27.600 --> 00:01:31.600]  那個葡萄汁當然是代表耶穌的血,那個餅是代表耶穌的身體,
[00:01:31.600 --> 00:01:36.080]  但是其實推翻以前的時候,其實是有一個很大的猶太根源。
[00:01:36.080 --> 00:01:37.800]  所以當在這裡吃飯要洗手,
[00:01:37.800 --> 00:01:42.680]  耶穌絕對不是反對法尼塞人和文士那種做法。
[00:01:42.680 --> 00:01:49.040]  那他想做什麼呢?他很想叫這些人,特別是文士法尼塞人,
[00:01:49.040 --> 00:01:53.600]  你已經守了這麼久,你爺爺,你爸爸,你太公教你的時候,
[00:01:53.600 --> 00:01:56.080]  你有沒有反省過?
[00:01:56.080 --> 00:02:01.240]  所以他爭論的正義問題是,洗手又怎樣?不洗手又怎樣?
