
[00:00:00.000 --> 00:00:02.000]  各位,今日講到討好時間
[00:00:02.000 --> 00:00:05.760]  神好似要我講今日嘅訊息
[00:00:05.760 --> 00:00:08.040]  今日嘅訊息係好難講嘅
[00:00:08.040 --> 00:00:09.160]  點解呢?
[00:00:09.160 --> 00:00:11.440]  因為我以往講一課呢
[00:00:11.440 --> 00:00:12.760]  我會講好多
[00:00:12.760 --> 00:00:17.120]  神嘅愛、神嘅祝福、神嘅恩典、神嘅醫治
[00:00:17.120 --> 00:00:19.560]  呢啲係千真萬確
[00:00:19.560 --> 00:00:22.200]  喺耶穌基督裏面係絕對嘅事實
[00:00:22.200 --> 00:00:24.240]  但係神愛我哋
[00:00:24.240 --> 00:00:27.360]  祂盼望我哋生命有更大嘅成長
[00:00:27.360 --> 00:00:32.280]  以致我哋分享到祂更豐盛嘅愛、更豐盛嘅恩典
[00:00:32.280 --> 00:00:34.480]  我哋要咁樣去成長
[00:00:34.480 --> 00:00:35.720]  所以我哋嘅信仰
[00:00:35.720 --> 00:00:38.680]  耶穌基督係對我哋生命裏面有一啲要求
[00:00:38.680 --> 00:00:42.400]  今日呢,我好想同大家講呢啲嘅要求
[00:00:42.400 --> 00:00:45.680]  讓我哋成為毀身嘅真門徒
[00:00:45.680 --> 00:00:49.200]  當我哋咁樣講嘅時間
[00:00:49.200 --> 00:00:50.840]  我哋必須要立志
[00:00:50.840 --> 00:00:52.160]  我哋要成長
[00:00:52.160 --> 00:00:54.880]  我哋配合聖靈嘅工作
[00:00:55.240 --> 00:00:58.840]  呢一啲一切都係源於神對我哋嘅心
[00:00:58.840 --> 00:01:00.520]  對我哋好大好大
[00:01:00.520 --> 00:01:03.360]  超過我哋頭腦所想像嘅愛
[00:01:03.360 --> 00:01:04.880]  讓我哋一齊敬拜我哋主
[00:01:04.880 --> 00:01:06.360]  主讓我哋讚美祢
[00:01:06.360 --> 00:01:09.920]  讓呢個滿足嘅心嚟到我哋當中
[00:01:09.920 --> 00:01:11.400]  主要讓我哋聆聽祢嘅說話
[00:01:11.400 --> 00:01:12.400]  打開我哋嘅耳朵
[00:01:12.400 --> 00:01:13.880]  打開我哋嘅心眼
[00:01:13.880 --> 00:01:17.360]  讓我哋聽得到、見得到祢嘅聲音
[00:01:17.360 --> 00:01:18.480]  主讓我哋奉耶穌嘅名
[00:01:18.480 --> 00:01:21.160]  宣告一切心硬驕傲
[00:01:21.160 --> 00:01:23.520]  攔阻我哋領受主祢嘅教導
[00:01:23.520 --> 00:01:25.680]  領受真理嘅要離開我哋
[00:01:25.680 --> 00:01:28.480]  主要讓今天我哋好清楚
[00:01:28.480 --> 00:01:30.520]  耶穌基督祢喺我哋當中
[00:01:30.520 --> 00:01:31.960]  呢個電係屬於耶穌
[00:01:31.960 --> 00:01:34.800]  所以主祢喺我哋當中坐著為王
