
[00:00:00.000 --> 00:00:02.000]  好聽之妹,早晨!
[00:00:02.000 --> 00:00:05.000]  我們感謝神在復活節的主日
[00:00:05.000 --> 00:00:07.000]  能夠有這些美好的音樂
[00:00:07.000 --> 00:00:12.000]  來帶領我們明白到主耶穌是我們的好目日
[00:00:12.000 --> 00:00:15.000]  更加帶領我們復活的盼望
[00:00:15.000 --> 00:00:21.000]  今天我跟大家思想這個題目
[00:00:21.000 --> 00:00:24.000]  「讓復活大能改變你」
[00:00:27.000 --> 00:00:31.000]  今早不知道大家有沒有看我們的「寧命凌涼」
[00:00:31.000 --> 00:00:32.000]  「每日凌涼」
[00:00:32.000 --> 00:00:35.000]  星期天不知道會不會這麼早就看
[00:00:35.000 --> 00:00:38.000]  平時也有很多「大兄節」沒有看
[00:00:38.000 --> 00:00:42.000]  今早剛好他的分享「每日凌涼」
[00:00:42.000 --> 00:00:46.000]  與我今天的題目非常吻合
[00:00:46.000 --> 00:00:50.000]  因為他講到當時的門徒
[00:00:50.000 --> 00:00:52.000]  他們的生命的改變
[00:00:52.000 --> 00:00:55.000]  以致他們能夠證明這位復活的主
[00:00:55.000 --> 00:00:59.000]  主耶穌基督從死裡復活
[00:00:59.000 --> 00:01:01.000]  是一個歷史的事實
[00:01:01.000 --> 00:01:04.000]  也有很多人曾經來考究過
[00:01:04.000 --> 00:01:08.000]  包括信的人和不信的人
[00:01:08.000 --> 00:01:10.000]  但結果還是發現
[00:01:10.000 --> 00:01:13.000]  沒有辦法能夠推諉這個歷史的事實
[00:01:13.000 --> 00:01:17.000]  而主耶穌復活有很多不同的證據
[00:01:17.000 --> 00:01:21.000]  有很多考古 甚至科學 歷史
[00:01:21.000 --> 00:01:24.000]  有很多邏輯的推理
[00:01:24.000 --> 00:01:26.000]  各方面的證據
[00:01:26.000 --> 00:01:29.000]  但最強烈的一個證據
[00:01:29.000 --> 00:01:34.000]  可以說是在門徒身上的改變
[00:01:34.000 --> 00:01:36.000]  那種能力
[00:01:36.000 --> 00:01:42.000]  因為我們看到當時所有十二個門徒
[00:01:42.000 --> 00:01:45.000]  尤大當然他出賣主
[00:01:45.000 --> 00:01:46.000]  但其他的門徒
[00:01:46.000 --> 00:01:49.000]  以及所有婦女跟從耶穌的信徒
[00:01:49.000 --> 00:01:53.000]  當時當主耶穌被釘十字架
[00:01:53.000 --> 00:01:54.000]  被埋葬的時候
[00:01:54.000 --> 00:01:58.000]  他們全部都是灰心失意
[00:01:58.000 --> 00:01:59.000]  充滿恐懼
[00:01:59.000 --> 00:02:03.000]  又是在絕望的一種心情裡
[00:02:03.000 --> 00:02:05.000]  這位的夫子
[00:02:05.000 --> 00:02:09.000]  他們所跟隨 相信 服侍的一位主
[00:02:09.000 --> 00:02:12.000]  他已經死了
[00:02:12.000 --> 00:02:15.000]  似乎帶給他們無限的悲傷
[00:02:15.000 --> 00:02:18.000]  無限的絕望 一種心情
[00:02:18.000 --> 00:02:22.000]  但後來當主耶穌復活向門徒顯現之後
[00:02:22.000 --> 00:02:26.000]  他證明了他是那位真正的神的兒子
[00:02:26.000 --> 00:02:28.000]  他是勝過了死亡
[00:02:28.000 --> 00:02:30.000]  勝過了魔鬼的權勢
[00:02:30.000 --> 00:02:32.000]  完成了救恩
[00:02:32.000 --> 00:02:34.000]  他本來答應說
[00:02:34.000 --> 00:02:36.000]  將要復活這個英許
[00:02:36.000 --> 00:02:40.000]  就真正的在他們眼前去應驗了
[00:02:40.000 --> 00:02:42.000]  所以當主耶穌之後
[00:02:42.000 --> 00:02:44.000]  他四十日之久
[00:02:44.000 --> 00:02:46.000]  向不同的群眾
[00:02:46.000 --> 00:02:48.000]  不同的門徒顯現
