
[00:00:00.000 --> 00:00:02.920]  我記得有一次我玩遊戲
[00:00:02.920 --> 00:00:05.640]  有個弟兄帶我們玩遊戲
[00:00:05.640 --> 00:00:07.160]  那個遊戲就是
[00:00:07.160 --> 00:00:10.080]  在一個袋子裡每人抽一張紙
[00:00:10.080 --> 00:00:15.000]  紙上面寫了物品的名稱
[00:00:15.000 --> 00:00:20.640]  大家就一起一路說出自己物件的名稱
[00:00:20.640 --> 00:00:28.160]  然後一路去找回跟自己相關的物件
[00:00:28.160 --> 00:00:33.160]  表面上看起來物件都沒有什麼關係
[00:00:33.160 --> 00:00:39.000]  不過那些參加者很快就找到自己的搭檔
[00:00:39.000 --> 00:00:45.160]  譬如海膽、箭豬、榴槤成為了一組
[00:00:45.160 --> 00:00:49.360]  為什麼?我想是因為有箭有刺吧
[00:00:49.360 --> 00:00:54.880]  另外苦瓜、膽汁、涼茶又一組
[00:00:54.880 --> 00:00:57.720]  為什麼?因為有苦味吧
[00:00:57.720 --> 00:01:03.400]  還有籃球、足球和西瓜又一組
[00:01:03.400 --> 00:01:08.080]  為什麼?我想是因為圓形吧
[00:01:08.080 --> 00:01:09.880]  剩下三個人
[00:01:09.880 --> 00:01:12.080]  三個人走在一起
[00:01:12.080 --> 00:01:13.080]  那三個是什麼呢?
[00:01:13.080 --> 00:01:17.200]  就是銀雞、雞尾包和香雞
[00:01:17.200 --> 00:01:22.600]  香雞就是香燒剩下的那條棍子
[00:01:22.600 --> 00:01:25.120]  他們就說我們是一組了
[00:01:25.120 --> 00:01:28.440]  主持就問他們為什麼你們會是一組
[00:01:28.440 --> 00:01:33.120]  他們就說我們可能有個「雞」字吧
[00:01:33.120 --> 00:01:36.040]  不過我們都不是雞
[00:01:36.040 --> 00:01:39.480]  大家就一片的笑聲
[00:01:39.480 --> 00:01:41.880]  我們看到在教會裡面
[00:01:41.880 --> 00:01:44.400]  我們每一個人都是很不同的
[00:01:44.400 --> 00:01:49.160]  我們的性格、背景、我們的學歷都是很不同
[00:01:49.160 --> 00:01:53.400]  但是神就將我們放在一起
[00:01:53.400 --> 00:02:02.000]  我們的確曾經有相交和相碰的經歷
[00:02:02.000 --> 00:02:08.600]  神做人的時候是按照祂自己的形象
[00:02:08.600 --> 00:02:12.440]  但是有很大的差別
[00:02:12.440 --> 00:02:16.640]  無論是生理還是心理
[00:02:16.640 --> 00:02:18.840]  如果我們將這些因素
[00:02:18.840 --> 00:02:22.360]  生理、心理、感情、意志
[00:02:22.360 --> 00:02:26.560]  家庭和社會背景都放在一起的話
[00:02:26.560 --> 00:02:31.920]  其實這個世界上沒有兩個人是完全相同的
[00:02:31.920 --> 00:02:35.440]  就算那些雙胞胎
[00:02:35.440 --> 00:02:38.240]  他們都是不同的
[00:02:38.240 --> 00:02:43.920]  所以人際之間發生了衝突
[00:02:43.920 --> 00:02:47.520]  是不能夠避免的現象
