
[00:00:00.000 --> 00:00:02.880]  今年我們講這個迦拉泰書
[00:00:02.880 --> 00:00:07.620]  馬丁路德改教我們都知道
[00:00:07.620 --> 00:00:09.620]  最重要的一本書是什麼
[00:00:09.620 --> 00:00:12.380]  羅馬書 對不對
[00:00:12.380 --> 00:00:14.380]  可是其實你知道嗎
[00:00:14.380 --> 00:00:16.960]  羅馬書跟迦拉泰書
[00:00:16.960 --> 00:00:22.380]  都是在講到陰性成因非常重要的書卷
[00:00:22.380 --> 00:00:27.300]  所以當我們想到
[00:00:27.720 --> 00:00:30.520]  15-17年馬丁路德改教的時候
[00:00:30.520 --> 00:00:33.100]  把這樣子的一個真理
[00:00:33.100 --> 00:00:36.100]  放在我們的中間
[00:00:36.100 --> 00:00:38.100]  一直到今天
[00:00:38.100 --> 00:00:39.840]  所謂的根正教
[00:00:39.840 --> 00:00:42.100]  也就是所謂福音派的教會
[00:00:42.100 --> 00:00:43.380]  這個Protestant
[00:00:43.380 --> 00:00:48.980]  陰性成因是我們其中一個非常重要的一件事情
[00:00:48.980 --> 00:00:53.380]  但是對我們今天很多基督徒來講
[00:00:53.380 --> 00:00:55.840]  我們講陰性成因我們聽了很多了
[00:00:55.840 --> 00:00:57.960]  我們也覺得很熟悉了 是不是
[00:00:57.960 --> 00:01:00.840]  講一次就夠了
[00:01:00.840 --> 00:01:02.460]  還要再講
[00:01:02.460 --> 00:01:05.300]  保羅在這個迦拉泰書裡面
[00:01:05.300 --> 00:01:07.220]  不斷的在講這件事情
[00:01:07.220 --> 00:01:10.540]  所以你不要嫌煩
[00:01:10.540 --> 00:01:14.500]  你會一再的聽到陰性成因這件事情
[00:01:14.500 --> 00:01:17.220]  迦拉泰書六章的聖經裡面
[00:01:17.220 --> 00:01:20.720]  保羅用不同的角度 不同的事件
[00:01:20.720 --> 00:01:23.300]  來講到這件事情的重要性
[00:01:25.300 --> 00:01:27.760]  那麼我們首先來看
[00:01:27.760 --> 00:01:31.920]  在上次的訊息
[00:01:31.920 --> 00:01:36.540]  我想我們講到這個保羅因為彼得的事件
[00:01:36.540 --> 00:01:37.380]  還記得嗎
[00:01:37.380 --> 00:01:38.960]  彼得怎麼樣子呢
[00:01:38.960 --> 00:01:43.180]  他本來在跟外邦人一起吃飯 對不對
[00:01:43.180 --> 00:01:48.100]  結果聽說從耶路撒冷來的一些的這個聖徒
[00:01:48.100 --> 00:01:49.800]  那麼他們來了
[00:01:49.800 --> 00:01:54.720]  彼得靈機一動 哇 不得了
[00:01:54.920 --> 00:01:56.760]  母會派人來查情了
[00:01:56.760 --> 00:01:59.020]  這時候怎麼辦呢
[00:01:59.020 --> 00:02:03.640]  他立刻就裝假
[00:02:03.640 --> 00:02:05.340]  裝假什麼意思
[00:02:05.340 --> 00:02:08.680]  他假裝他跟這些外邦人沒有坐在一起
[00:02:08.680 --> 00:02:11.420]  水火裝假 看到沒有
