
[00:00:00.000 --> 00:00:05.000]  因為聽主的道義才會有同心卒
[00:00:05.000 --> 00:00:06.000]  親愛的恩主 多謝祢
[00:00:06.000 --> 00:00:08.000]  讓我們能夠再次回來
[00:00:08.000 --> 00:00:12.000]  在祢的說話上認識復活的意義
[00:00:12.000 --> 00:00:14.000]  父神 求祢幫助
[00:00:14.000 --> 00:00:17.000]  因為今天 縱使我們是基督徒
[00:00:17.000 --> 00:00:21.000]  在讀很多聖經裏面的教導
[00:00:21.000 --> 00:00:23.000]  可能我們所知的
[00:00:23.000 --> 00:00:26.000]  亦仍然是很皮無片面
[00:00:26.000 --> 00:00:29.000]  但祢讓我們有很多機會去學習
[00:00:29.000 --> 00:00:32.000]  主人祢這份愛心 忍耐
[00:00:32.000 --> 00:00:34.000]  我們再次獻上強恩
[00:00:34.000 --> 00:00:38.000]  求祢再次拆聖靈在我們每一個人裏面
[00:00:38.000 --> 00:00:42.000]  幫助我們深深認識復活的意思
[00:00:42.000 --> 00:00:46.000]  我們今天再次來到主人的說話跟前
[00:00:46.000 --> 00:00:50.000]  來到認識復活的意義
[00:00:50.000 --> 00:00:52.000]  縱使我們是基督徒
[00:00:52.000 --> 00:00:55.000]  但是很多時候我們可能對
[00:00:55.000 --> 00:00:58.000]  聖經裏面所教訓的很多的東西
[00:00:58.000 --> 00:01:01.000]  東西也是要片面
[00:01:01.000 --> 00:01:03.000]  只有一部分
[00:01:03.000 --> 00:01:06.000]  並不準確 正確
[00:01:06.000 --> 00:01:08.000]  但是恩主我們在這裏
[00:01:08.000 --> 00:01:12.000]  給我們那麼大的忍耐 內心
[00:01:12.000 --> 00:01:15.000]  使我們能夠有多麼的機會
[00:01:15.000 --> 00:01:17.000]  一步一步來學習
[00:01:17.000 --> 00:01:23.000]  以這一份愛 關懷 栽培
[00:01:23.000 --> 00:01:25.000]  使我們深深感受到
[00:01:25.000 --> 00:01:28.000]  祢對我們的大愛
[00:01:28.000 --> 00:01:30.000]  讓我們再次在祢跟前
[00:01:30.000 --> 00:01:33.000]  懇求聖靈幫助我們
[00:01:33.000 --> 00:01:38.000]  使我們今天在復活的主日的時間
[00:01:38.000 --> 00:01:41.000]  我們試念復活的神學的時候
[00:01:41.000 --> 00:01:44.000]  讓我們有更正確的了解
[00:01:44.000 --> 00:01:47.000]  我們禱告 恩主耶穌的名稱
[00:01:47.000 --> 00:01:49.000]  Amen
[00:01:52.000 --> 00:01:57.000]  我還是做一個基督徒的初階的時間
[00:01:57.000 --> 00:01:59.000]  但是我作為一個基督徒
[00:01:59.000 --> 00:02:01.000]  從最開始的時候
[00:02:01.000 --> 00:02:04.000]  我就很喜歡去上主學
[00:02:04.000 --> 00:02:07.000]  我很喜歡參加主學
[00:02:07.000 --> 00:02:09.000]  我把每一季的教會主學
[00:02:09.000 --> 00:02:12.000]  我把我每一季的主學
