
[00:00:00.000 --> 00:00:03.640]  新年當然是有說新的開始
[00:00:03.640 --> 00:00:06.720]  你們可能會說
[00:00:06.720 --> 00:00:08.680]  每天都是差不多的
[00:00:08.680 --> 00:00:13.800]  新年其實都是你們日曆定出來
[00:00:13.800 --> 00:00:16.200]  我可以說明天才是新年
[00:00:16.200 --> 00:00:18.520]  你知道我們中國人不止一個新年
[00:00:18.520 --> 00:00:19.640]  我們很蒙福
[00:00:19.640 --> 00:00:22.280]  我們過幾個禮拜又有一個農曆的新年
[00:00:22.280 --> 00:00:24.760]  我們知道會有很多的慶祝
[00:00:24.760 --> 00:00:26.600]  特別有很多香港人今年過來
[00:00:26.600 --> 00:00:28.520]  我們都會有很多慶祝在Swingdon
[00:00:28.520 --> 00:00:30.320]  我們其實不是的
[00:00:30.320 --> 00:00:31.840]  有意思的
[00:00:31.840 --> 00:00:34.920]  當我們看回創世的一章十四節的時候
[00:00:34.920 --> 00:00:38.360]  大家記不記得神做世界的時候
[00:00:38.360 --> 00:00:40.480]  第四天做了些什麼?
[00:00:40.480 --> 00:00:42.480]  做了太陽和月亮
[00:00:42.480 --> 00:00:43.600]  那太陽月亮做什麼?
[00:00:43.600 --> 00:00:45.400]  祂不是說用來照明
[00:00:45.400 --> 00:00:46.720]  不是給我們溫暖
[00:00:46.720 --> 00:00:48.280]  令樹木生長
[00:00:48.280 --> 00:00:49.840]  聖經不是這樣說
[00:00:49.840 --> 00:00:54.200]  祂說「神說天上要有光體來分晝夜
[00:00:54.200 --> 00:00:57.760]  讓它們作記號定季節日子年份」
[00:00:57.760 --> 00:01:00.520]  其實最重要就是因為有太陽有月亮
[00:01:00.520 --> 00:01:03.000]  我們定了有24小時有一天
[00:01:03.000 --> 00:01:04.880]  一年就365天
[00:01:04.880 --> 00:01:08.400]  所以我們這個新年1月1日是有意義的
[00:01:08.400 --> 00:01:11.240]  是神定下的日子作一個記號
[00:01:11.240 --> 00:01:14.200]  有分季節、有分日子、有分年份
[00:01:14.200 --> 00:01:18.160]  所以不是說隨便一天就算了
[00:01:18.160 --> 00:01:20.040]  當然每一個人的新年
[00:01:20.040 --> 00:01:22.920]  我們都會有很多新的計劃
[00:01:22.920 --> 00:01:27.400]  正所謂一元福祉萬象更生
[00:01:27.400 --> 00:01:28.760]  我們中國人都是這麼說
[00:01:28.760 --> 00:01:29.840]  因為什麼意思呢?
[00:01:29.840 --> 00:01:31.480]  最後一年的開始
[00:01:31.480 --> 00:01:33.200]  特別是我們春天來了
[00:01:33.200 --> 00:01:35.440]  樹木生長、發芽
[00:01:35.440 --> 00:01:38.160]  人都是精神氣爽一點
[00:01:38.160 --> 00:01:39.880]  之前很冷的
