
[00:00:00.000 --> 00:00:02.000]  讓我們在聆聽主的說話之前
[00:00:02.000 --> 00:00:05.000]  我們再次一齊先向心體投套告揚
[00:00:05.000 --> 00:00:06.000]  望主愛麗神
[00:00:06.000 --> 00:00:07.000]  夫人多謝祢
[00:00:07.000 --> 00:00:09.000]  讓我們能夠再次回來
[00:00:09.000 --> 00:00:11.000]  再天賦祢的根錢
[00:00:11.000 --> 00:00:13.000]  去聆聽
[00:00:13.000 --> 00:00:15.000]  學習上主祢的啟示
[00:00:15.000 --> 00:00:17.000]  藉著祢的僕人所記下的
[00:00:17.000 --> 00:00:19.000]  每一件事件
[00:00:19.000 --> 00:00:21.000]  讓我們都能夠去作一個
[00:00:21.000 --> 00:00:24.000]  在屬靈上一個更深的反思
[00:00:24.000 --> 00:00:27.000]  要讓我們能夠更體貼上主祢的心腸
[00:00:27.000 --> 00:00:29.000]  求祢的幫助帶領
[00:00:29.000 --> 00:00:33.000]  讓線上線下的每一個弟兄姊妹
[00:00:33.000 --> 00:00:36.000]  都能夠在追求主道的生命當中
[00:00:36.000 --> 00:00:38.000]  能夠得到祢的慰養
[00:00:38.000 --> 00:00:40.000]  我們再次獻上感恩
[00:00:40.000 --> 00:00:43.000]  禱告奉靠主耶穌基督得勝的名字而求
[00:00:43.000 --> 00:00:44.000]  阿們
[00:00:44.000 --> 00:00:47.000]  好在今天說
[00:00:47.000 --> 00:00:49.000]  《但以理書》第十一章
[00:00:49.000 --> 00:00:51.000]  三十六節至四十五節之前
[00:00:51.000 --> 00:00:53.000]  我有少少的回應
[00:00:53.000 --> 00:00:56.000]  是回應到最近有一些
[00:00:56.000 --> 00:01:00.000]  在網上的一些弟兄姊妹的回覆
[00:01:00.000 --> 00:01:02.000]  有一位弟兄
[00:01:02.000 --> 00:01:03.000]  如果大家都知道
[00:01:03.000 --> 00:01:06.000]  他一直都有將很多不同傳道人的講道
[00:01:06.000 --> 00:01:11.000]  在他自己的YouTube的頻道上都有轉載
[00:01:11.000 --> 00:01:13.000]  他就跟我說了一件事
[00:01:13.000 --> 00:01:14.000]  他說
