
[00:00:00.000 --> 00:00:02.000]  今天是母親節的主日
[00:00:02.000 --> 00:00:06.000]  講過的題目就是把愛說出來
[00:00:06.000 --> 00:00:09.000]  為什麼會有這個想法呢?
[00:00:09.000 --> 00:00:12.000]  因為母親節當然是一個很開心的節日
[00:00:12.000 --> 00:00:14.000]  亦都是相信很多子女都願意出來
[00:00:14.000 --> 00:00:17.000]  去跟媽媽慶祝的
[00:00:17.000 --> 00:00:19.000]  但是真的不同時代的母親節
[00:00:19.000 --> 00:00:21.000]  都是已經比較複雜的
[00:00:21.000 --> 00:00:24.000]  上一代開始有單親家庭
[00:00:24.000 --> 00:00:27.000]  甚至是有些單親的家庭
[00:00:27.000 --> 00:00:29.000]  其實是沒有媽媽的
[00:00:29.000 --> 00:00:31.000]  所以小朋友在搞活動的時候
[00:00:31.000 --> 00:00:33.000]  都會覺得有點困難
[00:00:33.000 --> 00:00:36.000]  現在在母親節的時候
[00:00:36.000 --> 00:00:38.000]  亦都有很多不同的媽媽
[00:00:38.000 --> 00:00:40.000]  有不同的際遇,有不同的心情
[00:00:40.000 --> 00:00:43.000]  有很多子女可能移民了
[00:00:43.000 --> 00:00:44.000]  孫子又不在了
[00:00:44.000 --> 00:00:47.000]  所以都是一個比較複雜的節日
[00:00:47.000 --> 00:00:49.000]  但是無論如何都說
[00:00:49.000 --> 00:00:50.000]  跟隔壁的人說,好嗎?
[00:00:50.000 --> 00:00:52.000]  祝你母親節快樂,OK?
[00:00:52.000 --> 00:00:54.000]  我們教會開始年紀大了
[00:00:54.000 --> 00:00:56.000]  因為已經30年了
[00:00:56.000 --> 00:00:58.000]  所以不同年齡層都在
[00:00:58.000 --> 00:01:01.000]  所以一說母親節就已經覺得很複雜
[00:01:01.000 --> 00:01:03.000]  因為不同的媽媽是有不同的年代的
[00:01:03.000 --> 00:01:07.000]  上一代通常媽媽給人的感覺是什麼?
[00:01:07.000 --> 00:01:10.000]  我們通常怎麼稱呼媽媽?
[00:01:10.000 --> 00:01:12.000]  「師奶」,OK?
[00:01:12.000 --> 00:01:14.000]  上一代是叫「師奶」的
[00:01:14.000 --> 00:01:16.000]  大部分是沒有工作,只照顧兒子的
[00:01:16.000 --> 00:01:19.000]  於是大家對這個稱呼就很不高興
[00:01:19.000 --> 00:01:21.000]  其實我們沒有什麼反應
[00:01:21.000 --> 00:01:22.000]  做「師奶」的感覺
[00:01:22.000 --> 00:01:23.000]  下一代是困難的
[00:01:23.000 --> 00:01:24.000]  我們發覺就是因為
[00:01:24.000 --> 00:01:27.000]  他們看了一套叫做「花師奶」的卡片
[00:01:27.000 --> 00:01:31.000]  於是他們就很不喜歡「師奶」
[00:01:31.000 --> 00:01:34.000]  覺得媽媽好像蠢蠢的
[00:01:34.000 --> 00:01:37.000]  又不夠漂亮,這樣的狀況
[00:01:37.000 --> 00:01:39.000]  因此你會發現
[00:01:39.000 --> 00:01:40.000]  這一代長大
[00:01:40.000 --> 00:01:41.000]  看這個電視
[00:01:41.000 --> 00:01:44.000]  「花師奶」長大的少女們
