
[00:00:00.000 --> 00:00:01.320]  各位同志早晨
[00:00:01.320 --> 00:00:06.360]  在這個疫症裏面 祝願每一個人都平安
[00:00:06.360 --> 00:00:12.680]  今日我們一起讀《三母二記》上的一個小片段
[00:00:12.680 --> 00:00:19.040]  《三母二記》原文不分上下兩卷
[00:00:19.040 --> 00:00:24.800]  上節是《約書阿記》、《時思記》
[00:00:24.800 --> 00:00:28.440]  下節是《列王記》
[00:00:30.040 --> 00:00:35.280]  這四卷書可以說是看成一個整體
[00:00:35.280 --> 00:00:40.440]  就是以信仰的眼睛 細看歷史的興亡
[00:00:40.440 --> 00:00:48.080]  《時思記》講的是一個武王館混亂的時期
[00:00:48.080 --> 00:00:50.920]  今日要講的《三母二》
[00:00:50.920 --> 00:00:54.520]  它要講的是君王制度的設立
[00:00:55.440 --> 00:01:01.360]  接著它的《列王記》講的就是君王制度的失敗
[00:01:01.360 --> 00:01:07.440]  它的最後的終結就是由大國被巴比倫所滅
[00:01:07.440 --> 00:01:11.000]  神的子民就被擄巴比倫
[00:01:11.000 --> 00:01:18.000]  在由大國被巴比倫所滅之後
[00:01:19.720 --> 00:01:26.760]  由大的神學家他們坐在巴比倫的河邊
[00:01:26.760 --> 00:01:30.840]  做一些神學的沉思
[00:01:30.840 --> 00:01:37.400]  這些由大的神學家在被擄的地方
[00:01:37.400 --> 00:01:39.720]  他們想起古時
[00:01:39.720 --> 00:01:47.440]  約書阿帶領他們那些一無所有的先祖進入了迦南地
[00:01:48.480 --> 00:01:53.600]  然後他們就散亂地在這個地方生活了很久
[00:01:53.600 --> 00:01:58.320]  再然後他們設立了君王的制度
[00:01:58.320 --> 00:02:02.160]  開始的時候的確是一段輝煌的歲月
[00:02:02.160 --> 00:02:07.160]  再然後經過四百多年的盛衰
[00:02:07.160 --> 00:02:11.480]  最後國破家亡 長恨綿綿
[00:02:11.480 --> 00:02:16.400]  莊嚴的聖殿一片凋零
[00:02:17.440 --> 00:02:18.880]  人去成空
[00:02:18.880 --> 00:02:23.200]  只留下一些野狗在白骨之間徘徊
[00:02:23.200 --> 00:02:28.160]  那些由大的神學家在孤寂裏面
[00:02:28.160 --> 00:02:31.240]  在虛無之中他們拿起一枝筆
[00:02:31.240 --> 00:02:36.200]  他們記下歷史沉重地泥出來的深坑
[00:02:36.200 --> 00:02:39.360]  在這些令人難忘的痕跡裏面
[00:02:39.360 --> 00:02:45.240]  他們要挖掘出盛衰興亡背後的天理
[00:02:46.160 --> 00:02:49.680]  好讓他們的民族在這個空洞的
[00:02:49.680 --> 00:02:53.840]  好像活在真空裏面無法呼吸的日子
[00:02:53.840 --> 00:02:57.840]  在這個生活的狀態裏面
[00:02:57.840 --> 00:03:01.600]  好讓他們能夠明白自己走到這個絕地
[00:03:01.600 --> 00:03:03.480]  自有其緣由
[00:03:03.480 --> 00:03:05.840]  亦都因為有跡可尋
[00:03:05.840 --> 00:03:10.040]  才能夠回頭逆行 重返故鄉
[00:03:10.040 --> 00:03:15.360]  我們中國西漢的司馬遷
[00:03:16.240 --> 00:03:17.960]  他寫信給一位朋友
[00:03:17.960 --> 00:03:19.960]  那位朋友的名字叫做任安
[00:03:19.960 --> 00:03:24.960]  他在那封信裏面說明他自己寫史記的用意
[00:03:24.960 --> 00:03:28.280]  他說是舊天人之際
[00:03:28.280 --> 00:03:30.640]  通古今之變
[00:03:30.640 --> 00:03:32.920]  成一家之言
[00:03:32.920 --> 00:03:39.000]  歷史的發展總是有一些測不透的因素
[00:03:39.000 --> 00:03:40.680]  這些是天意
[00:03:40.680 --> 00:03:43.760]  而事情的成敗
[00:03:43.960 --> 00:03:46.440]  人的抉擇都是很重要的
[00:03:46.440 --> 00:03:48.160]  這個是人意
[00:03:48.160 --> 00:03:50.160]  歷史的興亡
[00:03:50.160 --> 00:03:53.360]  就是天意與人意的際會
[00:03:53.360 --> 00:03:55.840]  故此為天人之際
[00:03:55.840 --> 00:03:58.280]  而歷史家的史識
[00:03:58.280 --> 00:04:02.160]  就是要透視這個天人之際的軌跡
[00:04:02.160 --> 00:04:04.360]  命乎其理
[00:04:04.360 --> 00:04:08.480]  就能夠明白古今之變的通則
[00:04:08.480 --> 00:04:11.880]  故之為通古今之變
[00:04:12.720 --> 00:04:15.600]  而若果這個識見能夠幫助
[00:04:15.600 --> 00:04:19.160]  活在歷史洪流裏面的人有所領悟
[00:04:19.160 --> 00:04:23.200]  以天地的正氣作美善的抉擇
[00:04:23.200 --> 00:04:25.520]  引歷史回正途
[00:04:25.520 --> 00:04:29.360]  那麼這個歷史家就能夠成一家之言
[00:04:29.360 --> 00:04:32.160]  在巴比倫的河邊
[00:04:32.160 --> 00:04:34.480]  沒有了身份
[00:04:34.480 --> 00:04:38.680]  沒有了前景的那些猶大的神學家
[00:04:38.680 --> 00:04:42.240]  他們就是要處理這幾百年來
[00:04:42.880 --> 00:04:44.920]  他們民族的歷史
[00:04:44.920 --> 00:04:47.200]  他們其實同樣是
[00:04:47.200 --> 00:04:48.480]  舊天人之際
[00:04:48.480 --> 00:04:50.520]  通古今之變
[00:04:50.520 --> 00:04:52.400]  成一家之言
