
[00:00:00.000 --> 00:00:03.460]  好,我們在更加進入思想的時候
[00:00:03.460 --> 00:00:05.820]  我們一同再次有個祈禱先
[00:00:05.820 --> 00:00:06.580]  我們一齊祈禱
[00:00:06.580 --> 00:00:09.580]  親愛的天父,感謝你今天我們能夠在這個地方
[00:00:09.580 --> 00:00:12.940]  我們一同有個聚會,一同敬拜你
[00:00:12.940 --> 00:00:14.360]  我們向你獻上感恩
[00:00:14.360 --> 00:00:17.340]  我們感恩因為主你一直的看顧、保守我們
[00:00:17.340 --> 00:00:19.320]  而在今天,我們也在這個時刻
[00:00:19.320 --> 00:00:23.020]  我們也很渴望去一齊思想你的懷疑
[00:00:23.020 --> 00:00:25.820]  就求主能夠幫助我們去明白、去理解
[00:00:25.820 --> 00:00:28.400]  也讓我們能夠應用在我們的生命當中
[00:00:28.400 --> 00:00:31.820]  以致我們的生命成為一個充滿感恩的生命
[00:00:31.820 --> 00:00:35.020]  願主能夠帶領,奉主耶穌成名祈求,Amen
[00:00:35.020 --> 00:00:38.680]  好,我們今天思想經文同樣是一直以來
[00:00:38.680 --> 00:00:42.980]  我們思想的一段書卷就是《生命記》的一段經文
[00:00:42.980 --> 00:00:46.060]  《生命記》的背景我想不用再多說
[00:00:46.060 --> 00:00:48.080]  因為我們一直都是在說《生命記》
[00:00:48.080 --> 00:00:50.440]  不過我想再一次去說
[00:00:50.440 --> 00:00:54.260]  《生命記》對我來說就是一個摩西最後的提醒
[00:00:54.260 --> 00:00:57.060]  或者是一個老人家的一個提醒
[00:00:57.060 --> 00:00:59.060]  就是不斷地重複
[00:00:59.060 --> 00:01:01.060]  如果像我奶奶那樣
[00:01:01.060 --> 00:01:03.060]  我奶奶很喜歡每一次見到我
[00:01:03.060 --> 00:01:05.060]  就不斷地提醒我不同的事情
[00:01:05.060 --> 00:01:07.060]  其實她是重複重複地提醒
[00:01:07.060 --> 00:01:09.060]  譬如說我還沒結婚的就問我何時結婚
[00:01:09.060 --> 00:01:11.060]  現在結了婚了
[00:01:11.060 --> 00:01:14.420]  如果結了婚的就會問我何時生小孩
[00:01:14.420 --> 00:01:18.000]  生完小孩還問我何時逼你弟弟結婚
[00:01:18.000 --> 00:01:22.420]  其實很多很多很多東西去說的
[00:01:22.420 --> 00:01:24.420]  但是她會不斷地重複
[00:01:24.420 --> 00:01:26.420]  每一次打電話都是說同樣的東西
[00:01:26.420 --> 00:01:29.400]  對我來說《生命記》同樣的情況發生
[00:01:29.400 --> 00:01:32.760]  為什麼呢?因為不斷地提醒的同一樣東西就是
[00:01:32.760 --> 00:01:34.760]  我們要去遵守上帝的誡命
[00:01:34.760 --> 00:01:37.280]  不斷地提醒的是我們要去敬畏上帝
