
[00:00:00.000 --> 00:00:02.200]  福音本是神的大能
[00:00:02.200 --> 00:00:04.160]  我們在聽神的話語之前
[00:00:04.160 --> 00:00:05.660]  再一次低頭禱告
[00:00:05.660 --> 00:00:14.600]  天父我們再一次來到祢面前
[00:00:14.600 --> 00:00:17.260]  求祢安靜我們的心
[00:00:17.260 --> 00:00:21.680]  世界有許多紛亂的事情
[00:00:21.680 --> 00:00:25.920]  有許多對基督教反對的聲音
[00:00:27.200 --> 00:00:30.200]  大主求祢今天透過這個訊息
[00:00:30.200 --> 00:00:34.080]  讓我們的信心繼續去堅固
[00:00:34.080 --> 00:00:37.680]  讓我們去相信福音是祢自己的大能
[00:00:37.680 --> 00:00:39.900]  祢要救一切相信的人
[00:00:39.900 --> 00:00:42.940]  求祢的聖靈引導我們的心
[00:00:42.940 --> 00:00:46.060]  進入祢的話語去明白
[00:00:46.060 --> 00:00:48.200]  求祢去提醒我們
[00:00:48.200 --> 00:00:49.740]  指教我們
[00:00:49.740 --> 00:00:51.220]  督責我們
[00:00:51.220 --> 00:00:53.020]  好叫我們的生命
[00:00:53.020 --> 00:00:55.100]  聽完祢的話語之後
[00:00:55.100 --> 00:00:57.960]  能夠被更新、被改變
[00:00:57.960 --> 00:01:01.080]  也在我們的生活、行為上
[00:01:01.080 --> 00:01:02.560]  有改變
[00:01:02.560 --> 00:01:06.100]  主我們將以下的時間交託給祢
[00:01:06.100 --> 00:01:09.000]  求祢帶著一個溫柔謙卑的心
[00:01:09.000 --> 00:01:11.240]  來聆聽祢的說話
[00:01:11.240 --> 00:01:12.320]  多謝祢
[00:01:12.320 --> 00:01:14.440]  看我們禱告奉耶穌的名
[00:01:14.440 --> 00:01:15.440]  阿門
[00:01:15.440 --> 00:01:19.000]  在座有沒有人叫Mike?
[00:01:19.000 --> 00:01:20.240]  沒有吧?
[00:01:20.240 --> 00:01:22.500]  如有雷動實屬巧合
[00:01:22.500 --> 00:01:27.500]  Mike是一個年青有為30歲出頭的年青人
[00:01:27.500 --> 00:01:32.100]  他是一家賣運動用品的公司的總裁
[00:01:32.100 --> 00:01:33.960]  在這天下午
[00:01:33.960 --> 00:01:36.900]  他一個人呆在自己的辦公室
[00:01:36.900 --> 00:01:39.200]  反思一個小時前
[00:01:39.200 --> 00:01:43.300]  在會議室進行的高層會議中的情況
[00:01:43.300 --> 00:01:46.340]  Mike是一個年青力壯
[00:01:46.340 --> 00:01:49.060]  有創意、有幹勁、有理想
[00:01:49.060 --> 00:01:51.280]  也是一個毀身的基督徒
[00:01:51.280 --> 00:01:53.260]  他一直致力毀身
[00:01:53.260 --> 00:01:58.040]  在職場上要實踐他的基督教價值觀
[00:01:58.040 --> 00:02:01.880]  他經常覺得他自己所擁有的基督教價值觀
[00:02:01.880 --> 00:02:05.340]  對於他在職場上是一個資產
[00:02:05.340 --> 00:02:10.060]  但今天早上在會議室裡發生的事
[00:02:10.060 --> 00:02:12.220]  似乎打破了他的想法
[00:02:12.220 --> 00:02:15.400]  本來是一個公司的例會
[00:02:15.400 --> 00:02:18.580]  但竟然成為一個激烈的爭論
[00:02:18.860 --> 00:02:24.100]  事源是因為員工對他有很多的埋怨和憤怒
[00:02:24.100 --> 00:02:27.460]  針對他的基督教價值觀
[00:02:27.460 --> 00:02:29.060]  他甚至被要求
[00:02:29.060 --> 00:02:31.660]  不要把他的信仰價值觀
[00:02:31.660 --> 00:02:34.900]  強加在公司的政策上
[00:02:34.900 --> 00:02:37.020]  發生了什麼事呢?
[00:02:37.020 --> 00:02:41.440]  首先是公司的人事部主管宣佈
[00:02:41.440 --> 00:02:45.340]  要修改公司的醫療福利
[00:02:45.540 --> 00:02:49.140]  他說要包括所有的墮胎手術
[00:02:49.140 --> 00:02:54.420]  要Mike在公司內部的電郵裡做宣傳
[00:02:54.420 --> 00:02:58.820]  然後市場部的主管又宣佈
[00:02:58.820 --> 00:03:04.220]  我們要推出一系列的男性用品的廣告
