
[00:00:00.000 --> 00:00:08.320]  我們的心祈禱
[00:00:08.320 --> 00:00:11.960]  滿有恩典憐憫的上帝
[00:00:11.960 --> 00:00:14.520]  我們向祢呼求
[00:00:14.520 --> 00:00:18.200]  呼求祢看顧這個大地
[00:00:18.200 --> 00:00:21.400]  這個大地因著人的罪
[00:00:21.400 --> 00:00:23.320]  人的驕傲
[00:00:23.320 --> 00:00:26.200]  人沒有做一個忠心的管家
[00:00:26.200 --> 00:00:29.720]  以致災難臨到
[00:00:29.720 --> 00:00:32.600]  天父祢知道我們的困苦
[00:00:32.600 --> 00:00:35.240]  祢知道我們的無助
[00:00:35.240 --> 00:00:37.960]  但讓我們今天更加知道
[00:00:37.960 --> 00:00:40.080]  祢與我們同在
[00:00:40.080 --> 00:00:42.640]  祢的眼目從不離開
[00:00:42.640 --> 00:00:45.200]  祢所創造的世界
[00:00:45.200 --> 00:00:48.440]  和祢所愛所拯救的世人
[00:00:48.440 --> 00:00:51.840]  多謝祢願今日這個初一的崇拜
[00:00:51.840 --> 00:00:54.240]  我們不單止去朝見祢
[00:00:54.240 --> 00:00:55.560]  敬拜祢
[00:00:55.560 --> 00:00:58.240]  更加領受祢給我們的恩賢
[00:00:58.240 --> 00:01:00.360]  好讓祢的英許
[00:01:00.360 --> 00:01:01.200]  祢的信實
[00:01:01.200 --> 00:01:02.440]  祢的慈愛
[00:01:02.440 --> 00:01:06.120]  充滿每一個願意尋求祢的人
[00:01:06.120 --> 00:01:07.960]  願聖靈臨在
[00:01:07.960 --> 00:01:10.080]  奉耶穌基督的聖名
[00:01:10.080 --> 00:01:12.080]  阿們
[00:01:12.080 --> 00:01:16.520]  迎春接福
[00:01:16.520 --> 00:01:20.120]  所謂一年之計在於春
[00:01:20.120 --> 00:01:25.600]  反映春在四季裡面最重要的
[00:01:25.600 --> 00:01:28.800]  只要在春天
[00:01:28.800 --> 00:01:33.400]  我們耕種勤力才有豐收
[00:01:33.400 --> 00:01:36.640]  春天代表萬象根生
[00:01:36.640 --> 00:01:39.600]  展開新的開始
[00:01:39.600 --> 00:01:42.280]  給人新的盼望
[00:01:42.280 --> 00:01:44.920]  將冬天的蕭條
[00:01:44.920 --> 00:01:47.800]  沉寂一掃而空
[00:01:47.800 --> 00:01:50.960]  然後大家就帶著歡慶的心
[00:01:50.960 --> 00:01:55.240]  迎接春回大地
[00:01:55.240 --> 00:01:59.960]  雖然疫情是挺嚴峻的
[00:01:59.960 --> 00:02:03.920]  看到絕大部分人戴著口罩
[00:02:03.920 --> 00:02:07.360]  讓我想在2003年
[00:02:07.360 --> 00:02:10.160]  好像差不多4月還是5月
[00:02:10.160 --> 00:02:12.160]  我在這裡主持一個婚禮
[00:02:12.160 --> 00:02:16.720]  整個婚禮包括新郎哥都戴著口罩
[00:02:16.720 --> 00:02:20.840]  好像只有一次這麼多
[00:02:20.840 --> 00:02:24.480]  但無阻我們在大年初一的裡面
[00:02:24.480 --> 00:02:27.560]  跟我們這位至高至大
[00:02:27.560 --> 00:02:31.120]  至勁的上帝拜年
[00:02:31.120 --> 00:02:35.040]  這樣就成了恩典
[00:02:35.040 --> 00:02:36.040]  有一首詩
[00:02:36.040 --> 00:02:37.640]  我不是文人
[00:02:37.640 --> 00:02:40.080]  不過我也想讀一首詩給大家
[00:02:40.080 --> 00:02:43.680]  或者看完安慰也行
[00:02:43.680 --> 00:02:46.160]  炮竹聲中一歲隨
[00:02:46.160 --> 00:02:48.760]  春風送暖入桃酥
[00:02:48.760 --> 00:02:51.120]  千門萬戶同同日
[00:02:51.120 --> 00:02:54.200]  總把新桃換舊褲
[00:02:54.200 --> 00:02:57.800]  我相信凱傑弟兄一定很熟的
[00:02:57.800 --> 00:03:01.000]  或者惠芳也很熟的
[00:03:01.000 --> 00:03:04.680]  黃安石這個宰相
[00:03:04.680 --> 00:03:09.240]  政治家也是一個詩人
[00:03:09.240 --> 00:03:13.400]  他對自己的國家有很深的抱負
