
[00:00:00.000 --> 00:00:02.000]  今日是福音主日
[00:00:02.000 --> 00:00:06.200]  雖然耶穌基督已經降生二千多年
[00:00:06.200 --> 00:00:08.600]  但這個福音歷久常新
[00:00:08.600 --> 00:00:12.200]  希望今天這個日子成為人生的轉捩點
[00:00:12.200 --> 00:00:14.200]  去經歷耶穌基督的福音
[00:00:14.200 --> 00:00:19.000]  剛才主席所讀的經文是《約翰福音》
[00:00:19.000 --> 00:00:21.800]  其實主要今天是一齊思想
[00:00:21.800 --> 00:00:23.400]  《約翰福音》四章
[00:00:23.400 --> 00:00:28.200]  耶穌怎樣和一個井旁婦人去談道去聊天
[00:00:28.200 --> 00:00:32.800]  帶給我們今天這個亦不會過時的福音
[00:00:32.800 --> 00:00:35.000]  首先分享一下
[00:00:35.000 --> 00:00:39.000]  生活其實我們都會遇到不同的經歷
[00:00:39.000 --> 00:00:44.400]  其中一樣東西是不會不經歷過的
[00:00:44.400 --> 00:00:48.000]  很多人可能最近很多時都會經歷到
[00:00:48.000 --> 00:00:54.200]  就是減肥失敗
[00:00:54.200 --> 00:00:56.400]  這個月已經決心減肥了
[00:00:56.400 --> 00:00:58.400]  然後又吃很多東西
[00:00:58.400 --> 00:01:00.400]  朋友請,忍不住又吃
[00:01:00.400 --> 00:01:03.400]  失敗減肥是事小
[00:01:03.400 --> 00:01:06.200]  但其實原來人生在生活裏面
[00:01:06.200 --> 00:01:10.000]  都會遇到大大小小不同失敗的經歷
[00:01:10.000 --> 00:01:12.400]  譬如投資
[00:01:12.400 --> 00:01:14.000]  投資如果失敗
[00:01:14.000 --> 00:01:18.000]  你會覺得心可能拿著拿著有損失
[00:01:18.000 --> 00:01:21.400]  如果你投資的金額是大的話
[00:01:21.400 --> 00:01:24.400]  或者可能你是教導子女方面的失敗
[00:01:24.400 --> 00:01:27.000]  你用盡心機去教
[00:01:27.000 --> 00:01:29.000]  看很多書,問很多人
[00:01:29.000 --> 00:01:31.800]  怎知子女都是不聽你的話
[00:01:31.800 --> 00:01:35.800]  都不跟你的心意
[00:01:35.800 --> 00:01:38.400]  你可能有些失敗,有些遺憾
[00:01:38.400 --> 00:01:40.200]  如果說到婚姻更加是
[00:01:40.200 --> 00:01:41.400]  如果婚姻失敗
[00:01:41.400 --> 00:01:44.800]  可能對一個人的打擊很大
[00:01:44.800 --> 00:01:46.800]  亦都是很心痛
[00:01:46.800 --> 00:01:50.000]  如果做生意,生意失敗
[00:01:50.000 --> 00:01:54.200]  一來可能是說那種心血精神
[00:01:54.200 --> 00:01:58.200]  好像白費心機一樣
[00:01:58.200 --> 00:02:01.000]  如果年輕一點的朋友可能都經歷過
[00:02:01.000 --> 00:02:03.800]  向心儀的對象告白
[00:02:03.800 --> 00:02:05.400]  不過失敗了
[00:02:05.400 --> 00:02:07.800]  可能心涼了一會
[00:02:07.800 --> 00:02:11.400]  然後可能很失望,很無奈
[00:02:11.400 --> 00:02:14.400]  原來失敗在不同的人的心裏面
[00:02:14.400 --> 00:02:16.400]  都有不同的反應
[00:02:16.400 --> 00:02:19.200]  有些人既然一次失敗不要緊
[00:02:19.200 --> 00:02:21.000]  下次再努力
[00:02:21.000 --> 00:02:25.200]  但是有些人可能遇過一次失敗
[00:02:25.200 --> 00:02:28.200]  以後就會逃避
[00:02:28.200 --> 00:02:31.000]  不會面對,不會嘗試
[00:02:31.000 --> 00:02:34.800]  甚至心裏面留下陰影
[00:02:34.800 --> 00:02:37.600]  人其實很軟弱
[00:02:37.600 --> 00:02:40.200]  基督徒其實都是罪人一個
[00:02:40.200 --> 00:02:41.200]  都會很軟弱
