
[00:00:00.000 --> 00:00:03.000]  頂師父好,大家早安,我是黃牧師
[00:00:03.000 --> 00:00:05.000]  我們再次回來在神的話的面前
[00:00:05.000 --> 00:00:07.000]  一齊同心地學習
[00:00:07.000 --> 00:00:10.000]  又是聽神的導議,又是一齊同心地禱告
[00:00:10.000 --> 00:00:12.000]  又是一齊低頭禱告
[00:00:12.000 --> 00:00:14.000]  我們親愛的天父多謝您
[00:00:14.000 --> 00:00:17.000]  讓我們能夠再一次來到您的根前
[00:00:17.000 --> 00:00:19.000]  去學習主祢的說話
[00:00:19.000 --> 00:00:22.000]  讓祢的啟示使我們能夠明白上帝祢的作為
[00:00:22.000 --> 00:00:26.000]  也能夠讓我們更加明白上帝祢是怎樣的一位主
[00:00:26.000 --> 00:00:28.000]  求祢幫助我們
[00:00:28.000 --> 00:00:30.000]  我們懇求聖靈與我們同在
[00:00:30.000 --> 00:00:34.000]  讓我們能夠不單止在學習主祢的道理上
[00:00:34.000 --> 00:00:37.000]  在知識上能夠增長
[00:00:37.000 --> 00:00:40.000]  而同樣在屬靈生命上更加成熟
[00:00:40.000 --> 00:00:42.000]  求祢與我們同在
[00:00:42.000 --> 00:00:44.000]  我們同心地禱告感恩
[00:00:44.000 --> 00:00:47.000]  奉靠主耶穌基督得勝的名字而求
[00:00:47.000 --> 00:00:48.000]  Amen
[00:00:48.000 --> 00:00:53.000]  好,今天我們會繼續去看路德記的第二章
[00:00:53.000 --> 00:00:55.000]  第八至第九節
[00:00:55.000 --> 00:00:58.000]  弟兄姊妹,如果你也有聖經的話
[00:00:58.000 --> 00:01:00.000]  跟我一起去打開這段聖經
[00:01:00.000 --> 00:01:03.000]  路德記的第二章,第八至第九節
[00:01:03.000 --> 00:01:06.000]  我會為大家先讀出這段經文
[00:01:06.000 --> 00:01:10.000]  我們有聖經的,需要打開然後聽就可以了
[00:01:10.000 --> 00:01:15.000]  路德記的第二章,第八至第九節
[00:01:15.000 --> 00:01:18.000]  波瓦斯對路德說
[00:01:18.000 --> 00:01:20.000]  女兒,聽我說
[00:01:20.000 --> 00:01:24.000]  不要往別人田裡拾取墨水
[00:01:24.000 --> 00:01:26.000]  也不要離開這裡
[00:01:26.000 --> 00:01:30.000]  要尚與我侍女們在一處
[00:01:30.000 --> 00:01:33.000]  我的僕人在那塊田收割
[00:01:33.000 --> 00:01:35.000]  你就跟著他們去
[00:01:35.000 --> 00:01:38.000]  我已經吩咐僕人不可欺負你
[00:01:38.000 --> 00:01:40.000]  你若學了
[00:01:40.000 --> 00:01:44.000]  就可以到氣命那裡
[00:01:44.000 --> 00:01:47.000]  喝僕人打來的水
[00:01:47.000 --> 00:01:49.000]  我們再讀一次英文的聖經
[00:01:49.000 --> 00:01:52.000]  第二章,第八至第九節
[00:01:52.000 --> 00:01:56.000]  路德記的第二章,第八至第九節
[00:01:56.000 --> 00:01:58.000]  波瓦斯對路德說
[00:01:58.000 --> 00:02:00.000]  女兒,聽我說
[00:02:00.000 --> 00:02:04.000]  不要往別人田裡拾取墨水
[00:02:04.000 --> 00:02:06.000]  也不要離開這裡
[00:02:06.000 --> 00:02:10.000]  要尚與我侍女們在一處
[00:02:10.000 --> 00:02:14.000]  你的眼睛在那塊田收割
[00:02:14.000 --> 00:02:17.000]  你就跟著他們去
[00:02:17.000 --> 00:02:21.000]  我已經吩咐僕人不可欺負你
[00:02:21.000 --> 00:02:23.000]  你若學了
[00:02:23.000 --> 00:02:25.000]  就可以到氣命那裡
[00:02:25.000 --> 00:02:29.000]  喝僕人打來的水
[00:02:29.000 --> 00:02:34.000]  《撒基斯文》有一個特性
[00:02:34.000 --> 00:02:37.000]  就是它性情謙和
[00:02:37.000 --> 00:02:39.000]  其實當看到這一點的時候
[00:02:39.000 --> 00:02:40.000]  就讓我想到
[00:02:40.000 --> 00:02:41.000]  在聖經裡有一個人物
[00:02:41.000 --> 00:02:43.000]  他的名字叫摩西
[00:02:43.000 --> 00:02:46.000]  在文素記第十二章第三節裡
[00:02:46.000 --> 00:02:48.000]  也曾經介紹過摩西
[00:02:48.000 --> 00:02:51.000]  是一個性情謙和的人
[00:02:51.000 --> 00:02:55.000]  甚至勝過世上一切的眾人
[00:02:55.000 --> 00:02:58.000]  似乎能夠給神重用的人
[00:02:58.000 --> 00:03:01.000]  他的性情也有這個特點
[00:03:01.000 --> 00:03:05.000]  就是他對人是一種謙卑柔和的心
[00:03:05.000 --> 00:03:08.000]  他願意去幫助其他人
[00:03:08.000 --> 00:03:10.000]  來到今天我們可以看到
[00:03:10.000 --> 00:03:12.000]  這段聖經路德記的第二章
[00:03:12.000 --> 00:03:14.000]  第八至第九節
[00:03:14.000 --> 00:03:18.000]  我們會去打開去認識一個人物
[00:03:18.000 --> 00:03:19.000]  他叫波亞斯
[00:03:19.000 --> 00:03:23.000]  他原來同樣有一個謙和的性情
[00:03:23.000 --> 00:03:25.000]  而在這段聖經裡
[00:03:25.000 --> 00:03:26.000]  更加讓我們看見
[00:03:26.000 --> 00:03:29.000]  原來憑著這份謙和的性情
