
[00:00:00.000 --> 00:00:02.000]  各位弟兄姊妹 各位朋友 晚安
[00:00:02.000 --> 00:00:05.000]  我們一起同心祈禱
[00:00:05.000 --> 00:00:09.000]  感恩今天晚上
[00:00:09.000 --> 00:00:11.000]  我們能夠在禮拜堂
[00:00:11.000 --> 00:00:14.000]  敬拜我們這位三一的真神
[00:00:14.000 --> 00:00:17.000]  富裕的救主 耶穌基督
[00:00:17.000 --> 00:00:19.000]  我們能夠帶著我們的心靈
[00:00:19.000 --> 00:00:21.000]  來到這個安靜的地方
[00:00:21.000 --> 00:00:23.000]  潔淨的地方
[00:00:23.000 --> 00:00:26.000]  我們的內心可以沉澱
[00:00:26.000 --> 00:00:29.000]  我們過去很多很多的故事回憶
[00:00:30.000 --> 00:00:32.000]  求天賦給我們的心靈
[00:00:32.000 --> 00:00:34.000]  能夠在這一刻
[00:00:34.000 --> 00:00:37.000]  很寧靜地去聽一個訊息
[00:00:37.000 --> 00:00:39.000]  到底我們在人生
[00:00:39.000 --> 00:00:41.000]  我們在求什麼
[00:00:41.000 --> 00:00:43.000]  我們很盼望著
[00:00:43.000 --> 00:00:45.000]  透過使徒保羅
[00:00:45.000 --> 00:00:48.000]  他的人生的經歷
[00:00:48.000 --> 00:00:50.000]  以及他的分享
[00:00:50.000 --> 00:00:52.000]  成為我們後世人
[00:00:52.000 --> 00:00:54.000]  一個很重要的提醒
[00:00:54.000 --> 00:00:55.000]  我們今天晚上
[00:00:55.000 --> 00:00:57.000]  等候在你的面前
[00:00:57.000 --> 00:01:00.000]  雖然剛才有主席問
[00:01:00.000 --> 00:01:02.000]  只有一位新朋友
[00:01:02.000 --> 00:01:03.000]  但是我們知道
[00:01:03.000 --> 00:01:05.000]  我們每一個
[00:01:05.000 --> 00:01:08.000]  都是主所愛所認識的
[00:01:08.000 --> 00:01:10.000]  主啊 如果我們有一些朋友
[00:01:10.000 --> 00:01:13.000]  還是未清楚信主
[00:01:13.000 --> 00:01:14.000]  或者還是未這樣
[00:01:14.000 --> 00:01:16.000]  去衞生跟隨主的
[00:01:16.000 --> 00:01:19.000]  我們很盼望主的聖靈
