
[00:00:00.000 --> 00:00:02.160]  今天說的是耶和華以臘
[00:00:02.160 --> 00:00:04.100]  很多人都知道耶和華以臘
[00:00:04.100 --> 00:00:06.920]  就是說到耶和華必定會預備
[00:00:06.920 --> 00:00:09.380]  當我準備這個講章的時候
[00:00:09.380 --> 00:00:11.080]  我都想起原來我們
[00:00:11.080 --> 00:00:14.160]  人生是有很多事情需要預備的
[00:00:14.160 --> 00:00:16.780]  大家都知道這個星期
[00:00:16.780 --> 00:00:19.540]  土耳其敘利亞那裡有大地震
[00:00:19.540 --> 00:00:23.720]  很多人就質疑為什麼這些樓宇很新淨
[00:00:23.720 --> 00:00:26.180]  可能是十年八年而已
[00:00:26.180 --> 00:00:31.700]  也都是知道的了是在地震區那裡
[00:00:31.700 --> 00:00:34.860]  為什麼不可以做好那些防震工作呢?
[00:00:34.860 --> 00:00:36.880]  因為知道日本那些做得很好
[00:00:36.880 --> 00:00:37.800]  其實他們有的
[00:00:37.800 --> 00:00:39.580]  不過不知道為什麼可能沒有
[00:00:39.580 --> 00:00:42.160]  因為很多國家當他知道
[00:00:42.160 --> 00:00:44.820]  他自己在地震的高危區那裡
[00:00:44.820 --> 00:00:46.900]  尤其是當他建了一些大廈
[00:00:46.900 --> 00:00:50.700]  他一定要很注重這個防震工作
[00:00:50.700 --> 00:00:52.200]  這個就是一個預備
[00:00:52.200 --> 00:00:56.900]  就是預備萬一有突發事的時候
[00:00:56.900 --> 00:01:01.780]  都希望那個損毀不會這麼嚴重
[00:01:01.780 --> 00:01:03.380]  其實我人生其實是
[00:01:03.380 --> 00:01:04.260]  有沒有想過?
[00:01:04.260 --> 00:01:07.840]  其實我們每一天都是在預備一些東西的
[00:01:07.840 --> 00:01:10.340]  預備今晚吃什麼菜
[00:01:10.340 --> 00:01:10.880]  是不是?
[00:01:10.880 --> 00:01:13.880]  我們預備明天上班開會
[00:01:13.880 --> 00:01:15.300]  要準備些什麼
[00:01:15.300 --> 00:01:17.500]  我們其實是天天都在預備
[00:01:17.500 --> 00:01:18.420]  其實我們每一天
[00:01:18.420 --> 00:01:20.840]  到我們離開世界我們就在預備
[00:01:20.840 --> 00:01:24.040]  其實很多東西我們是要預備
[00:01:24.040 --> 00:01:26.060]  就是吃完一頓就要想好第二頓
[00:01:26.060 --> 00:01:26.560]  是不是?
[00:01:26.560 --> 00:01:28.660]  我們如果有小朋友的話
[00:01:28.660 --> 00:01:29.660]  我們很清楚了
[00:01:29.660 --> 00:01:31.780]  預備他明天上學的校服
[00:01:31.780 --> 00:01:32.340]  是不是?
[00:01:32.340 --> 00:01:35.400]  媽媽可能要洗乾淨、燙好
[00:01:35.400 --> 00:01:37.460]  要不然明天睡醒也沒有校服
[00:01:37.460 --> 00:01:39.220]  原來整個週末都還沒洗
[00:01:39.220 --> 00:01:40.440]  那就很麻煩了
[00:01:40.440 --> 00:01:41.080]  是不是?
[00:01:41.080 --> 00:01:44.080]  那你也要預備功課
[00:01:44.080 --> 00:01:45.340]  小孩子的功課
[00:01:45.340 --> 00:01:47.180]  英國的功課是很少的
[00:01:47.180 --> 00:01:48.320]  也不用怎麼預備
[00:01:48.320 --> 00:01:51.400]  香港就可能要很多時間去預備
[00:01:51.400 --> 00:01:53.180]  記得也要預備
[00:01:53.180 --> 00:01:54.720]  我記得我小時候
[00:01:54.720 --> 00:01:56.360]  連我的書包
[00:01:56.360 --> 00:01:59.800]  也要我父母幫我檢查一下有沒有漏東西
[00:01:59.800 --> 00:02:02.880]  因為香港的學校很嚴的
[00:02:02.880 --> 00:02:04.300]  很變態的
[00:02:04.300 --> 00:02:06.340]  如果帶漏了東西怎麼辦?
[00:02:06.340 --> 00:02:11.580]  打電話叫我家長立刻拿來學校
[00:02:11.580 --> 00:02:14.000]  那麼我爸爸試過很多次了
[00:02:14.000 --> 00:02:15.640]  他就很生氣的
