
[00:00:00.000 --> 00:00:02.000]  剛剛我們在唱這首詩歌
[00:00:02.000 --> 00:00:04.000]  他說到求你爲我做清潔的心事
[00:00:04.000 --> 00:00:06.000]  我裏面有正直的力
[00:00:06.000 --> 00:00:08.000]  詩歌就在說
[00:00:08.000 --> 00:00:10.000]  叫我裏面啊
[00:00:10.000 --> 00:00:12.000]  我以清潔的心力
[00:00:12.000 --> 00:00:14.000]  但如果你還記得51篇我剛剛看的時候
[00:00:14.000 --> 00:00:16.000]  開始不是這些東西
[00:00:16.000 --> 00:00:18.000]  每一篇開始都不是
[00:00:18.000 --> 00:00:20.000]  你明白嗎
[00:00:20.000 --> 00:00:22.000]  唱的詩歌當然有少少歌詞的改變
[00:00:22.000 --> 00:00:24.000]  已經有了
[00:00:24.000 --> 00:00:26.000]  以我裏面的
[00:00:26.000 --> 00:00:28.000]  但如果你看回C篇51篇
[00:00:28.000 --> 00:00:30.000]  你再看着聖經
[00:00:30.000 --> 00:00:32.000]  在第一節之前
[00:00:32.000 --> 00:00:34.000]  通常詩篇有少少的註明
[00:00:34.000 --> 00:00:36.000]  他說到這首詩篇是什麼來的
[00:00:36.000 --> 00:00:38.000]  大魏與拔士巴同室以後
[00:00:38.000 --> 00:00:40.000]  先知拿丹來見他
[00:00:40.000 --> 00:00:42.000]  他作者私交與領獎
[00:00:42.000 --> 00:00:44.000]  問題就來了
[00:00:44.000 --> 00:00:46.000]  大魏與拔士巴同室
[00:00:46.000 --> 00:00:48.000]  這件是好事還是壞事呢
[00:00:48.000 --> 00:00:50.000]  壞事
[00:00:50.000 --> 00:00:52.000]  大魏與拔士巴
[00:00:52.000 --> 00:00:54.000]  同房的嘛
[00:00:54.000 --> 00:00:56.000]  但關鍵問題就是
[00:00:56.000 --> 00:00:58.000]  這本來是怎樣的呢
[00:00:58.000 --> 00:01:00.000]  嫁了
[00:01:00.000 --> 00:01:02.000]  大魏出計弄死人老公
[00:01:02.000 --> 00:01:04.000]  然後搶了人老婆
[00:01:04.000 --> 00:01:08.000]  一個皇帝做這種事
[00:01:08.000 --> 00:01:10.000]  他很沒時間
[00:01:10.000 --> 00:01:12.000]  甚至人去看回聖經細節的時候
[00:01:12.000 --> 00:01:14.000]  更經歷一件事
[00:01:14.000 --> 00:01:16.000]  大魏干犯這個罪的時候
[00:01:16.000 --> 00:01:18.000]  更加是作爲皇帝
[00:01:18.000 --> 00:01:20.000]  睡到日上三竿
[00:01:20.000 --> 00:01:22.000]  起牀看着別人洗澡
[00:01:22.000 --> 00:01:24.000]  然後才動了這個意念
[00:01:24.000 --> 00:01:26.000]  先知拿丹就走去面前
[00:01:26.000 --> 00:01:28.000]  用比喻去說
[00:01:28.000 --> 00:01:30.000]  有人大把錢還要掠奪別人的
[00:01:30.000 --> 00:01:32.000]  你覺得怎樣啊
[00:01:32.000 --> 00:01:34.000]  大魏聽完故事之後還罵
[00:01:34.000 --> 00:01:36.000]  這些真是壞人
[00:01:36.000 --> 00:01:38.000]  拿丹的反應是什麼
[00:01:38.000 --> 00:01:40.000]  那個就是你
[00:01:40.000 --> 00:01:42.000]  拿丹作爲先知
[00:01:42.000 --> 00:01:44.000]  很有膽量勇氣
[00:01:44.000 --> 00:01:46.000]  在正義裏面直接指出
[00:01:46.000 --> 00:01:48.000]  當然他不是在說
[00:01:48.000 --> 00:01:50.000]  爲父不仁而是在說
