
[00:00:00.000 --> 00:00:08.000]  今天我們從這段聖經裡頭要看到以利亞所遇到的事情
[00:00:08.000 --> 00:00:15.000]  就是她所住的地方,婦人的兒子死了
[00:00:15.000 --> 00:00:21.000]  我們今天這個信息要分成三個段落
[00:00:21.000 --> 00:00:26.000]  一個段落就說到寡婦的兒子病重死了
[00:00:26.000 --> 00:00:30.000]  第二段就是講到以利亞的反應
[00:00:30.000 --> 00:00:34.000]  第三段我們就要講到以利亞的禱告
[00:00:34.000 --> 00:00:40.000]  我們先來看第一段,寡婦的兒子病重死了
[00:00:40.000 --> 00:00:45.000]  我們要看到因為神的同在
[00:00:45.000 --> 00:00:51.000]  寡婦一家每一天的需要都得到供應
[00:00:51.000 --> 00:00:55.000]  她的油跟麵都沒有斷絕
[00:00:55.000 --> 00:01:02.000]  但是神的同在也要帶領她經歷突然的危機
[00:01:02.000 --> 00:01:08.000]  她因為兒子突然死了就埋怨以利亞
[00:01:08.000 --> 00:01:16.000]  這個婦人的難處我們至少可以看到有三方面
[00:01:16.000 --> 00:01:25.000]  第一方面,她以為神的先知住在她家裡就不會有難處
[00:01:25.000 --> 00:01:30.000]  這是我們人一般的概念
[00:01:30.000 --> 00:01:37.000]  現在的信徒很喜歡繁榮的神學
[00:01:37.000 --> 00:01:49.000]  意思說信徒只要不犯罪,對事情都做得好,不犯罪
[00:01:49.000 --> 00:01:55.000]  而且你能讀經,禱告,很熱心
[00:01:55.000 --> 00:01:59.000]  這樣的話你一切都會很平順的
[00:01:59.000 --> 00:02:02.000]  神一定要祝福你的
[00:02:02.000 --> 00:02:07.000]  但是這樣的情形是不是好呢?
[00:02:07.000 --> 00:02:15.000]  如果一個沒有風浪的生活對我們是不是的靈命有沒有好處?
[00:02:15.000 --> 00:02:20.000]  其實這樣的生活,一番豐盛一點沒有難處的生活
[00:02:20.000 --> 00:02:26.000]  不會叫生命能夠強壯的
[00:02:26.000 --> 00:02:30.000]  我們只要看看種在高山上的大樹
[00:02:30.000 --> 00:02:33.000]  它本來種下去是一個很小的樹
[00:02:33.000 --> 00:02:37.000]  可是因為在山上有風怎麼刮過來
[00:02:37.000 --> 00:02:40.000]  又有風從那邊又刮過來
[00:02:40.000 --> 00:02:47.000]  這個樹就是在風的刮來刮去這樣情況下
[00:02:47.000 --> 00:02:52.000]  它就慢慢長大了,它就成為大樹了
[00:02:52.000 --> 00:02:59.000]  其實神在我們身上所做的也就這樣
[00:02:59.000 --> 00:03:01.000]  我們知道新的主了
[00:03:01.000 --> 00:03:04.000]  神是很關心我們也愛我們
[00:03:04.000 --> 00:03:10.000]  但是祂不會說叫我們一生都是過了一個很平靜
[00:03:10.000 --> 00:03:14.000]  很穩妥的這樣一個生活
