
[00:00:00.000 --> 00:00:02.480]  我知道大家今年的主題是
[00:00:02.480 --> 00:00:06.720]  「心意根深聚焦基督 邁步向前」
[00:00:06.720 --> 00:00:09.880]  在香港這樣的狀況裏
[00:00:09.880 --> 00:00:12.800]  我們要心意根深聚焦基督
[00:00:12.800 --> 00:00:14.640]  一點都不容易
[00:00:14.640 --> 00:00:17.560]  然而今天我們用啓示錄的經文
[00:00:17.560 --> 00:00:21.160]  特別是啓示錄較後一部分的經文
[00:00:21.160 --> 00:00:22.720]  我們要聚焦基督
[00:00:22.720 --> 00:00:25.720]  我們看看耶穌基督究竟是一個怎樣的主
[00:00:25.720 --> 00:00:28.320]  我們在跟隨的是一個怎樣的主
[00:00:28.320 --> 00:00:31.320]  讓我們一同祈禱
[00:00:31.320 --> 00:00:33.120]  天父我們仰望禰
[00:00:33.120 --> 00:00:35.800]  多謝禰讓禰的兒子
[00:00:35.800 --> 00:00:38.120]  禰的獨一愛子耶穌基督
[00:00:38.120 --> 00:00:39.760]  來到我們當中
[00:00:39.760 --> 00:00:44.560]  多謝禰願意慰藏我們罪的緣故
[00:00:44.560 --> 00:00:46.720]  禰這樣差派禰的兒子
[00:00:46.720 --> 00:00:49.200]  禰的愛子來到我們裏面
[00:00:49.200 --> 00:00:51.080]  不單止來到我們當中
[00:00:51.080 --> 00:00:53.480]  更加願意爲我們的罪
[00:00:53.480 --> 00:00:54.920]  設在十字架上
[00:00:54.920 --> 00:00:58.200]  幫助我們學上基督的再來
[00:00:58.200 --> 00:01:00.800]  幫助我們學上基督再來的時候
[00:01:00.800 --> 00:01:02.520]  所發生的事情
[00:01:02.520 --> 00:01:04.120]  以至今天我們有力的
[00:01:04.120 --> 00:01:06.840]  來面對地上的處境
[00:01:06.840 --> 00:01:07.920]  上帝求禰幫助我們
[00:01:07.920 --> 00:01:10.440]  求聖靈在我們當中
[00:01:10.440 --> 00:01:12.320]  光照我們的心
[00:01:12.320 --> 00:01:14.440]  也願意主禰的話語
[00:01:14.440 --> 00:01:16.120]  去開啓我們的眼
[00:01:16.120 --> 00:01:20.160]  看見耶穌基督在再來的時候是一個怎樣的景象
[00:01:20.160 --> 00:01:23.040]  來到的時候究竟禰是一個怎樣的主
[00:01:23.040 --> 00:01:25.800]  求主禰親自帶領我們以下的時間
[00:01:25.800 --> 00:01:28.640]  聽我們祈禱奉耶穌名求
[00:01:28.640 --> 00:01:29.600]  阿門
[00:01:29.600 --> 00:01:31.600]  我漏了一個pointer
[00:01:31.600 --> 00:01:40.960]  我想用少許時間和大家去
[00:01:40.960 --> 00:01:42.360]  去看一看
[00:01:42.360 --> 00:01:47.800]  《啓示錄》的脈絡
[00:01:47.800 --> 00:01:49.560]  在《啓示錄》裏面
[00:01:49.560 --> 00:01:52.400]  大家有印象七印 七號 七碗
[00:01:52.400 --> 00:01:54.120]  我只會講十九章
[00:01:54.120 --> 00:01:55.880]  大家放心 我不會講完《啓示錄》
[00:01:55.880 --> 00:01:57.600]  我只是想給你有個印象
[00:01:57.600 --> 00:01:59.800]  其實整個《啓示錄》想講些什麼
[00:01:59.800 --> 00:02:03.400]  在整個《啓示錄》裏面有七印 七號 七碗
[00:02:03.400 --> 00:02:07.040]  審判的嚴重性和闊度是逐漸遞增的
[00:02:07.040 --> 00:02:08.840]  由七印的四分之一
[00:02:08.840 --> 00:02:10.960]  到七號的三分之一
[00:02:10.960 --> 00:02:14.680]  到七碗的所有的河 幹河
[00:02:14.680 --> 00:02:17.680]  和太陽去分暗
[00:02:17.680 --> 00:02:19.120]  降大的冰雹
[00:02:19.120 --> 00:02:21.840]  七碗更加是有切身的災禍
[00:02:21.840 --> 00:02:25.960]  拜壽的人在他身上生毒瘡
[00:02:25.960 --> 00:02:27.920]  疼痛到要咬自己的舌頭
[00:02:27.920 --> 00:02:29.520]  七印 七號 七碗
[00:02:29.520 --> 00:02:32.760]  中間夾住了一些異象
[00:02:32.760 --> 00:02:35.760]  就是你見到圓圈的部分
[00:02:35.760 --> 00:02:38.560]  顯示國道的真踐是越來越激烈的
[00:02:38.560 --> 00:02:41.040]  在上帝整個心意裏面
[00:02:41.040 --> 00:02:43.880]  上帝預備了他再來的時候
[00:02:43.880 --> 00:02:46.920]  國道的真踐是越來越激烈的
[00:02:46.920 --> 00:02:50.120]  主的心意是要藉着信徒羣體的見證
[00:02:50.120 --> 00:02:52.360]  和他們的受苦
[00:02:52.360 --> 00:02:55.360]  要他們繼續勸人來悔改
[00:02:55.360 --> 00:02:56.600]  十一章裏面講到
[00:02:56.600 --> 00:02:57.600]  有兩個見證人
[00:02:57.600 --> 00:02:59.680]  忠心的見證主的道
[00:02:59.680 --> 00:03:01.520]  然後他們被殺害
[00:03:01.520 --> 00:03:03.440]  在十二章裏面我們見到
[00:03:03.440 --> 00:03:07.120]  紅龍是撒旦不斷迫害信徒羣體
[00:03:07.120 --> 00:03:08.600]  由舊弱到新弱
[00:03:08.600 --> 00:03:12.280]  但是主經常介入來保守信徒羣體
[00:03:12.280 --> 00:03:14.080]  十三章裏面講到兩隻獸
[00:03:14.080 --> 00:03:15.760]  有海獸和地獸
[00:03:15.760 --> 00:03:18.920]  海獸象徵着羅馬帝國的君王崇拜
[00:03:18.920 --> 00:03:22.280]  地獸講的是一個假先知的集團
[00:03:22.280 --> 00:03:25.520]  它們象徵着整個羅馬君王的崇拜
[00:03:25.520 --> 00:03:27.920]  那幫祭司和既得利益集團
[00:03:27.920 --> 00:03:28.960]  那幫貴族
[00:03:28.960 --> 00:03:33.160]  它推動着整個羅馬的君主崇拜
[00:03:33.160 --> 00:03:35.880]  而主席朱約翰很清楚地講
[00:03:35.880 --> 00:03:36.920]  君王崇拜
[00:03:36.920 --> 00:03:39.760]  定是崇尚物質的生活
[00:03:39.760 --> 00:03:41.800]  不是一個無關痛癢的事
[00:03:41.800 --> 00:03:44.720]  而是徹徹底底地在拜撒旦
[00:03:44.720 --> 00:03:45.800]  十四章裏面講到
[00:03:45.800 --> 00:03:47.720]  三位天使在空中呼籲人
[00:03:47.720 --> 00:03:48.960]  不要再拜獸了
[00:03:48.960 --> 00:03:50.760]  因爲審判的日子要臨近了
[00:03:50.760 --> 00:03:53.080]  拜獸的人要永遠受刑
[00:03:53.080 --> 00:03:55.440]  主是多次多方地呼籲人
[00:03:55.440 --> 00:03:57.680]  包括信徒羣體去悔改
[00:03:57.680 --> 00:04:01.680]  不只是呼籲地上的其他人悔改
[00:04:01.680 --> 00:04:03.920]  是包括信徒羣體去悔改
[00:04:03.920 --> 00:04:05.080]  要去迴轉
[00:04:05.080 --> 00:04:07.960]  十七十八章就講到大淫婦和獸
[00:04:07.960 --> 00:04:10.120]  大淫婦也指向羅馬帝國
[00:04:10.120 --> 00:04:12.880]  她殺害爲耶穌基督作見證的人
[00:04:12.880 --> 00:04:15.360]  大淫婦的淫恨是屬靈上面的
[00:04:15.360 --> 00:04:17.160]  她引誘人敵黨神
[00:04:17.160 --> 00:04:19.040]  而十八章的《巴比倫經福》
[00:04:19.040 --> 00:04:23.200]  同樣用來象徵羅馬帝國最終會滅亡
[00:04:23.200 --> 00:04:25.640]  一個貪妄 欺壓他人
[00:04:25.640 --> 00:04:28.000]  販賣人口逃離經濟至上
[00:04:28.000 --> 00:04:29.400]  依靠軍隊的
[00:04:29.400 --> 00:04:32.760]  以及殺害屬主的信徒的邪惡國度
[00:04:32.760 --> 00:04:35.320]  看上去表面是屹立不倒的
[00:04:35.320 --> 00:04:37.880]  但最終在《啟示錄》裏面講到
[00:04:37.880 --> 00:04:39.880]  主是一定會審判
[00:04:39.880 --> 00:04:42.520]  我們的主去監察一切
[00:04:42.520 --> 00:04:44.960]  這樣的國度最終要去滅亡
[00:04:44.960 --> 00:04:48.280]  十九章提到高楊的婚宴
[00:04:48.280 --> 00:04:50.120]  大淫婦已經被致死了
[00:04:50.120 --> 00:04:52.520]  信徒羣體就是那個新娘
[00:04:52.520 --> 00:04:55.600]  就是那個大婚宴裏面的新娘
[00:04:55.600 --> 00:04:59.080]  這個婚宴也是整個《啟示錄》的高峯
[00:04:59.080 --> 00:05:02.600]  表徵着神終極的計劃要完成
[00:05:02.600 --> 00:05:04.400]  教會要作新娘
[00:05:04.400 --> 00:05:07.680]  和上帝締結永遠的文明
[00:05:07.680 --> 00:05:09.760]  經文是在第十九章的
[00:05:09.760 --> 00:05:11.320]  講了好像很長
[00:05:11.320 --> 00:05:13.760]  今天只講十九章而已 放心
[00:05:13.760 --> 00:05:15.720]  我只是簡介一點 讓大家知道
[00:05:15.720 --> 00:05:17.440]  等下我講的時候會有些印象
[00:05:17.440 --> 00:05:19.160]  其實是在哪個部分裏面
[00:05:19.160 --> 00:05:24.080]  十九和二十章是組成了七個漢建的部分
[00:05:24.080 --> 00:05:26.920]  我們今天主要只是講頭三個
[00:05:26.920 --> 00:05:29.080]  我主要也是講第一個
[00:05:29.080 --> 00:05:30.240]  是白馬上的基督
[00:05:30.240 --> 00:05:31.400]  我們如何聚焦基督
[00:05:31.400 --> 00:05:32.800]  祂是一個怎樣的主
[00:05:32.800 --> 00:05:36.400]  祂再來的時候究竟是發生什麼事呢
[00:05:36.400 --> 00:05:38.640]  約翰用七個的漢建
[00:05:38.640 --> 00:05:42.160]  來講十九二十章的部分
[00:05:42.160 --> 00:05:44.200]  逐漸將基督的海船
[00:05:44.200 --> 00:05:47.600]  和邪惡勢力的崩潰推到高峯
[00:05:47.600 --> 00:05:50.760]  十九章基督是一個戰士的形象出現的
[00:05:50.760 --> 00:05:57.120]  一直跟獸和假先知對峙
[00:05:57.120 --> 00:06:00.320]  約翰用了猶太信仰裏面的傳統
[00:06:00.320 --> 00:06:02.200]  將神制性邪惡
[00:06:02.200 --> 00:06:04.720]  和最終要審判的信息
[00:06:04.720 --> 00:06:06.160]  用形象化的方式
[00:06:06.160 --> 00:06:09.240]  有力地在啓示錄裏面表達出來
[00:06:09.240 --> 00:06:11.960]  今天經文十九章十一至十六節
[00:06:11.960 --> 00:06:15.880]  基督是騎在白馬上的方式
[00:06:15.880 --> 00:06:17.720]  是一個戰士的姿態
