
[00:00:00.000 --> 00:00:02.180]  昨晚看了一個電視節目
[00:00:02.180 --> 00:00:04.500]  節目名叫做
[00:00:04.500 --> 00:00:06.280]  《萬里尋花》
[00:00:06.280 --> 00:00:07.280]  有沒有人看過?
[00:00:07.280 --> 00:00:09.700]  沒有?
[00:00:09.700 --> 00:00:11.800]  在吃飯時間看的
[00:00:11.800 --> 00:00:14.540]  這個《萬里尋花》是在說
[00:00:14.540 --> 00:00:18.380]  內地有三個來自三個不同的家庭的小朋友
[00:00:18.380 --> 00:00:21.380]  他們千里迢迢
[00:00:21.380 --> 00:00:24.440]  去到南美洲委內瑞拉
[00:00:24.440 --> 00:00:28.280]  探望他們在那裡工作的爸爸
[00:00:28.280 --> 00:00:30.680]  說到三個小朋友
[00:00:30.680 --> 00:00:35.500]  一男一女大概十歲左右
[00:00:35.500 --> 00:00:37.720]  另一個女孩子只有六歲
[00:00:37.720 --> 00:00:38.720]  三個人
[00:00:38.720 --> 00:00:41.960]  沒有父母一起
[00:00:41.960 --> 00:00:44.520]  攝製隊跟他們一起去
[00:00:44.520 --> 00:00:45.980]  去的過程裡面
[00:00:45.980 --> 00:00:49.560]  他們要自己找路
[00:00:49.560 --> 00:00:51.720]  自己找車搭等等
[00:00:51.720 --> 00:00:56.600]  裡面的男孩子承諾要照顧兩個女孩子
[00:00:56.600 --> 00:00:58.740]  所以去到委內瑞拉
[00:00:58.740 --> 00:01:02.000]  坐在地鐵上上落落的地鐵站
[00:01:02.000 --> 00:01:04.160]  一個小朋友要拿行李
[00:01:04.160 --> 00:01:04.960]  十歲
[00:01:04.960 --> 00:01:07.240]  拿完一件又拿第二件
[00:01:07.240 --> 00:01:11.320]  出來了又要去找路
[00:01:11.320 --> 00:01:14.000]  又拿著翻譯卡問人
[00:01:14.000 --> 00:01:17.040]  究竟長途車站怎麼去
[00:01:17.040 --> 00:01:21.880]  最終經過了他們一段時間
[00:01:21.880 --> 00:01:25.600]  終於去到爸爸工作的地方
[00:01:25.600 --> 00:01:26.960]  探望到他
[00:01:26.960 --> 00:01:29.040]  當然他爸爸不知道
[00:01:29.040 --> 00:01:30.520]  不知道他們去探望他
[00:01:30.520 --> 00:01:32.120]  給他一個驚喜
[00:01:32.120 --> 00:01:35.480]  所以各自見到自己的爸爸
[00:01:35.480 --> 00:01:37.800]  那個情景是很感人的
[00:01:37.800 --> 00:01:39.640]  因為真的猜不到
[00:01:39.640 --> 00:01:41.880]  他的兒子和女兒
[00:01:41.880 --> 00:01:45.400]  這麼小一個人來到這個地方探望他
[00:01:45.400 --> 00:01:47.440]  得到很大的安慰
[00:01:47.440 --> 00:01:48.760]  特別有一個爸爸
[00:01:48.760 --> 00:01:50.280]  他女兒六歲那個
[00:01:50.280 --> 00:01:53.320]  他還沒出生已經去了外地工作了
[00:01:53.320 --> 00:01:55.080]  很少機會見到他
[00:01:55.080 --> 00:01:56.560]  所以很陌生
[00:01:56.560 --> 00:01:59.920]  那種業救感很強
[00:01:59.920 --> 00:02:02.320]  但是經過了幾天的相處
[00:02:02.320 --> 00:02:05.960]  完全得到很大的感觸安慰
