
[00:00:00.000 --> 00:00:04.040]  今天晚上是平安夜的晚上
[00:00:04.040 --> 00:00:06.240]  當你選擇了今天坐在這個地方
[00:00:06.240 --> 00:00:09.560]  去參與平安夜的崇拜
[00:00:09.560 --> 00:00:12.800]  象徵著我們今天晚上在這裡一起相遇
[00:00:12.800 --> 00:00:16.280]  並且去經歷上主的恩典和豐富
[00:00:16.280 --> 00:00:17.600]  剛才那段經文
[00:00:17.600 --> 00:00:20.480]  路加福音二章一到二十節
[00:00:20.480 --> 00:00:23.200]  裡面提到一個故事
[00:00:23.200 --> 00:00:25.640]  一個相信我們都熟悉的故事
[00:00:25.640 --> 00:00:27.640]  無論你過去多不多在教會裡面
[00:00:27.640 --> 00:00:29.760]  去參與聚會崇拜也好
[00:00:29.760 --> 00:00:32.640]  耶穌基督誕降的故事應該都會認識
[00:00:32.640 --> 00:00:34.160]  都會聽過的
[00:00:34.160 --> 00:00:35.400]  那個馬槽
[00:00:35.400 --> 00:00:36.760]  那個警星
[00:00:36.760 --> 00:00:38.120]  那班牧羊人
[00:00:38.120 --> 00:00:42.560]  那些從東方來的博士等等等等
[00:00:42.560 --> 00:00:47.840]  在這個故事裡面提到一個字叫做記號
[00:00:47.840 --> 00:00:50.520]  弟兄姊妹剛才你怎樣來禮拜堂的?
[00:00:50.520 --> 00:00:51.600]  坐車
[00:00:51.600 --> 00:00:52.560]  走路
[00:00:52.560 --> 00:00:53.840]  開車
[00:00:53.840 --> 00:00:55.080]  可能你看著地圖
[00:00:55.080 --> 00:00:56.800]  可能你第一次來到我們當中
[00:00:56.800 --> 00:00:59.400]  可能你離遠看到禮拜堂的建築物
[00:00:59.400 --> 00:01:00.960]  看到那個光
[00:01:00.960 --> 00:01:01.920]  可能你問人
[00:01:01.920 --> 00:01:04.760]  拿到一些訊息
[00:01:04.760 --> 00:01:08.280]  在我們日常生活裡面有很多不同的記號
[00:01:08.280 --> 00:01:09.720]  不同的記號有不同的意義
[00:01:09.720 --> 00:01:13.000]  以及代表著不同的內容
[00:01:13.000 --> 00:01:14.960]  有些記號是指示的
[00:01:14.960 --> 00:01:16.560]  是一些方向
[00:01:16.560 --> 00:01:17.840]  可能是門牌
[00:01:17.840 --> 00:01:18.360]  門號
[00:01:18.360 --> 00:01:18.920]  路標
[00:01:18.920 --> 00:01:20.080]  現在很多
[00:01:20.080 --> 00:01:21.560]  現在的人可能不太懂得看
[00:01:21.560 --> 00:01:22.600]  通常是打開手機
[00:01:22.600 --> 00:01:23.720]  按地圖
[00:01:23.720 --> 00:01:25.120]  然後就去
[00:01:25.120 --> 00:01:26.240]  不過我們以前看地圖
[00:01:26.240 --> 00:01:29.720]  就有很多路標指示這些記號
[00:01:29.720 --> 00:01:31.960]  有些記號是提醒我們的
[00:01:31.960 --> 00:01:33.800]  例如我們一些忘記的東西就會有記號
[00:01:33.800 --> 00:01:35.680]  可能你打開你的記事簿
[00:01:35.680 --> 00:01:37.320]  打了星星那些就是記號
[00:01:37.320 --> 00:01:39.040]  好像今天長巷打了一顆星
[00:01:39.040 --> 00:01:40.240]  我們就要站立了
[00:01:40.240 --> 00:01:41.440]  這些就是記號
[00:01:41.440 --> 00:01:43.440]  去提醒我們的
[00:01:43.440 --> 00:01:46.680]  有一些記號是告訴你危險
[00:01:46.680 --> 00:01:49.280]  是一些叫你小心
[00:01:49.280 --> 00:01:51.600]  在危難的時候會成為你的幫助
[00:01:51.600 --> 00:01:52.480]  舉些例子
[00:01:52.480 --> 00:01:54.000]  這些記號你經常都看到
[00:01:54.000 --> 00:01:56.560]  例如你看到一個人頭的樣子
[00:01:56.560 --> 00:01:57.800]  下面可能三角
[00:01:57.800 --> 00:01:58.840]  這樣三角的
[00:01:58.840 --> 00:02:01.560]  那應該就是一個男的洗手間
[00:02:01.560 --> 00:02:04.720]  反過來三角就是男的洗手間
[00:02:04.720 --> 00:02:06.320]  反過來三角就是女的洗手間
[00:02:06.320 --> 00:02:07.400]  這些我們記號見慣
[00:02:07.400 --> 00:02:08.240]  一個人頭
[00:02:08.240 --> 00:02:08.760]  一個圓圈
[00:02:08.760 --> 00:02:10.520]  一個三角就已經象徵了
[00:02:10.520 --> 00:02:11.440]  又或者一個圓圈
[00:02:11.440 --> 00:02:13.720]  幾個三角有一個框框框著
[00:02:13.720 --> 00:02:16.720]  你就會知道那裡應該有電梯了
[00:02:16.720 --> 00:02:18.360]  又或者你看到一個
[00:02:18.360 --> 00:02:19.280]  上面一個彎
[00:02:19.280 --> 00:02:19.920]  合一個彎
[00:02:19.920 --> 00:02:20.880]  一條直線
[00:02:20.880 --> 00:02:22.320]  那個地鐵的徽號
[00:02:22.320 --> 00:02:24.000]  你就知道那裡有港鐵了
[00:02:24.000 --> 00:02:25.840]  大家知不知道那個徽號怎麼來的?
[00:02:25.840 --> 00:02:27.440]  年輕一輩可能不太明白
[00:02:27.440 --> 00:02:28.920]  地鐵的徽號其實很久了
[00:02:28.920 --> 00:02:29.720]  有四十多年
[00:02:29.720 --> 00:02:30.880]  七五年的時候已經有
[00:02:30.880 --> 00:02:32.880]  上一半是代表九龍半島
[00:02:32.880 --> 00:02:34.280]  下一半是代表港島
[00:02:34.280 --> 00:02:35.040]  穿著
[00:02:35.040 --> 00:02:37.720]  就是搭地鐵可以穿過九龍香港
[00:02:37.720 --> 00:02:38.680]  又好像一個木字
[00:02:38.680 --> 00:02:39.840]  代表很堅固
[00:02:39.840 --> 00:02:42.280]  也有很多路線開支產業
[00:02:42.280 --> 00:02:45.320]  這些記號讓我們有很多的資訊
[00:02:45.320 --> 00:02:46.480]  不用怎麼解釋
[00:02:46.480 --> 00:02:47.280]  看到路標
[00:02:47.280 --> 00:02:48.120]  看到記號
[00:02:48.120 --> 00:02:48.720]  看到符號
[00:02:48.720 --> 00:02:50.720]  你就知道那裡有洗手間了
[00:02:50.720 --> 00:02:52.960]  那裡有地鐵站了
[00:02:52.960 --> 00:02:53.560]  還有的
[00:02:53.560 --> 00:02:56.000]  有些記號就是我們刻意要擺出來的
[00:02:56.000 --> 00:02:57.720]  譬如一些小心地滑
[00:02:57.720 --> 00:02:59.120]  小心熱水
[00:02:59.120 --> 00:03:00.520]  甚至小心花生
[00:03:00.520 --> 00:03:02.320]  因為可能曾經有不同的原因
