
[00:00:00.000 --> 00:00:02.840]  我們今天再次從哥倫多前書
[00:00:02.840 --> 00:00:06.080]  去看「愛在我主教會」這個主題
[00:00:06.080 --> 00:00:07.600]  過去這三、四個月
[00:00:07.600 --> 00:00:11.100]  市面上的店鋪都逐漸開放
[00:00:11.100 --> 00:00:17.080]  店鋪的門口往往都張貼了一些安全的規矩
[00:00:17.080 --> 00:00:19.720]  要求顧客和職員
[00:00:19.720 --> 00:00:24.400]  進去這間店鋪的商店裏面消費的時候
[00:00:24.400 --> 00:00:27.800]  都要求他們戴上口罩
[00:00:27.800 --> 00:00:31.200]  防止病情的擴散
[00:00:31.200 --> 00:00:34.440]  但是在最近的那幾個星期
[00:00:34.440 --> 00:00:36.520]  在網上的社交平台上面
[00:00:36.520 --> 00:00:39.400]  我們都可以看到一些的片段
[00:00:39.400 --> 00:00:45.080]  這些片段都記錄了職員和顧客
[00:00:45.080 --> 00:00:48.200]  或者顧客和顧客之間的爭執
[00:00:48.200 --> 00:00:54.400]  他們往往都為了戴口罩這個問題而發生衝突
[00:00:54.400 --> 00:00:56.920]  究竟我們怎樣去平衡
[00:00:56.920 --> 00:01:00.680]  戴口罩和安全的規矩呢?
[00:01:00.680 --> 00:01:05.120]  剛才我們領住餐的之前
[00:01:05.120 --> 00:01:09.040]  我們都用了一些時間去反思
[00:01:09.040 --> 00:01:12.840]  反思我們究竟自己有沒有過去的一個月
[00:01:12.840 --> 00:01:15.640]  有沒有犯了罪、得罪了神
[00:01:15.640 --> 00:01:19.880]  我們都是會審查自己
[00:01:19.880 --> 00:01:22.040]  然後才會領住餐
[00:01:22.040 --> 00:01:25.200]  其實在哥倫多教會這個地方
[00:01:25.200 --> 00:01:30.440]  這個哥倫多城都是一個充滿罪惡的地方
[00:01:30.440 --> 00:01:33.200]  因為它的地理因素
[00:01:33.200 --> 00:01:39.520]  它是位於現代的希臘這個國家裏面
[00:01:39.520 --> 00:01:41.520]  當時是羅馬帝國
[00:01:41.520 --> 00:01:45.600]  在它的西邊
[00:01:45.600 --> 00:01:47.920]  這個城的西邊就是歐洲
[00:01:47.920 --> 00:01:49.920]  在左邊就是亞洲
[00:01:49.920 --> 00:01:53.200]  這個地方因為地理的因素
[00:01:53.200 --> 00:01:57.120]  被成爲一個非常繁榮的地方
[00:01:57.120 --> 00:02:00.280]  成爲航運的樞紐一個重要的城市
[00:02:00.280 --> 00:02:06.120]  商船往往從西邊來到哥倫多
[00:02:06.120 --> 00:02:08.120]  就會拉船上到陸地
[00:02:08.120 --> 00:02:11.120]  再下去東邊繼續它的航程
[00:02:11.120 --> 00:02:17.560]  所以這個城市是很多商人和船員經過的地方
[00:02:17.560 --> 00:02:23.240]  在當時的社會都被認爲一個罪惡的城市
[00:02:23.240 --> 00:02:25.640]  他們的居民都有個稱號
[00:02:25.640 --> 00:02:27.640]  他們是哥倫多人
[00:02:27.640 --> 00:02:37.000]  大家都知道他們是一幫犯很多罪的人
[00:02:37.000 --> 00:02:40.600]  其實在第四章的時候
[00:02:40.600 --> 00:02:43.400]  保羅 士多保羅都提醒
[00:02:43.400 --> 00:02:46.920]  再次以屬靈父母的父親的身份
[00:02:46.920 --> 00:02:52.600]  去提醒哥倫多信徒十字架救恩的意思
[00:02:52.600 --> 00:02:57.800]  提醒他們要存著謙卑的心去做神的僕人
[00:02:57.800 --> 00:03:01.080]  去榮耀神
[00:03:01.080 --> 00:03:05.560]  今天我們會從第五章第一節到十三節去繼續看
[00:03:05.560 --> 00:03:08.840]  究竟我們在這個神救恩計劃當中
