
[00:00:00.000 --> 00:00:03.200]  第一節我們看《創世紀》真的很好看
[00:00:03.200 --> 00:00:06.200]  因為每一章每一頁都是一個故事
[00:00:06.200 --> 00:00:09.000]  所以講聖經人、聖經事就最好看
[00:00:09.000 --> 00:00:11.200]  而《創世紀》更加好看的地方
[00:00:11.200 --> 00:00:14.200]  就是看到聖經的主角
[00:00:14.200 --> 00:00:16.200]  我們的上主上帝
[00:00:16.200 --> 00:00:19.200]  他做事是怎樣的
[00:00:19.200 --> 00:00:23.200]  在這裡認識到上帝很多東西
[00:00:23.200 --> 00:00:26.200]  當然亦認識到很多人物
[00:00:26.200 --> 00:00:29.200]  在他的故事裏面我們看到一些東西
[00:00:29.200 --> 00:00:33.200]  這句說話真的很有幫助
[00:00:33.200 --> 00:00:36.200]  豈可瞞著阿伯拉罕呢?
[00:00:36.200 --> 00:00:41.200]  神說我怎可以瞞著我的阿伯拉罕呢?
[00:00:41.200 --> 00:00:44.200]  這句說話多寶貴
[00:00:44.200 --> 00:00:46.200]  我真的不能瞞他,要告訴他
[00:00:46.200 --> 00:00:48.200]  這個關係很好
[00:00:48.200 --> 00:00:52.200]  《生命述書》的網絡和大家今天又讀聖經了
[00:00:52.200 --> 00:00:54.200]  豈可瞞著阿伯拉罕呢?
[00:00:54.200 --> 00:00:56.200]  今天只有兩節
[00:00:56.200 --> 00:00:58.200]  《創世紀》第十八章
[00:00:58.200 --> 00:01:01.200]  三人就同那裡起行
[00:01:01.200 --> 00:01:04.200]  向所多瑪觀寒
[00:01:04.200 --> 00:01:07.200]  阿伯拉罕也與他們同行
[00:01:07.200 --> 00:01:09.200]  要送他們一程
[00:01:09.200 --> 00:01:12.200]  而話說我所要做的事
[00:01:12.200 --> 00:01:15.200]  豈可瞞著阿伯拉罕呢?
[00:01:15.200 --> 00:01:17.200]  這兩句都很寶貴
[00:01:17.200 --> 00:01:19.200]  第一句就是
[00:01:19.200 --> 00:01:21.200]  那三個人吃完東西
[00:01:21.200 --> 00:01:24.200]  起行了,好好味好好味
[00:01:24.200 --> 00:01:27.200]  服侍得好,起行了
[00:01:27.200 --> 00:01:30.200]  向著所多瑪觀寒
[00:01:30.200 --> 00:01:34.200]  一路向著所多瑪一路看
[00:01:34.200 --> 00:01:37.200]  阿伯拉罕也與他們同行
[00:01:37.200 --> 00:01:41.200]  這個同行是送他們一程
[00:01:41.200 --> 00:01:44.200]  三位去所多瑪
[00:01:44.200 --> 00:01:47.200]  我拿些水和大家一起走一段路
[00:01:47.200 --> 00:01:48.200]  我送大家去
[00:01:48.200 --> 00:01:51.200]  不用了不用了,我們自己會去
[00:01:51.200 --> 00:01:54.200]  心想跟你走更久
[00:01:54.200 --> 00:02:00.200]  於是就讓阿伯拉罕同行
[00:02:00.200 --> 00:02:02.200]  其實這也是神的恩典
[00:02:02.200 --> 00:02:05.200]  神讓阿伯拉罕與他們同行
[00:02:05.200 --> 00:02:08.200]  其實上帝三一
[00:02:08.200 --> 00:02:10.200]  如果要去所多瑪
[00:02:10.200 --> 00:02:12.200]  要不要慢慢去呢?
[00:02:12.200 --> 00:02:14.200]  正如他出現在
[00:02:14.200 --> 00:02:17.200]  阿伯拉罕帳幕外
[00:02:17.200 --> 00:02:19.200]  三個人站在那裡
[00:02:19.200 --> 00:02:20.200]  說來就來
