
[00:00:00.000 --> 00:00:03.000]  就在這個時候我們先在神的裏面
[00:00:03.000 --> 00:00:07.000]  我們不如在神的裏面先禱告
[00:00:07.000 --> 00:00:09.000]  準備我們的心
[00:00:09.000 --> 00:00:12.000]  我們先一起祈禱準備我們的心
[00:00:12.000 --> 00:00:15.000]  親愛聖天父我們實在感謝你
[00:00:15.000 --> 00:00:17.000]  親愛聖天父我們實在感謝你
[00:00:17.000 --> 00:00:22.000]  從歲守到年終你都是我們的主
[00:00:22.000 --> 00:00:25.000]  從歲守到年終你都是我們的主
[00:00:25.000 --> 00:00:27.000]  你愛我們
[00:00:27.000 --> 00:00:28.000]  你愛我們
[00:00:28.000 --> 00:00:32.000]  有張好的命令見面來教訓我們
[00:00:32.000 --> 00:00:35.000]  有張好的命令來教訓我們
[00:00:35.000 --> 00:00:37.000]  讓我們走在光明的路上
[00:00:37.000 --> 00:00:40.000]  讓我們走在一條光明的路上
[00:00:40.000 --> 00:00:46.000]  下面我們再次回到馬太福音第五章的情景
[00:00:46.000 --> 00:00:51.000]  求主祢帶領我們再次回到馬太福音第五章的情景
[00:00:51.000 --> 00:00:58.000]  當我們再次仰望我們的君王我們的主基督來教訓我們的時候
[00:00:58.000 --> 00:01:03.000]  當我們仰望我們的主我們的王主基督教訓我們的時候
[00:01:03.000 --> 00:01:08.000]  求聖靈也幫助我們打開我們的心
[00:01:08.000 --> 00:01:10.000]  求聖靈幫助我們打開我們的心
[00:01:10.000 --> 00:01:13.000]  聆聽教訓
[00:01:13.000 --> 00:01:18.000]  得到從你創世之前為我們準備的各樣的福分
[00:01:18.000 --> 00:01:24.000]  幫助我們領受你從創世以前為我們準備好的各樣的福分
[00:01:24.000 --> 00:01:27.000]  奉耶穌基督的名而求
[00:01:27.000 --> 00:01:29.000]  阿們
[00:01:29.000 --> 00:01:41.000]  我其實想用很短的時間介紹一下新的國語堂
[00:01:41.000 --> 00:01:46.000]  我首先想用短短的時間介紹一下我們新的國語堂
[00:01:46.000 --> 00:01:49.000]  這個國語堂我叫它是一個菊堂
[00:01:49.000 --> 00:01:52.000]  這個國語堂是一個植堂
[00:01:52.000 --> 00:01:57.000]  我想這個觀念在我們教區裡面是一般的概念
[00:01:57.000 --> 00:02:02.000]  在聖公會教區裡面是一般的概念就是植堂這個概念
[00:02:02.000 --> 00:02:07.000]  菊堂不一定要離開我們這個中心去到另外的地方
[00:02:07.000 --> 00:02:13.000]  開設一個新堂不一定要離開我們的教會去新區來到植堂
[00:02:13.000 --> 00:02:17.000]  只要是一個新的聚會那就是一個植堂
[00:02:17.000 --> 00:02:20.000]  只要是一個新的聚會那也是一個植堂
[00:02:20.000 --> 00:02:25.000]  我熱切的盼望神祝福這個世宮
[00:02:25.000 --> 00:02:29.000]  我熱切的盼望神會祝福這個世宮
[00:02:29.000 --> 00:02:31.000]  也祝福我們的教會
[00:02:31.000 --> 00:02:33.000]  也祝福我們的教會
[00:02:33.000 --> 00:02:35.000]  使得救的人數不斷的增長
[00:02:35.000 --> 00:02:37.000]  使得救的人數不斷的增長
[00:02:37.000 --> 00:02:43.000]  我們生一個堂出來就是我們中文堂的榮耀
[00:02:43.000 --> 00:02:47.000]  我們開設一個新的堂就是我們華人堂的榮耀
[00:02:47.000 --> 00:02:51.000]  也是教會發展的一個過程
[00:02:51.000 --> 00:02:53.000]  也是教會發展的一個過程
[00:02:53.000 --> 00:02:57.000]  希望我們都有遠景能明白這個世宮
[00:02:57.000 --> 00:03:01.000]  希望我們大家都有一個遠景去明白這個世宮
[00:03:01.000 --> 00:03:05.000]  因為這是對下一代和以後的世代都是一個祝福
[00:03:05.000 --> 00:03:09.000]  因為這是對下一代和以後的世代都是一個祝福
[00:03:09.000 --> 00:03:19.000]  今天這個系列是說到有關耶穌基督是君王的一個系列
[00:03:19.000 --> 00:03:23.000]  今天這個系列是說到有關耶穌基督是君王的一個系列
[00:03:23.000 --> 00:03:30.000]  第一次是講到大家都很熟悉的所謂登山保訓
[00:03:30.000 --> 00:03:33.000]  第一次我們會看一段經文大家都很熟悉的
[00:03:33.000 --> 00:03:37.000]  就是一般被稱為登山保訓的經文
[00:03:37.000 --> 00:03:41.000]  這個我從小在教會學校裡面都學過
[00:03:41.000 --> 00:03:45.000]  梁牧師從小在教會校讀書的時候已經學過了
[00:03:45.000 --> 00:03:51.000]  老師、傳道人常常來教導我們學生我們的道德
[00:03:51.000 --> 00:03:57.000]  那些老師時時來教導我們做學生的道德
[00:03:57.000 --> 00:03:59.000]  要謙卑要虛心
[00:03:59.000 --> 00:04:01.000]  要謙卑要虛心
[00:04:01.000 --> 00:04:04.000]  要溫柔不要去競爭
[00:04:04.000 --> 00:04:07.000]  要溫柔不要經常跟別人競爭
[00:04:07.000 --> 00:04:11.000]  要為那些有需要的人愛動和憐惜人
[00:04:11.000 --> 00:04:15.000]  對有需要的人我們要有愛心要憐恤人
[00:04:15.000 --> 00:04:20.000]  還有是積合募益使人和睦能
[00:04:20.000 --> 00:04:24.000]  另外我們要稽學無疑
[00:04:24.000 --> 00:04:34.000]  那這一切的教導我自己相信對我們一生人都是很有用的
[00:04:34.000 --> 00:04:44.000]  所以我們可以用現在的語言來說是Nice People
[00:04:44.000 --> 00:04:54.000]  用現在的話來說會成為我們活得好像一位好好先生一樣
[00:04:54.000 --> 00:04:59.000]  我相信現在在西方所流行的所謂現在的價值觀念
[00:04:59.000 --> 00:05:03.000]  所謂Nicety就是好好先生剛才翻譯得很好
[00:05:03.000 --> 00:05:08.000]  和那個Civility就是很文明的
[00:05:08.000 --> 00:05:15.000]  西方人的文化就是我們開化了的人很好的人
[00:05:15.000 --> 00:05:21.000]  這些道德觀念不多不少是跟八福經理
[00:05:21.000 --> 00:05:26.000]  特別是五章到七章這個教導是有關的
[00:05:26.000 --> 00:05:31.000]  西方人的文化其實都是很受登山部份
[00:05:31.000 --> 00:05:34.000]  馬達坊第五章至第七章的影響
[00:05:34.000 --> 00:05:42.000]  但我們有沒有是這樣理解八福經理今天的經文就是簡單的一個道德教訓
[00:05:42.000 --> 00:05:47.000]  我們有沒有理解到這個八福其實是一個很簡單的道德的教訓
[00:05:47.000 --> 00:05:51.000]  是不是我們是不是以為這個是一個簡單的道德教訓
[00:05:51.000 --> 00:05:56.000]  我們會不會是以為這個是一個很簡單的道德教訓
[00:05:56.000 --> 00:06:01.000]  但我想我們讀今天的經文是忽略了一點
[00:06:01.000 --> 00:06:06.000]  也是很重要的一點
[00:06:06.000 --> 00:06:11.000]  這個並不是一個道德課
[00:06:11.000 --> 00:06:15.000]  這個其實不單止是一個道德課
[00:06:15.000 --> 00:06:22.000]  這個是耶穌以君王的權柄來頒佈的一些祝福
[00:06:22.000 --> 00:06:27.000]  其實是耶穌以一個君王的權柄來頒佈的祝福
[00:06:27.000 --> 00:06:32.000]  這是一個祝福而不是一個道德教條
[00:06:32.000 --> 00:06:35.000]  這個是一個祝福而不是一個道德教條
[00:06:35.000 --> 00:06:36.000]  有想過沒有
[00:06:36.000 --> 00:06:38.000]  有沒有這樣想過呢
[00:06:38.000 --> 00:06:44.000]  我們可以先慢慢的來從聖經來看我剛才說的這一點
[00:06:44.000 --> 00:06:48.000]  我們可以慢慢來從聖經來看我剛才所講的這一點
[00:06:48.000 --> 00:06:51.000]  我們從第四章開始說說
[00:06:51.000 --> 00:06:53.000]  我們先從第四章來講講
[00:06:53.000 --> 00:06:58.000]  第四章介紹了耶穌是得勝了魔鬼的試探
[00:06:58.000 --> 00:07:03.000]  第四章主要介紹了耶穌是得勝了魔鬼的試探
[00:07:03.000 --> 00:07:07.000]  祂不像亞當一樣在試探當中失敗
[00:07:07.000 --> 00:07:11.000]  祂不像亞當一樣在試探當中失敗
[00:07:11.000 --> 00:07:14.000]  祂為我們人類恢復了名譽
[00:07:14.000 --> 00:07:17.000]  祂為我們人類恢復了我們的聲譽
[00:07:17.000 --> 00:07:23.000]  聖經說連天使都來侍候祂
[00:07:23.000 --> 00:07:26.000]  聖經說連天使都來侍候祂
