
[00:00:00.000 --> 00:00:05.280]  出埃及記,記述上帝聽到以色列人在埃及做奴隸的苦情
[00:00:05.280 --> 00:00:09.280]  就垂顧他們,揀選摩西帶領他們出埃及
[00:00:09.280 --> 00:00:12.640]  因著上帝的憐憫,他們離開為奴之地
[00:00:12.640 --> 00:00:14.320]  開始新的一頁
[00:00:14.320 --> 00:00:17.040]  本來應該是信仰生活的高潮
[00:00:17.040 --> 00:00:19.240]  但以色列人的屬靈生命
[00:00:19.240 --> 00:00:22.800]  卻是在這個時候陷入破產的地步
[00:00:22.800 --> 00:00:25.520]  他們被奴隸的苦情所困擾
[00:00:25.520 --> 00:00:30.080]  他們雖然走過紅海,看到法路的追兵全軍覆沒
[00:00:30.080 --> 00:00:33.840]  但轉過身,他們就開始不斷的發怨言
[00:00:33.840 --> 00:00:37.880]  不斷為飲食的問題埋怨摩西和上帝
[00:00:37.880 --> 00:00:41.320]  當耶和華在山上向摩西顯現的時候
[00:00:41.320 --> 00:00:45.040]  以色列人卻是在山下敬拜金牛洞
[00:00:45.040 --> 00:00:48.720]  顯出他們仍然未脫離舊有的宗教觀念
[00:00:48.720 --> 00:00:51.320]  也沒有因為經歷上帝的苦難
[00:00:51.320 --> 00:00:55.640]  而專他為上帝,雖然他們這樣激怒了上帝
[00:00:55.640 --> 00:00:58.480]  但上帝仍然攀下自己的律法
[00:00:58.480 --> 00:01:01.160]  教導他們怎樣做自己的子民
[00:01:01.160 --> 00:01:04.120]  帶領他們邁向應許之地
[00:01:04.120 --> 00:01:07.800]  上帝和以色列人那種愛和叛逆的關係
[00:01:07.800 --> 00:01:10.120]  在《出埃及記》表露無遺
[00:01:10.120 --> 00:01:12.840]  而我們也彷彿像以色列人一樣
[00:01:12.840 --> 00:01:15.880]  我們在他們身上看到自己的影子
[00:01:15.880 --> 00:01:18.760]  我們在他們身上看到自己的影子
[00:01:18.760 --> 00:01:22.120]  我們在困境裡呼求,上帝就拯救
[00:01:22.120 --> 00:01:25.880]  在自私中叛逆,祂就教訓和寬恕
[00:01:25.880 --> 00:01:29.400]  在現實中迷失,祂就教導和帶領
[00:01:29.400 --> 00:01:32.280]  讓我們可以常常謹記
[00:01:32.280 --> 00:01:36.920]  新普及《出埃及記》第十九章第五節這樣說
[00:01:36.920 --> 00:01:40.840]  「現在你們如果信服我,遵守我的約
[00:01:40.840 --> 00:01:45.000]  就會在地上萬民中成為我特別的珍寶
[00:01:45.000 --> 00:01:48.920]  因為全地都屬於我。」
[00:01:48.920 --> 00:01:53.400]  弟兄姊妹,我們每一個都受疫情所帶來的困苦
[00:01:53.400 --> 00:01:54.760]  所困擾著我們
[00:01:54.760 --> 00:01:56.680]  在今年的預福期當中
[00:01:56.680 --> 00:02:00.760]  我們要常常反省自己屬靈的狀況
