
[00:00:00.000 --> 00:00:03.280]  今天的題目是疫情行者
[00:00:03.280 --> 00:00:04.160]  疫情行者
[00:00:04.160 --> 00:00:06.680]  我相信我們在疫情中
[00:00:06.680 --> 00:00:12.120]  某程度上都有不同的表現行為
[00:00:12.120 --> 00:00:13.080]  例如
[00:00:13.080 --> 00:00:14.560]  我是比較性急的人
[00:00:14.560 --> 00:00:15.560]  每次出門
[00:00:15.560 --> 00:00:17.640]  如果看到按電梯
[00:00:17.640 --> 00:00:19.400]  鄰居
[00:00:19.400 --> 00:00:22.800]  我都會很喜歡很快地按電梯
[00:00:22.800 --> 00:00:25.120]  頂著電梯讓人進入
[00:00:25.120 --> 00:00:27.000]  或者開門
[00:00:27.000 --> 00:00:31.640]  但是現在有這些疫情的情況
[00:00:31.640 --> 00:00:35.640]  我突然間就變得比較禮讓
[00:00:35.640 --> 00:00:36.720]  敵不動我不動
[00:00:36.720 --> 00:00:39.200]  你先按你先按
[00:00:39.200 --> 00:00:40.640]  現在進去電梯
[00:00:40.640 --> 00:00:41.840]  如果我按第一個
[00:00:41.840 --> 00:00:42.800]  我通常都會問
[00:00:42.800 --> 00:00:43.480]  你幾樓
[00:00:43.480 --> 00:00:44.080]  反正都是
[00:00:44.080 --> 00:00:45.560]  幫你按吧
[00:00:45.560 --> 00:00:46.800]  如果他按了
[00:00:46.800 --> 00:00:48.960]  我都有一個期待的眼睛
[00:00:48.960 --> 00:00:51.240]  你會不會幫我按呢
[00:00:51.240 --> 00:00:52.600]  有時候他們問的時候
[00:00:52.600 --> 00:00:54.320]  覺得他送了禮給我
[00:00:54.320 --> 00:00:55.960]  不知為何會有這樣的感覺
[00:00:55.960 --> 00:00:57.760]  現在因為這樣的緣故
[00:00:57.760 --> 00:01:01.320]  我太太做了一枝按電梯的神筆
[00:01:01.320 --> 00:01:02.680]  沒有筆頭
[00:01:02.680 --> 00:01:04.560]  按完之後還要關上蓋子
[00:01:04.560 --> 00:01:06.600]  我太太的邏輯就是
[00:01:06.600 --> 00:01:08.840]  如果有細菌就關掉
[00:01:08.840 --> 00:01:10.880]  十多個小時應該死了
[00:01:10.880 --> 00:01:11.880]  就放下它
[00:01:11.880 --> 00:01:12.920]  下次再用
[00:01:12.920 --> 00:01:16.000]  我又發現我的腳突然間非常敏銳
[00:01:16.000 --> 00:01:16.400]  為甚麼呢
[00:01:16.400 --> 00:01:18.680]  一推開門
[00:01:18.680 --> 00:01:20.640]  我就腳頂著
[00:01:20.640 --> 00:01:22.520]  接著就滑出去
[00:01:22.520 --> 00:01:24.280]  又不用碰
[00:01:24.280 --> 00:01:25.040]  又可以少一點
[00:01:25.040 --> 00:01:26.560]  例如乘搭地鐵
[00:01:26.560 --> 00:01:28.400]  都有一些東西改了
[00:01:28.400 --> 00:01:31.040]  例如以往我就掃下去
[00:01:31.040 --> 00:01:32.560]  一掃就啪下去
[00:01:32.560 --> 00:01:34.000]  現在我有一個空間
[00:01:34.000 --> 00:01:35.840]  大概有一厘米
[00:01:35.840 --> 00:01:36.840]  原來可以的
[00:01:36.840 --> 00:01:37.360]  可以的
[00:01:37.360 --> 00:01:38.040]  有人看到
[00:01:38.040 --> 00:01:38.640]  原來可以的
[00:01:38.640 --> 00:01:38.960]  是的
[00:01:38.960 --> 00:01:40.840]  你不用碰
[00:01:40.840 --> 00:01:43.000]  以前就撞在閘上
[00:01:43.000 --> 00:01:44.000]  一直很開心
[00:01:44.000 --> 00:01:46.800]  現在就看看有沒有沒有人用的
[00:01:46.800 --> 00:01:50.840]  即是拿人家的閘是向橫的
[00:01:50.840 --> 00:01:51.960]  沒有人用了
[00:01:51.960 --> 00:01:53.520]  我就走去用
[00:01:53.520 --> 00:01:54.320]  的確是的
[00:01:54.320 --> 00:01:57.760]  我不知道你會不會和我也有這樣的感覺
[00:01:57.760 --> 00:01:58.880]  那麼
[00:01:58.880 --> 00:01:59.400]  沒錯
[00:01:59.400 --> 00:02:05.000]  其實不單止這些會影響我們的生活習慣
[00:02:05.000 --> 00:02:06.520]  其實除了香港
[00:02:06.520 --> 00:02:07.840]  不同世界近來
[00:02:07.840 --> 00:02:08.760]  特別這兩個月
[00:02:08.760 --> 00:02:09.400]  真的很密集
[00:02:09.400 --> 00:02:11.400]  都發生很多事情
[00:02:11.400 --> 00:02:13.400]  多到
[00:02:13.400 --> 00:02:14.960]  例如
[00:02:14.960 --> 00:02:16.840]  過去澳洲火災
[00:02:16.840 --> 00:02:17.880]  我們知道
[00:02:17.880 --> 00:02:18.800]  在去年年尾
[00:02:18.800 --> 00:02:20.560]  特別最後這兩個月
[00:02:20.560 --> 00:02:23.160]  因為我姐姐在澳洲住了二十多年
[00:02:23.160 --> 00:02:26.160]  她說去到四十二到四十三度住那裡
[00:02:26.160 --> 00:02:28.320]  四十六度都試過
[00:02:28.320 --> 00:02:30.120]  我說你溶了沒有
[00:02:30.120 --> 00:02:32.240]  即是出街不要化妝
[00:02:32.240 --> 00:02:33.720]  否則溶妝
[00:02:33.720 --> 00:02:34.880]  去到一月中左右
[00:02:34.880 --> 00:02:36.920]  突然間有天降金露
[00:02:36.920 --> 00:02:38.040]  不過很大雨
[00:02:38.040 --> 00:02:39.200]  突然間又有什麼
[00:02:39.200 --> 00:02:41.320]  山泥傾瀉
[00:02:41.320 --> 00:02:42.240]  日本
[00:02:42.240 --> 00:02:45.320]  今年的雪比往年好像不夠兩成
[00:02:45.320 --> 00:02:46.480]  如果你去到日本划到雪
[00:02:46.480 --> 00:02:47.840]  你剛剛撞到一塊雪
[00:02:47.840 --> 00:02:49.760]  是為你感恩
[00:02:49.760 --> 00:02:52.960]  天氣變得很厲害
[00:02:52.960 --> 00:02:55.280]  印尼2020年1月
[00:02:55.280 --> 00:02:57.840]  一日大雨
[00:02:57.840 --> 00:02:59.640]  四十萬人流離失所
[00:02:59.640 --> 00:03:02.040]  六十多人死亡
[00:03:02.040 --> 00:03:04.200]  致命暴雨
[00:03:04.200 --> 00:03:05.680]  非洲
[00:03:05.680 --> 00:03:08.680]  我們看到不是櫻花
[00:03:08.680 --> 00:03:09.680]  是什麼來的
[00:03:09.680 --> 00:03:10.480]  蝗蟲
[00:03:10.480 --> 00:03:11.160]  我們知道
[00:03:11.160 --> 00:03:13.200]  四千億隻
[00:03:13.200 --> 00:03:14.360]  這個數字是什麼來的
[00:03:14.360 --> 00:03:16.080]  很陌生
[00:03:16.080 --> 00:03:18.320]  一天吃了三萬多人的份量
[00:03:18.320 --> 00:03:20.920]  一直在非洲到巴基斯坦
[00:03:20.920 --> 00:03:21.720]  到印度
[00:03:21.720 --> 00:03:24.720]  吃了七十萬軍人的食物
[00:03:24.720 --> 00:03:25.520]  去到邊境
[00:03:25.520 --> 00:03:27.720]  本來可能來到中國
[00:03:27.720 --> 00:03:29.200]  印度很厲害
[00:03:29.200 --> 00:03:32.240]  敬下這個農藥
[00:03:32.240 --> 00:03:34.680]  將它殺了
[00:03:34.680 --> 00:03:37.160]  接著我們很熟悉了
