
[00:00:00.000 --> 00:00:06.000]  邢師妹今天講的就是繼續《何聲亞書》
[00:00:06.000 --> 00:00:09.000]  大家都知道何聲亞是一個怎樣的先知
[00:00:09.000 --> 00:00:13.000]  但我亦都要同大家補充下
[00:00:13.000 --> 00:00:16.000]  補充下何聲亞先知的系列
[00:00:16.000 --> 00:00:18.000]  何聲亞先知你們如果看
[00:00:18.000 --> 00:00:20.000]  我想你代入下他的角色
[00:00:20.000 --> 00:00:22.000]  記不記得潘牧師講 梁牧師講
[00:00:22.000 --> 00:00:24.000]  何聲亞是取一個甚麼
[00:00:24.000 --> 00:00:26.000]  是取一個淫婦光滅
[00:00:26.000 --> 00:00:29.000]  他其實是很閉的
[00:00:29.000 --> 00:00:31.000]  如果我今日告訴你
[00:00:31.000 --> 00:00:34.000]  巴適清你穿著別人送給你的衣服
[00:00:34.000 --> 00:00:35.000]  不是那麼好
[00:00:35.000 --> 00:00:37.000]  雖然你穿得好看的人
[00:00:37.000 --> 00:00:38.000]  但都不是太好
[00:00:38.000 --> 00:00:39.000]  好像很寒酸
[00:00:39.000 --> 00:00:42.000]  但是想問問大家一件事
[00:00:42.000 --> 00:00:45.000]  何聲亞先知是一個怎樣的先知呢
[00:00:45.000 --> 00:00:47.000]  他出來講到有沒有說服力
[00:00:47.000 --> 00:00:48.000]  很難的
[00:00:48.000 --> 00:00:50.000]  如果我們抱著一個先敬羅
[00:00:50.000 --> 00:00:51.000]  以後敬人來說
[00:00:51.000 --> 00:00:54.000]  何聲亞先知是很難的
[00:00:54.000 --> 00:00:57.000]  人人都想站到上來是很厲害
[00:00:57.000 --> 00:00:59.000]  譬如影帝站上來講話
[00:00:59.000 --> 00:01:01.000]  一定有那麼上一份量
[00:01:01.000 --> 00:01:03.000]  詠春師傅站上來講話
[00:01:03.000 --> 00:01:04.000]  當然有那麼上一份量
[00:01:04.000 --> 00:01:06.000]  但是如果我上來講話的時候
[00:01:06.000 --> 00:01:08.000]  大家第一個反應就是
[00:01:08.000 --> 00:01:10.000]  嘩
[00:01:10.000 --> 00:01:11.000]  如果我是何聲亞
[00:01:11.000 --> 00:01:13.000]  我拖著那個何太
[00:01:13.000 --> 00:01:15.000]  我叫何太
[00:01:15.000 --> 00:01:16.000]  其實不是啦
[00:01:16.000 --> 00:01:18.000]  我當她是何太
[00:01:18.000 --> 00:01:20.000]  嘩 淫婦來的
[00:01:20.000 --> 00:01:22.000]  妓女來的
[00:01:22.000 --> 00:01:26.000]  早一陣子我見她在這裏做生意
[00:01:26.000 --> 00:01:29.000]  嘩 我講話我又沒有份量
[00:01:29.000 --> 00:01:31.000]  何聲亞你不要講了
[00:01:31.000 --> 00:01:33.000]  你先搞定你自己的家
[00:01:33.000 --> 00:01:34.000]  是不是
[00:01:34.000 --> 00:01:35.000]  但是太子妹
[00:01:35.000 --> 00:01:38.000]  今天我想大家知道一件事
[00:01:38.000 --> 00:01:40.000]  何聲亞先知那個重要性是
[00:01:40.000 --> 00:01:42.000]  他所表達的
[00:01:42.000 --> 00:01:44.000]  神要他經歷的
[00:01:44.000 --> 00:01:46.000]  不是他自己所講出來
[00:01:46.000 --> 00:01:49.000]  而是上帝透過他的經歷
[00:01:49.000 --> 00:01:51.000]  去告訴意識令人聽
[00:01:51.000 --> 00:01:53.000]  究竟上帝是什麼樣的心情
[00:01:53.000 --> 00:01:55.000]  什麼樣的看法
[00:01:55.000 --> 00:01:57.000]  如果你說
[00:01:57.000 --> 00:02:01.000]  何聲亞他不配去講這篇道
[00:02:01.000 --> 00:02:02.000]  我跟你說
[00:02:02.000 --> 00:02:04.000]  我們不要只看何聲亞
[00:02:04.000 --> 00:02:05.000]  我們要看何聲亞背後
[00:02:05.000 --> 00:02:07.000]  上帝在他生命上的工作
[00:02:07.000 --> 00:02:09.000]  以及上帝的說話
[00:02:09.000 --> 00:02:10.000]  所以我們開始之前
[00:02:10.000 --> 00:02:11.000]  我們一起禱告
[00:02:11.000 --> 00:02:12.000]  所以主我們都是讚美你主
[00:02:12.000 --> 00:02:14.000]  我們感謝你
[00:02:14.000 --> 00:02:15.000]  你教導我們
[00:02:15.000 --> 00:02:18.000]  神要怎樣在聖經裏面
[00:02:18.000 --> 00:02:19.000]  去知道你的話語
[00:02:19.000 --> 00:02:21.000]  神也去教導我們
[00:02:21.000 --> 00:02:23.000]  怎樣謙卑自己
[00:02:23.000 --> 00:02:24.000]  神今天來到你的面前
[00:02:24.000 --> 00:02:26.000]  神我們真的要學習
[00:02:26.000 --> 00:02:27.000]  我們不是得著什麼
[00:02:27.000 --> 00:02:28.000]  好像保羅說的
[00:02:28.000 --> 00:02:31.000]  我們不是以為我們已經得著了
[00:02:31.000 --> 00:02:33.000]  主啊求你幫助我們
[00:02:33.000 --> 00:02:36.000]  繼續向著我們的標竿去直跑
[00:02:36.000 --> 00:02:39.000]  直至你得到你給我們獎賞為止那一天
[00:02:39.000 --> 00:02:40.000]  我們感謝讚美你
[00:02:40.000 --> 00:02:42.000]  我們祈禱奉耶穌基督
[00:02:42.000 --> 00:02:43.000]  得聖名字祈求
[00:02:43.000 --> 00:02:44.000]  Amen
[00:02:44.000 --> 00:02:45.000]  頂姐妹
[00:02:45.000 --> 00:02:48.000]  何聲亞先知
[00:02:48.000 --> 00:02:50.000]  他是一個以色列的
[00:02:50.000 --> 00:02:51.000]  以色列國的先知
[00:02:51.000 --> 00:02:53.000]  他是以色列的先知
[00:02:53.000 --> 00:02:55.000]  他同期還有幾位先知
[00:02:55.000 --> 00:02:57.000]  亞摩斯、以塞瓦尼加先知
[00:02:57.000 --> 00:02:58.000]  他們都是他同期
[00:02:58.000 --> 00:03:01.000]  他主要是和北角以色列
[00:03:01.000 --> 00:03:03.000]  去講述上帝的話語
[00:03:03.000 --> 00:03:04.000]  當然他何聲亞書裏面
[00:03:04.000 --> 00:03:06.000]  亦都借著以色列
[00:03:06.000 --> 00:03:08.000]  去提醒猶大國的
[00:03:08.000 --> 00:03:11.000]  但是何聲亞亦都是一位
[00:03:11.000 --> 00:03:14.000]  看著北角以色列
[00:03:14.000 --> 00:03:18.000]  被亞述帝國滅國的一個先知
[00:03:18.000 --> 00:03:19.000]  頂姐妹
[00:03:19.000 --> 00:03:23.000]  很慘的
[00:03:23.000 --> 00:03:24.000]  我們經常說何聲亞
[00:03:24.000 --> 00:03:27.000]  是一個小先知書
[00:03:27.000 --> 00:03:29.000]  他不是一個小先知
[00:03:29.000 --> 00:03:31.000]  他只不過小先知書的意思
[00:03:31.000 --> 00:03:33.000]  就是在先知書的排列
[00:03:33.000 --> 00:03:35.000]  他的篇幅比較細
[00:03:35.000 --> 00:03:36.000]  寫的字比較短
[00:03:36.000 --> 00:03:38.000]  所以他不是一個細先知
[00:03:38.000 --> 00:03:41.000]  他是一個宣講上帝的話語
[00:03:41.000 --> 00:03:43.000]  宣講上帝審判的一個先知
[00:03:43.000 --> 00:03:45.000]  他是很猛料的
[00:03:45.000 --> 00:03:47.000]  我們俗稱很猛料的
