
[00:00:00.000 --> 00:00:03.960]  各位頂姐妹 應該晚安了
[00:00:03.960 --> 00:00:08.240]  我們很高興可以在這裡一起聆聽上帝的話語
[00:00:08.240 --> 00:00:11.680]  我們也知道明天就是母親節
[00:00:11.680 --> 00:00:14.000]  不如我們和旁邊那位
[00:00:14.000 --> 00:00:16.680]  你看上去她的樣子很像母親的話
[00:00:16.680 --> 00:00:20.480]  你就和她祝一聲母親節快樂 好嗎
[00:00:20.480 --> 00:00:27.240]  或者你的祝福可能是一個預言也說不定
[00:00:27.240 --> 00:00:32.200]  不過anyway我們今天來到崇拜當中
[00:00:32.200 --> 00:00:36.320]  我們思想人生
[00:00:36.320 --> 00:00:38.320]  因為我們人生真的很多變
[00:00:38.320 --> 00:00:41.240]  並且我們也明白一個人的成長
[00:00:41.240 --> 00:00:42.760]  包括我自己的成長
[00:00:42.760 --> 00:00:45.640]  其實媽媽的角色真的很重要
[00:00:45.640 --> 00:00:47.000]  一個媽媽是怎樣
[00:00:47.000 --> 00:00:49.640]  真是塑造一個子女是怎樣
[00:00:49.640 --> 00:00:53.480]  我自己身處在一個很貧窮的家庭裡面
[00:00:53.480 --> 00:00:58.640]  我從小到大其實最重要幼稚園的年日
[00:00:58.640 --> 00:01:03.160]  在鑽石山的大磡村木屋區那裡生活
[00:01:03.160 --> 00:01:06.400]  然後那個木屋區大家都知道清拆了
[00:01:06.400 --> 00:01:08.040]  我們就安排上樓
[00:01:08.040 --> 00:01:10.800]  我們就去到屯門友愛村
[00:01:10.800 --> 00:01:13.080]  我六歲的時候我還記得
[00:01:13.080 --> 00:01:18.280]  1982年我就搬進去成為這個村開荒
[00:01:18.280 --> 00:01:19.520]  就是開荒 大家明白嗎
[00:01:19.520 --> 00:01:28.000]  開荒就在裡面成為其中一個大廈的一個單位的一個幼稚園K3學生
[00:01:28.000 --> 00:01:32.040]  我媽媽從小到大其實是一個很緊張的人
[00:01:32.040 --> 00:01:36.880]  她緊張不是 其實緊張是因為很疼我們 很愛我們
[00:01:36.880 --> 00:01:38.240]  所以是很緊張
[00:01:38.240 --> 00:01:41.360]  她很緊張我的安危 很緊張我的成長
[00:01:41.360 --> 00:01:43.560]  也都很緊張我不要學壞
[00:01:43.560 --> 00:01:48.280]  她緊張到一個程度其實不是很一般的程度
[00:01:48.280 --> 00:01:51.760]  譬如那個例子我去到中四的時候
[00:01:51.760 --> 00:01:54.600]  知不知道中四已經是多少歲
[00:01:54.600 --> 00:01:58.120]  中四應該是十五 十六歲的時候
[00:01:58.120 --> 00:02:02.240]  她還是在我的家看下去樓下有一條路
[00:02:02.240 --> 00:02:03.720]  回到我的中學
[00:02:03.720 --> 00:02:08.720]  我的中學距離我的家大約五分鐘的路程
[00:02:08.720 --> 00:02:10.120]  那五分鐘的路程
[00:02:10.120 --> 00:02:13.160]  我媽媽見我走的時候
[00:02:13.160 --> 00:02:15.440]  因為我很不喜歡我媽媽送我上學
[00:02:15.440 --> 00:02:18.800]  大家明白 所有中學生都不喜歡媽媽送你上學的
[00:02:18.800 --> 00:02:22.200]  所以我都要看開一點 因為我女兒已經喜歡的了
[00:02:22.200 --> 00:02:24.920]  我那時候就要走
[00:02:24.920 --> 00:02:29.200]  一定要走什麼 一定要走我家的騎樓看到的那條路
[00:02:29.200 --> 00:02:31.280]  她看到我走過去
[00:02:31.280 --> 00:02:33.880]  她才安心做其他事情
[00:02:33.880 --> 00:02:37.600]  她的緊張程度是去到這樣的一個地步
[00:02:37.600 --> 00:02:40.480]  我有一個妹妹 其實大家都明白
[00:02:40.480 --> 00:02:42.400]  可能女孩子更加擔心
[00:02:42.400 --> 00:02:47.000]  變成整個情況 我媽媽給我的自由其實是很少
[00:02:47.000 --> 00:02:50.280]  一定要晚上不可以外出
[00:02:50.280 --> 00:02:54.000]  一定要很乖留在家裡的一種情況
[00:02:54.000 --> 00:02:57.640]  我不怪她 因為她從小到大都很緊張
[00:02:57.640 --> 00:03:00.080]  並且很疼我才會這樣做
[00:03:00.080 --> 00:03:02.360]  其實我妹妹長大之後
[00:03:02.360 --> 00:03:04.320]  我們才明白這個道理
[00:03:04.320 --> 00:03:06.600]  但是我小時候很不喜歡
[00:03:06.600 --> 00:03:10.040]  因為就覺得我好像真的不是很本事
[00:03:10.040 --> 00:03:12.560]  也長不大的一種情況
[00:03:12.560 --> 00:03:18.240]  並且我覺得她的緊張都會令我有很多的否定
[00:03:18.240 --> 00:03:21.200]  因為覺得我什麼都不會做 才會緊張我
[00:03:21.200 --> 00:03:23.280]  有一種很大的否定
[00:03:23.280 --> 00:03:27.360]  我還記得 從小到大她不是很多欣賞我
[00:03:27.360 --> 00:03:31.000]  甚至我是要做很努力的成功
[00:03:31.000 --> 00:03:33.920]  才能夠博取到半點的欣賞
[00:03:33.920 --> 00:03:38.680]  不停地將我和其他的小朋友進行比較
[00:03:38.680 --> 00:03:43.280]  所以我從小到大最喜歡做的一件事
[00:03:43.280 --> 00:03:45.080]  其實就是和別人比較
[00:03:45.080 --> 00:03:48.520]  我記得我小時候什麼都不是很厲害
[00:03:48.520 --> 00:03:53.280]  稍微好一點的就叫做讀書
[00:03:53.280 --> 00:03:55.920]  那時候我在中三的時候
[00:03:55.920 --> 00:03:58.880]  就有一科叫做綜合科學
[00:03:58.880 --> 00:04:01.560]  大家有沒有聽過 Integrated Science
[00:04:01.560 --> 00:04:03.480]  就是IS的這一科
[00:04:03.480 --> 00:04:08.760]  我就100分拿到98分 都很高分
[00:04:08.760 --> 00:04:12.320]  是全班和全級的第一 只是那一科
[00:04:12.320 --> 00:04:15.520]  接著我就很喜歡和別人比較
[00:04:15.520 --> 00:04:19.680]  我就到處問別人你幾多分
[00:04:19.680 --> 00:04:23.640]  哦 96分 我98分
[00:04:23.640 --> 00:04:27.680]  其實真的很討人厭 你覺得這些人很討人厭
[00:04:27.680 --> 00:04:32.680]  因為我從小到大不懂得處理別人對我的肯定
[00:04:32.680 --> 00:04:35.600]  我一定要透過和別人比較
[00:04:35.600 --> 00:04:38.440]  才能確立到自己的自我形象
[00:04:38.440 --> 00:04:39.760]  我還記得有一次
[00:04:39.760 --> 00:04:42.920]  那一次我就走去那個女同學的身邊
[00:04:42.920 --> 00:04:45.560]  你幾多分呀
[00:04:45.560 --> 00:04:48.360]  接著她就死都不讓我看
[00:04:48.360 --> 00:04:50.480]  接著呢 看一看啦
[00:04:50.480 --> 00:04:53.880]  我就找到她的試卷是76分
[00:04:53.880 --> 00:04:56.840]  哦 你76分 我98分
[00:04:56.840 --> 00:04:59.640]  其實你覺得很討人厭 真的很討人厭
[00:04:59.640 --> 00:05:02.960]  然後那個女同學見到我這樣的情況之後
[00:05:02.960 --> 00:05:06.400]  就在我面前哭了出來
[00:05:06.400 --> 00:05:08.160]  我一生人什麼都不怕
[00:05:08.160 --> 00:05:11.120]  其實最怕的是什麼 最怕的是女人哭
[00:05:11.120 --> 00:05:14.240]  她哭了出來之後 我就很徬徨 不知道怎麼辦
[00:05:14.240 --> 00:05:17.080]  我就走了
[00:05:17.080 --> 00:05:20.920]  所以整件事是 從小到大我發覺
[00:05:20.920 --> 00:05:23.920]  媽媽對我的影響 對我的長大
[00:05:23.920 --> 00:05:25.640]  她是很疼我 很愛我
[00:05:25.640 --> 00:05:27.760]  我是很明白 大過我明白
[00:05:27.760 --> 00:05:30.560]  但是從小到大一個這樣很緊張的生命
[00:05:30.560 --> 00:05:33.720]  喜歡跟我和別人比較的情況
[00:05:33.720 --> 00:05:35.720]  慢慢塑造到我
