
[00:00:00.000 --> 00:00:02.760]  面對生命試煉的時候
[00:00:02.760 --> 00:00:06.920]  你們應該成為怎樣的人呢?
[00:00:06.920 --> 00:00:12.720]  彼得說「受苦反而要喜樂」
[00:00:12.720 --> 00:00:15.520]  說到苦我們必須承認
[00:00:15.520 --> 00:00:20.480]  我們就是怕吃苦、怕捱苦、怕受苦
[00:00:20.480 --> 00:00:24.200]  說真的有誰喜歡吃苦、捱苦、受苦?
[00:00:24.200 --> 00:00:25.720]  沒有幾個人
[00:00:25.720 --> 00:00:30.600]  但今日我們所讀的經文彼得是以命令的語氣去說
[00:00:30.600 --> 00:00:33.840]  「反而你們要喜樂」
[00:00:33.840 --> 00:00:36.440]  當然我們要小心地聽
[00:00:36.440 --> 00:00:39.240]  不是每一種苦難都是因為你做得不好
[00:00:39.240 --> 00:00:41.400]  或者做錯了而有的
[00:00:41.400 --> 00:00:43.320]  亦不是每一種苦難
[00:00:43.320 --> 00:00:47.200]  是為了你要學一些功課、學一些東西
[00:00:47.200 --> 00:00:49.200]  反而我們要承認
[00:00:49.200 --> 00:00:52.720]  在我們人生所遭遇的大大小小的困難裏面
[00:00:52.720 --> 00:00:56.280]  我們只能謙卑地說我們真的不知道
[00:00:56.280 --> 00:00:57.840]  我們有些事情是不明白
[00:00:57.840 --> 00:01:00.680]  為何有些禍患臨到我們
[00:01:00.680 --> 00:01:08.160]  我們去接受神有主權降禍、賜福
[00:01:08.160 --> 00:01:09.640]  有人這樣說
[00:01:09.640 --> 00:01:12.560]  神沒有在我們的認知裏面
[00:01:12.560 --> 00:01:18.640]  開了讓我們完全明白苦難的窗口
[00:01:18.640 --> 00:01:20.520]  但我仍然相信
[00:01:20.520 --> 00:01:23.520]  神讓我們知道我們應該知道的
[00:01:23.520 --> 00:01:26.000]  在祂的話語裏面有提及過受苦的地方
[00:01:26.000 --> 00:01:29.000]  就是讓我們能夠稍稍看見
[00:01:29.000 --> 00:01:33.280]  神對苦難在我們生命當中的旨意
[00:01:33.280 --> 00:01:37.400]  我們繼續將這段時間交託給主
[00:01:37.400 --> 00:01:41.880]  天父我們知道我們面對人生的困難、苦難
[00:01:41.880 --> 00:01:44.520]  很多時候我們會問為甚麼
[00:01:44.520 --> 00:01:47.400]  但主是讓我們超越這些問題
[00:01:47.400 --> 00:01:51.080]  更加看見祢要我們在這些生命的關口
[00:01:51.080 --> 00:01:53.480]  成為一個怎樣的人
[00:01:53.480 --> 00:01:55.080]  求祢的靈讓我們明白
[00:01:55.080 --> 00:01:58.880]  祢的話語裏面要教導我們的真理
[00:01:58.880 --> 00:01:59.560]  我們的祈禱是
[00:01:59.560 --> 00:02:05.000]  「奉主耶穌基督,得聖名字祈求,阿們」
[00:02:05.000 --> 00:02:08.040]  怎樣的受苦反而要起落呢?
[00:02:08.040 --> 00:02:09.680]  或者我要問
[00:02:09.680 --> 00:02:16.040]  彼得當時和弟兄姊妹所面對的處境是怎樣的?
[00:02:16.040 --> 00:02:17.560]  十二節我請你幫我讀
[00:02:17.560 --> 00:02:18.840]  預備起
[00:02:18.840 --> 00:02:21.040]  親愛的弟兄們
[00:02:21.040 --> 00:02:24.600]  由火一般的試煉陷到你們
[00:02:24.600 --> 00:02:26.520]  要考驗你們
[00:02:26.520 --> 00:02:29.120]  你們不要覺得奇怪
[00:02:29.120 --> 00:02:34.480]  保障有甚麼奇怪的事發生在你們身上
[00:02:34.480 --> 00:02:36.320]  火一般的試煉
[00:02:36.320 --> 00:02:38.200]  火很令人害怕
[00:02:38.200 --> 00:02:41.920]  我小年時代曾經試過被火燒傷手掌
[00:02:41.920 --> 00:02:44.720]  一瞬間整隻手就紅了
[00:02:44.720 --> 00:02:47.080]  沒多久就覺得很刺痛
[00:02:47.080 --> 00:02:48.920]  那種刺熱的感覺
[00:02:48.920 --> 00:02:51.480]  刺痛的感覺一直持續
[00:02:51.480 --> 00:02:53.000]  再過了幾個小時
[00:02:53.000 --> 00:02:55.240]  就開始紅腫有水泡
[00:02:55.240 --> 00:02:57.200]  很辛苦
[00:02:57.200 --> 00:03:01.600]  經過治療都要很長的時間才可以復原
[00:03:01.600 --> 00:03:03.760]  火好像很危險
[00:03:03.760 --> 00:03:06.240]  很令人害怕
[00:03:06.240 --> 00:03:07.480]  但是彼得說
[00:03:07.480 --> 00:03:11.040]  現在有火一般的試煉淋到你們
[00:03:11.040 --> 00:03:14.080]  他其實是想說一個怎樣的處境呢?
[00:03:14.080 --> 00:03:16.320]  在第一、第三、第四章彼得前書裡面
[00:03:16.320 --> 00:03:20.480]  都不斷說到信徒正是面對著一些苦況
[00:03:20.480 --> 00:03:22.800]  因為信主而受苦
[00:03:22.800 --> 00:03:24.200]  我們很快就想像
[00:03:24.200 --> 00:03:28.240]  那些好像初期教會屍體犯殉道
[00:03:28.240 --> 00:03:32.520]  又或者有些基督徒被扔到鬥獸場裡面
[00:03:32.520 --> 00:03:34.440]  那種場面
[00:03:34.440 --> 00:03:36.480]  那些是殉道
[00:03:36.480 --> 00:03:40.920]  但是在全個羅馬帝國大壁壩臨到的時間
[00:03:40.920 --> 00:03:44.160]  那時候還未到,還有一二百年的時間
[00:03:44.160 --> 00:03:45.840]  所以彼得前書所寫
[00:03:45.840 --> 00:03:47.680]  所修信的弟兄姊妹
[00:03:47.680 --> 00:03:49.200]  他們所面對的
[00:03:49.200 --> 00:03:52.160]  不是即時被人扔到獅子坑
[00:03:52.160 --> 00:03:55.360]  扔到鬥獸場的苦
[00:03:55.360 --> 00:03:58.080]  就算當時我們知道有位羅馬皇帝叫尼祿
[00:03:58.080 --> 00:04:00.720]  他在羅馬城裡面迫害基督徒
[00:04:00.720 --> 00:04:04.680]  這件事都未延展到全個帝國的規模
[00:04:04.680 --> 00:04:07.840]  信徒所面對的是甚麼呢?
[00:04:07.840 --> 00:04:10.040]  似乎彼得要我們看見
[00:04:10.040 --> 00:04:11.720]  他們當時所面對的
[00:04:11.720 --> 00:04:14.640]  不是那些大規模的迫害或者殉道
[00:04:14.640 --> 00:04:15.960]  有人說得好
[00:04:15.960 --> 00:04:18.360]  一次的迫害或者殉道
[00:04:18.360 --> 00:04:19.360]  是很清楚的
[00:04:19.360 --> 00:04:21.360]  你就是在那一次做了決定
[00:04:21.360 --> 00:04:23.240]  為主獻上你的忠誠
[00:04:23.240 --> 00:04:24.800]  就完結了
